sample_index,simulation_id,candidate_id,source,source_class,parameter_vector_hash,qsim_sha256
0,DEEPCAL100-SOBOL-0001,DEEPCAL100-SOBOL-0001,sobol_new,broad,35a80f52b3ebe3bb925f751a21c34850085991431b5593f250546a7864926fa2,4952bd14417ab8ab8776901c74032b029b44849da88799fc9f491583d6c2f23b
1,DEEPCAL100-SOBOL-0002,DEEPCAL100-SOBOL-0002,sobol_new,broad,bd60d8ea12b1cc36cc18cd20d1106d681fc785dc2ec43016701100eb0c10ab1f,2293b73a4b7233251e0843b3e980689115eef67bc0097c18d03994fc9af3cc99
2,DEEPCAL100-SOBOL-0003,DEEPCAL100-SOBOL-0003,sobol_new,broad,b6d31be6643902525b248f80a6053983be412ae91504546e6dc8cb3104839ab1,073faf3b9add2bfe6de93bb870d4e282d29c4c784912ff1425560c47d39f03c1
3,DEEPCAL100-SOBOL-0004,DEEPCAL100-SOBOL-0004,sobol_new,broad,9eca57d76e4340c5fe99676221f55d64f2ecb16fa13ac7404c6c8aa35568eff4,270574ba2e7008bbee3e0916ae9bc644cb7c95e50f3698c65e31180de396982f
4,DEEPCAL100-SOBOL-0005,DEEPCAL100-SOBOL-0005,sobol_new,broad,bd625a14f94ea086876c138c64597c7aca3c90d8dc97f4a864ed931a3e590387,fbc3e56570c945ac8b9a12a2e17f9ce53907d2d169cf47365acac7032f98d1a7
5,DEEPCAL100-SOBOL-0006,DEEPCAL100-SOBOL-0006,sobol_new,broad,b4259268e24d24b965355a27b20f6ded27926cc15dfc6f74f3e792480ea1cea7,3153e29c3ab83d205972017d9767bdc7fedbdeb82a5fd1cd5429e616d52d180f
6,DEEPCAL100-SOBOL-0007,DEEPCAL100-SOBOL-0007,sobol_new,broad,44778cc904ffc8ab2f71628adf4f4b2844794b5f6527df3d7aa69f39e3c99216,40a1ee1ab3cb2f63e1ad29af935e0576aad87e6fe26f3716b78799bf68109ef6
7,DEEPCAL100-SOBOL-0008,DEEPCAL100-SOBOL-0008,sobol_new,broad,59748ad1fd9083e900098219c925b96e6fee861a4fe6b55ecade7f3344c55e04,5d1efa9f15f2d7736d7fee3f1ad9aca49e8ba5c689bb3c43bfde5bff72d9164d
8,DEEPCAL100-SOBOL-0009,DEEPCAL100-SOBOL-0009,sobol_new,broad,3efd2594c7199c0a6a0715626fdc501ebcbe3b77a88c0a2c0a50741561da11fe,d37b91e80da64e48b214e4eca362d022270ddefd41235491b181771e8ec0588b
9,DEEPCAL100-SOBOL-0010,DEEPCAL100-SOBOL-0010,sobol_new,broad,5451498cd18a8c48dbda3ed26000f27cbe584e7b78e6792e26ec3ca1f6dfefb2,01682a6ef26acca0b76b9e6e850681ed58f59f0281877a535d8f3f8e037971b8
