index,parameter,swat_file,change_type,candidate_min,candidate_max,default_reference_value,physical_meaning,spatial_scope,template_object_type,template_abs_min,template_abs_max,template_units,status,decision,legacy_writer_source
0,cn2,calibration.cal / HRU objects,pctchg,-20,10,10.0,SCS curve number controlling rainfall-runoff partitioning; larger values reduce infiltration opportunity and increase direct runoff.,global writer value; object scope from template,hru,35.00000,95.00000,null,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
1,latq_co,calibration.cal / HRU objects,absolute,0,1,0.035247128954,Coefficient controlling the fraction and responsiveness of lateral soil water flow to the channel.,global writer value; object scope from template,hru,0.00000,1.00000,null,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
2,lat_ttime,calibration.cal / HRU objects,absolute,0.5,180,157.08755753,Travel time for lateral flow from the HRU to the channel.,global writer value; object scope from template,hru,0.50000,180.00000,days,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
3,esco,calibration.cal / HRU objects,absolute,0,1,0.48684487938,Soil evaporation compensation factor controlling access to water from deeper soil layers for evaporation.,global writer value; object scope from template,hru,0.00000,1.00000,null,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
4,epco,calibration.cal / HRU objects,absolute,0,1,0.82526082682,Plant uptake compensation factor controlling the ability of roots to use water beyond the nominal layer.,global writer value; object scope from template,hru,0.00000,1.00000,null,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
5,petco,calibration.cal / HRU objects,absolute,0.8,1.2,0.8,Potential evapotranspiration multiplier applied to atmospheric demand.,global writer value; object scope from template,hru,0.80000,1.20000,fraction,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
6,alpha,calibration.cal / aquifer objects,absolute,0,1,0.60127212085,Aquifer baseflow recession coefficient governing persistence of groundwater release.,global writer value; object scope from template,aqu,0.00000,1.00000,days,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
7,bf_max,calibration.cal / aquifer objects,absolute,0.1,2,0.45841093997,Maximum or limiting baseflow release scale in the aquifer response.,global writer value; object scope from template,aqu,0.10000,2.00000,mm,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
8,revap_co,calibration.cal / aquifer objects,absolute,0.02,0.2,0.16758569051,Aquifer-to-root-zone upward capillary redistribution coefficient.,global writer value; object scope from template,aqu,0.02000,0.20000,null,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
9,deep_seep,calibration.cal / aquifer objects,absolute,0.001,0.4,0.37678215555,Deep seepage or deep-loss coefficient removing water from the modeled aquifer or deep storage.,global writer value; object scope from template,aqu,0.00100,0.40000,m/m,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
10,surlag,calibration.cal / basin objects,absolute,0.05,24,0.98647906704,Surface-runoff lag coefficient controlling the timing and smoothing of surface runoff delivery.,global writer value; object scope from template,bsn,0.05000,24.00000,days,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
11,chn,calibration.cal / routing objects,absolute,0.001,0.3,0.28209096278,Channel roughness or friction parameter governing conveyance resistance.,global writer value; object scope from template,rte,0.00100,0.30000,null,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
12,chk,calibration.cal / routing objects,absolute,1e-05,500,2.2130350711,Channel-bed hydraulic conductivity or channel seepage-loss control.,global writer value; object scope from template,rte,0.00001,500.00000,mm/hr,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
13,perco,calibration.cal / HRU objects,native_relative,0.8,1.1,1.015592052505,Soil vertical percolation coefficient controlling movement from soil profile toward recharge.,global writer value; object scope from template,hru,0.00000,1.00000,fraction,ACTIVE,KEEP,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\deepcal_standardized_smoke.py
