simulation_id,candidate_id,source_manifest,source_path,source_experiment,source,source_class,source_pool,sampling_method,seed,observation_independent,observed_directed,observed_directed_evidence,parameterization,parameter_dim,parameter_vector_available,parameter_vector_hash,parameter_vector_hash_computed,parameter_vector_path,feature_root,qsim_path,qsim_available,qsim_period,qsim_rows,qsim_sha256,objective_available,status,physical_swat_run,validation_or_final_data_touched,development_only,validation_touched,final_test_touched,contains_locked_validation,contains_final_test,paper_contamination,usable_for_A1_A2,usable_for_A1,usable_for_A2,study_area,swat_revision,record_kind,notes
DEEPCAL100-HIST-FP-0001,DEEPCAL100-HIST-FP-0001,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,987f35e119b76a93a983394174e64820259867c252d7926b8f7a496ded9befda,987f35e119b76a93a983394174e64820259867c252d7926b8f7a496ded9befda,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0001\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0001,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0001\development_q.csv,YES,2003-01-01/2016-12-31,5114,3d36ac20d772e5c977a6c8bebba21a4a396d11055d3910002c0cb147014cdb53,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0002,DEEPCAL100-HIST-FP-0002,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,551397f4a2eaa2fe8076212ac7a3728a74160aa0c2a5676405cea84015e4b849,551397f4a2eaa2fe8076212ac7a3728a74160aa0c2a5676405cea84015e4b849,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0002\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0002,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0002\development_q.csv,YES,2003-01-01/2016-12-31,5114,6834c6e7baf018529eecb1ca4180943b1c8f57df6607124c02f78ac930ac6e54,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0003,DEEPCAL100-HIST-FP-0003,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,014ea543ce1315e95eeac5fd0f12900a0008dca8f3a5f3b2d96d199f8c20f993,014ea543ce1315e95eeac5fd0f12900a0008dca8f3a5f3b2d96d199f8c20f993,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0003\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0003,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0003\development_q.csv,YES,2003-01-01/2016-12-31,5114,994f982c29b92f4310aaeefa51adff932617545fcf6c529fbe56f86826accf86,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0004,DEEPCAL100-HIST-FP-0004,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,89fe5205d91aa996b132896946004c54a47e662c62d5f1258da788f7feb98364,89fe5205d91aa996b132896946004c54a47e662c62d5f1258da788f7feb98364,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0004\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0004,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0004\development_q.csv,YES,2003-01-01/2016-12-31,5114,82f60cf783ff24e11fdafbb5b36e136a2a1318f0bafb700a5ee8c7276231ad32,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0005,DEEPCAL100-HIST-FP-0005,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,969e43e319496df71fc38d19bc210b461a8ef79aa33352689ebe8d5099c41021,969e43e319496df71fc38d19bc210b461a8ef79aa33352689ebe8d5099c41021,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0005\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0005,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0005\development_q.csv,YES,2003-01-01/2016-12-31,5114,1004b4c8462c97a1e39e1d29d3e1bee5a713cb39752acaa2660ba9ce17798b07,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0006,DEEPCAL100-HIST-FP-0006,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,7df91af2fe7b0e304d822dadbb1c0c97525cdf351a913f0e1d1c6a35fc0f14fc,7df91af2fe7b0e304d822dadbb1c0c97525cdf351a913f0e1d1c6a35fc0f14fc,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0006\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0006,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0006\development_q.csv,YES,2003-01-01/2016-12-31,5114,078ce0e55526bbcaffdb2601c6ba94c777afc86a85e370f2e1170cc78e58b993,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0007,DEEPCAL100-HIST-FP-0007,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,7f0e03451cf110ce8a96fe2b77c692998f0021d0cfb7aa5b6940fe5d73c7a5c3,7f0e03451cf110ce8a96fe2b77c692998f0021d0cfb7aa5b6940fe5d73c7a5c3,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0007\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0007,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0007\development_q.csv,YES,2003-01-01/2016-12-31,5114,254f4a2a74023fdd9ed841b1b57313ff097b6230dfa844af2646235b2f192430,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0008,DEEPCAL100-HIST-FP-0008,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,3e10ad11e21b42a66d547df102a48fdcf7fb78e04dea246dda7d75be813cf3e5,3e10ad11e21b42a66d547df102a48fdcf7fb78e04dea246dda7d75be813cf3e5,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0008\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0008,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0008\development_q.csv,YES,2003-01-01/2016-12-31,5114,3241be85462f952ac9b25da9cfee681a35fc68dfb1bcba08bc1f2b3f00f3d573,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0009,DEEPCAL100-HIST-FP-0009,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,848f220e9bf42c803db2ef99e6fb3d9cc2cdf02272b00c584bd782696176bda5,848f220e9bf42c803db2ef99e6fb3d9cc2cdf02272b00c584bd782696176bda5,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0009\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0009,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0009\development_q.csv,YES,2003-01-01/2016-12-31,5114,061c36d1c02d50dced1bcbe02947ca98ac7e9242ef203a45e1a7a94d0e36badd,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
DEEPCAL100-HIST-FP-0010,DEEPCAL100-HIST-FP-0010,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,historical_maximin_farthest_point,optimizer_directed,optimizer_directed,historical_maximin_farthest_point,,NO,YES,historical maximin/farthest-point selection,current_14d,14,YES,1beb76a1d26d334124bbb31907124bf7d3e413ad6ee8283259526d680e27832e,1beb76a1d26d334124bbb31907124bf7d3e413ad6ee8283259526d680e27832e,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0010\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0010,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-HIST-FP-0010\development_q.csv,YES,2003-01-01/2016-12-31,5114,0e4a7762c0005e5a2189426d8725dead1525b69a9868f6e7e0396d5452e26937,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,historical observed-directed reference candidate
