date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-01-01,17.49,17.49,0.0,46.67,46.67,0.0,62.96,62.96,0.0
2003-01-02,16.04,16.04,0.0,42.47,42.47,0.0,57.6,57.6,0.0
2003-01-03,16.63,16.63,0.0,30.73,30.73,0.0,46.59,46.59,0.0
2003-01-04,15.82,15.82,0.0,27.77,27.77,0.0,42.89,42.89,0.0
2003-01-05,15.79,15.79,0.0,27.5,27.5,0.0,42.58,42.58,0.0
2003-01-06,15.54,15.54,0.0,24.64,24.64,0.0,38.62,38.62,0.0
2003-01-07,11.76,11.76,0.0,20.4,20.4,0.0,32.21,32.21,0.0
2003-01-08,12.97,12.97,0.0,24.6,24.6,0.0,37.11,37.11,0.0
2003-01-09,12.78,12.78,0.0,26.66,26.66,0.0,38.91,38.91,0.0
2003-01-10,13.36,13.36,0.0,24.82,24.82,0.0,37.65,37.65,0.0
2003-01-11,13.43,13.43,0.0,23.42,23.42,0.0,36.2,36.2,0.0
2003-01-12,13.35,13.35,0.0,23.74,23.74,0.0,36.43,36.43,0.0
2003-01-13,13.14,13.14,0.0,23.65,23.65,0.0,36.14,36.14,0.0
2003-01-14,12.97,12.97,0.0,23.51,23.51,0.0,35.9,35.9,0.0
2003-01-15,11.16,11.16,0.0,21.02,21.02,0.0,31.24,31.24,0.0
2003-01-16,11.12,11.12,0.0,18.85,18.85,0.0,29.12,29.12,0.0
2003-01-17,10.46,10.46,0.0,18.77,18.77,0.0,28.96,28.96,0.0
2003-01-18,10.9,10.9,0.0,18.41,18.41,0.0,28.84,28.84,0.0
2003-01-19,11.11,11.11,0.0,18.82,18.82,0.0,29.48,29.48,0.0
2003-01-20,11.06,11.06,0.0,18.81,18.81,0.0,29.38,29.38,0.0
2003-01-21,10.87,10.87,0.0,17.75,17.75,0.0,28.04,28.04,0.0
2003-01-22,10.73,10.73,0.0,17.9,17.9,0.0,28.1,28.1,0.0
2003-01-23,10.16,10.16,0.0,17.79,17.79,0.0,27.73,27.73,0.0
2003-01-24,9.48,9.48,0.0,14.71,14.71,0.0,23.32,23.32,0.0
2003-01-25,8.66,8.66,0.0,15.21,15.21,0.0,23.41,23.41,0.0
2003-01-26,9.135,9.135,0.0,15.55,15.55,0.0,24.24,24.24,0.0
2003-01-27,9.206,9.206,0.0,15.12,15.12,0.0,23.78,23.78,0.0
2003-01-28,9.199,9.199,0.0,14.97,14.97,0.0,23.65,23.65,0.0
2003-01-29,9.614,9.614,0.0,15.38,15.38,0.0,24.54,24.54,0.0
2003-01-30,8.948,8.948,0.0,14.38,14.38,0.0,22.8,22.8,0.0
2003-01-31,8.79,8.79,0.0,15.43,15.43,0.0,23.67,23.67,0.0
2003-02-01,9.581,9.581,0.0,15.46,15.46,0.0,24.06,24.06,0.0
2003-02-02,7.93,7.93,0.0,17.29,17.29,0.0,24.75,24.75,0.0
2003-02-03,8.512,8.512,0.0,34.68,34.68,0.0,43.04,43.04,0.0
2003-02-04,8.351,8.351,0.0,24.62,24.62,0.0,32.37,32.37,0.0
2003-02-05,7.771,7.771,0.0,15.64,15.64,0.0,22.95,22.95,0.0
2003-02-06,7.839,7.839,0.0,15.36,15.36,0.0,22.85,22.85,0.0
2003-02-07,7.756,7.756,0.0,14.17,14.17,0.0,21.57,21.57,0.0
2003-02-08,7.554,7.554,0.0,14.26,14.26,0.0,21.34,21.34,0.0
2003-02-09,7.423,7.423,0.0,13.72,13.72,0.0,20.68,20.68,0.0
2003-02-10,7.383,7.383,0.0,14.1,14.1,0.0,21.15,21.15,0.0
2003-02-11,6.966,6.966,0.0,13.0,13.0,0.0,19.69,19.69,0.0
2003-02-12,6.372,6.372,0.0,12.72,12.72,0.0,18.59,18.59,0.0
2003-02-13,6.307,6.307,0.0,12.72,12.72,0.0,18.53,18.53,0.0
2003-02-14,6.473,6.473,0.0,12.64,12.64,0.0,19.05,19.05,0.0
2003-02-15,6.684,6.684,0.0,13.14,13.14,0.0,19.88,19.88,0.0
2003-02-16,7.162,7.162,0.0,13.6,13.6,0.0,21.48,21.48,0.0
2003-02-17,6.329,6.329,0.0,11.31,11.31,0.0,17.37,17.37,0.0
2003-02-18,6.134,6.134,0.0,11.2,11.2,0.0,16.92,16.92,0.0
