parameter,test_nrmse,test_rmse_normalized,test_r2
cn2,0.2979292771,0.2965472809,-0.03104427077
latq_co,0.2419300919,0.2411031824,0.2359061181
lat_ttime,0.1582768004,0.1572721136,0.6929005842
esco,0.2997309515,0.2981576567,-0.02242531805
epco,0.2843577843,0.2838718213,0.05697777250
petco,0.2294594483,0.2272746402,0.3981556070
alpha,0.2950895052,0.2935765951,-0.004858350805
bf_max,0.2838559298,0.2818808587,-0.009857804712
revap_co,0.2911972359,0.2906284735,-0.01279460065
deep_seep,0.2720556498,0.2695316960,0.1023628077
surlag,0.2923170126,0.2913178822,-0.001825876828
chn,0.2889533501,0.2858493596,-0.007419624763
chk,0.2946797889,0.2933128661,-0.006277573711
perco,0.2733987910,0.2729982936,0.09003148171
