run_id,method,region,arm,seed,evaluation,candidate_id,status,theta_json,theta_normalized_json,qsim_path,01605500_nse,01606000_nse,01606500_nse,mean_nse,min_nse,01605500_kge,01606000_kge,01606500_kge,01605500_pbias,01606000_pbias,01606500_pbias,01605500_rmse,01606000_rmse,01606500_rmse,station_nse_json,station_kge_json,station_pbias_json,station_rmse_json,best_so_far,elapsed_seconds,error,completed_at
DE_SOFT_AI_20260904,DE,SOFT_AI,DE_SOFT_AI,20260904,1,DE_SOFT_AI_20260904-0001,DONE,"[2.407815796869695,0.6945123754813929,31.51810044993621,0.7642633887661099,0.7571802682721971,1.0731159991482642,0.6017318247247099,0.8656486859947752,0.05242476607547228,0.27989670819811646,20.13997678454703,0.2519388826700679,405.93455376283805,0.9909341912796362]","[0.7469271932289898,0.6945123754813929,0.17280278802192875,0.7642633887661099,0.7571802682721971,0.6827899978706606,0.6017318247247099,0.4029729926288291,0.1801375893081793,0.6989892436043019,0.8388299283735713,0.8392604771574178,0.8118691037630582,0.6364473042654539]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DE_SOFT_AI_20260904\evaluation_0001.npy,0.1475809120989946,0.2791929321815153,0.29128492633035963,0.2393529235369565,0.1475809120989946,0.2456091832412951,0.32989388009844234,0.3132427654318587,41.24031304898821,19.26389192257561,4.5468315213048385,8.18679681170209,16.950228136531656,28.18269783545225,"{""01605500"":0.1475809120989946,""01606000"":0.2791929321815153,""01606500"":0.29128492633035963}","{""01605500"":0.2456091832412951,""01606000"":0.32989388009844234,""01606500"":0.3132427654318587}","{""01605500"":41.24031304898821,""01606000"":19.26389192257561,""01606500"":4.5468315213048385}","{""01605500"":8.18679681170209,""01606000"":16.950228136531656,""01606500"":28.18269783545225}",0.2393529235369565,44.85464179998962,,2026-09-03T13:47:46.915918+00:00
BO_SOFT_AI_20260903,BO,SOFT_AI,BO_SOFT_AI,20260903,1,BO_SOFT_AI_20260903-0001,DONE,"[-11.389317858598206,0.2672567761771309,29.350389012775526,0.698635760582098,0.7562147917418355,0.9809634522550859,0.7171626441913745,0.6547975068134302,0.1298900968481907,0.22233667086063402,9.267194879685452,0.17499229766718224,127.15452282282952,1.0896208948538926]","[0.28702273804672646,0.2672567761771309,0.16072640118537898,0.698635760582098,0.7562147917418355,0.4524086306377145,0.7171626441913745,0.29199868779654226,0.6105005380455037,0.554728498397579,0.3848515607384322,0.5819140390206764,0.25430903073183964,0.9654029828463082]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\BO_SOFT_AI_20260903\evaluation_0001.npy,0.3580407153668149,0.5315809376602929,0.5099546190981561,0.4665254240417546,0.3580407153668149,0.4822573160146195,0.5557238099212505,0.5184356744786447,33.74982752125239,13.565023207293057,-0.1919564376797863,7.104625182999893,13.664171675476078,23.434995764323975,"{""01605500"":0.3580407153668149,""01606000"":0.5315809376602929,""01606500"":0.5099546190981561}","{""01605500"":0.4822573160146195,""01606000"":0.5557238099212505,""01606500"":0.5184356744786447}","{""01605500"":33.74982752125239,""01606000"":13.565023207293057,""01606500"":-0.1919564376797863}","{""01605500"":7.104625182999893,""01606000"":13.664171675476078,""01606500"":23.434995764323975}",0.4665254240417546,46.1082039999892,,2026-09-03T13:47:48.166220+00:00
DDS_SOFT_AI_20260903,DDS,SOFT_AI,DDS_SOFT_AI,20260903,1,DDS_SOFT_AI_20260903-0001,DONE,"[-4.572128295898439,0.31941384077072144,77.9794921875,0.5072227716445923,0.5018150210380554,1.08740234375,0.4848923683166504,1.0630097389221191,0.10975213348865509,0.22186732292175296,11.386322975158691,0.1549385190010071,242.81002807617188,0.999804675579071]","[0.5142623901367187,0.31941384077072144,0.431640625,0.5072227716445923,0.5018150210380554,0.718505859375,0.4848923683166504,0.5068472310116416,0.4986229638258615,0.5535521877738169,0.473332900841699,0.5148445451538699,0.4856200458647446,0.6660155852635699]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DDS_SOFT_AI_20260903\evaluation_0001.npy,0.16777877357810256,0.24260348969809065,0.24441189877489067,0.21826472068369462,0.16777877357810256,0.16866236071279295,0.2265905302695186,0.20155411373978505,36.16410637288171,14.611440658462321,0.2811493523200402,8.089223278916927,17.375114671520485,29.099751778946253,"{""01605500"":0.16777877357810256,""01606000"":0.24260348969809065,""01606500"":0.24441189877489067}","{""01605500"":0.16866236071279295,""01606000"":0.2265905302695186,""01606500"":0.20155411373978505}","{""01605500"":36.16410637288171,""01606000"":14.611440658462321,""01606500"":0.2811493523200402}","{""01605500"":8.089223278916927,""01606000"":17.375114671520485,""01606500"":29.099751778946253}",0.21826472068369462,46.62920039999881,,2026-09-03T13:47:48.677919+00:00
BO_SOFT_AI_20260904,BO,SOFT_AI,BO_SOFT_AI,20260904,1,BO_SOFT_AI_20260904-0001,DONE,"[2.407815796869695,0.6945123754813929,31.51810044993621,0.7642633887661099,0.7571802682721971,1.0731159991482642,0.6017318247247099,0.8656486859947752,0.05242476607547228,0.27989670819811646,20.13997678454703,0.2519388826700679,405.93455376283805,0.9909341912796362]","[0.7469271932289898,0.6945123754813929,0.17280278802192875,0.7642633887661099,0.7571802682721971,0.6827899978706606,0.6017318247247099,0.4029729926288291,0.1801375893081793,0.6989892436043019,0.8388299283735713,0.8392604771574178,0.8118691037630582,0.6364473042654539]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\BO_SOFT_AI_20260904\evaluation_0001.npy,0.1475809120989946,0.2791929321815153,0.29128492633035963,0.2393529235369565,0.1475809120989946,0.2456091832412951,0.32989388009844234,0.3132427654318587,41.24031304898821,19.26389192257561,4.5468315213048385,8.18679681170209,16.950228136531656,28.18269783545225,"{""01605500"":0.1475809120989946,""01606000"":0.2791929321815153,""01606500"":0.29128492633035963}","{""01605500"":0.2456091832412951,""01606000"":0.32989388009844234,""01606500"":0.3132427654318587}","{""01605500"":41.24031304898821,""01606000"":19.26389192257561,""01606500"":4.5468315213048385}","{""01605500"":8.18679681170209,""01606000"":16.950228136531656,""01606500"":28.18269783545225}",0.2393529235369565,46.69412820000434,,2026-09-03T13:47:48.757480+00:00
DDS_SOFT_AI_20260904,DDS,SOFT_AI,DDS_SOFT_AI,20260904,1,DDS_SOFT_AI_20260904-0001,DONE,"[-4.572128295898439,0.31941384077072144,77.9794921875,0.5072227716445923,0.5018150210380554,1.08740234375,0.4848923683166504,1.0630097389221191,0.10975213348865509,0.22186732292175296,11.386322975158691,0.1549385190010071,242.81002807617188,0.999804675579071]","[0.5142623901367187,0.31941384077072144,0.431640625,0.5072227716445923,0.5018150210380554,0.718505859375,0.4848923683166504,0.5068472310116416,0.4986229638258615,0.5535521877738169,0.473332900841699,0.5148445451538699,0.4856200458647446,0.6660155852635699]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DDS_SOFT_AI_20260904\evaluation_0001.npy,0.16777877357810256,0.24260348969809065,0.24441189877489067,0.21826472068369462,0.16777877357810256,0.16866236071279295,0.2265905302695186,0.20155411373978505,36.16410637288171,14.611440658462321,0.2811493523200402,8.089223278916927,17.375114671520485,29.099751778946253,"{""01605500"":0.16777877357810256,""01606000"":0.24260348969809065,""01606500"":0.24441189877489067}","{""01605500"":0.16866236071279295,""01606000"":0.2265905302695186,""01606500"":0.20155411373978505}","{""01605500"":36.16410637288171,""01606000"":14.611440658462321,""01606500"":0.2811493523200402}","{""01605500"":8.089223278916927,""01606000"":17.375114671520485,""01606500"":29.099751778946253}",0.21826472068369462,46.70536709998851,,2026-09-03T13:47:48.764915+00:00
DE_SOFT_AI_20260903,DE,SOFT_AI,DE_SOFT_AI,20260903,1,DE_SOFT_AI_20260903-0001,DONE,"[-11.389317858598206,0.2672567761771309,29.350389012775526,0.698635760582098,0.7562147917418355,0.9809634522550859,0.7171626441913745,0.6547975068134302,0.1298900968481907,0.22233667086063402,9.267194879685452,0.17499229766718224,127.15452282282952,1.0896208948538926]","[0.28702273804672646,0.2672567761771309,0.16072640118537898,0.698635760582098,0.7562147917418355,0.4524086306377145,0.7171626441913745,0.29199868779654226,0.6105005380455037,0.554728498397579,0.3848515607384322,0.5819140390206764,0.25430903073183964,0.9654029828463082]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DE_SOFT_AI_20260903\evaluation_0001.npy,0.3580407153668149,0.5315809376602929,0.5099546190981561,0.4665254240417546,0.3580407153668149,0.4822573160146195,0.5557238099212505,0.5184356744786447,33.74982752125239,13.565023207293057,-0.1919564376797863,7.104625182999893,13.664171675476078,23.434995764323975,"{""01605500"":0.3580407153668149,""01606000"":0.5315809376602929,""01606500"":0.5099546190981561}","{""01605500"":0.4822573160146195,""01606000"":0.5557238099212505,""01606500"":0.5184356744786447}","{""01605500"":33.74982752125239,""01606000"":13.565023207293057,""01606500"":-0.1919564376797863}","{""01605500"":7.104625182999893,""01606000"":13.664171675476078,""01606500"":23.434995764323975}",0.4665254240417546,46.84358659997815,,2026-09-03T13:47:48.897794+00:00
DE_SOFT_AI_20260904,DE,SOFT_AI,DE_SOFT_AI,20260904,2,DE_SOFT_AI_20260904-0002,DONE,"[-3.6290897544877367,0.11487430765532401,137.51413339286833,0.23349122321104016,0.4382199562424467,1.0738408290141934,0.47841672978375105,0.9526313276254195,0.08477487957920041,0.13514833538134652,7.419121075698219,0.16373001787274208,241.99023276374467,1.0380875720205254]","[0.5456970081837421,0.11487430765532401,0.7633099353363137,0.23349122321104016,0.4382199562424467,0.6846020725354833,0.47841672978375105,0.4487533303291682,0.3598604421066689,0.33621136687054265,0.3076877275865645,0.5442475514138532,0.4839804552070984,0.7936252400684174]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DE_SOFT_AI_20260904\evaluation_0002.npy,0.2632035449819221,0.36707798016948756,0.34544437837575637,0.3252419678423887,0.2632035449819221,0.2598634956302446,0.3447463921769791,0.29712934786346823,33.92988684139481,13.26599354698094,-1.0665525950841632,7.611341228931757,15.883314390414828,27.084449195116758,"{""01605500"":0.2632035449819221,""01606000"":0.36707798016948756,""01606500"":0.34544437837575637}","{""01605500"":0.2598634956302446,""01606000"":0.3447463921769791,""01606500"":0.29712934786346823}","{""01605500"":33.92988684139481,""01606000"":13.26599354698094,""01606500"":-1.0665525950841632}","{""01605500"":7.611341228931757,""01606000"":15.883314390414828,""01606500"":27.084449195116758}",0.3252419678423887,39.29981549998047,,2026-09-03T13:48:26.243117+00:00
BO_SOFT_AI_20260903,BO,SOFT_AI,BO_SOFT_AI,20260903,2,BO_SOFT_AI_20260903-0002,DONE,"[-3.9646060167546153,0.05983665802656396,98.75715722127129,0.5216359695506336,0.5419853358483072,1.1884644455628341,0.29663815053171555,0.8024878736547532,0.06929210739912164,0.17212668859950256,20.66220590479602,0.16598687572689635,413.9700029959827,0.9637623233154551]","[0.5345131327748461,0.05983665802656396,0.5473936335446868,0.5216359695506336,0.5419853358483072,0.9711611139070854,0.29663815053171555,0.36973045981829117,0.2738450411062313,0.42888894385840237,0.8606349020791658,0.5517955709929644,0.8279400025507655,0.5458744110515167]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\BO_SOFT_AI_20260903\evaluation_0002.npy,0.19293886994443732,0.24936740852922856,0.24782892577866777,0.2300450680841112,0.19293886994443732,0.22810782304937582,0.30549046384236855,0.2331568903378577,19.967715038930265,3.50764252763778,-10.165603264650214,7.966006276811106,17.297356569772234,29.033877718910333,"{""01605500"":0.19293886994443732,""01606000"":0.24936740852922856,""01606500"":0.24782892577866777}","{""01605500"":0.22810782304937582,""01606000"":0.30549046384236855,""01606500"":0.2331568903378577}","{""01605500"":19.967715038930265,""01606000"":3.50764252763778,""01606500"":-10.165603264650214}","{""01605500"":7.966006276811106,""01606000"":17.297356569772234,""01606500"":29.033877718910333}",0.4665254240417546,40.20929240001715,,2026-09-03T13:48:28.391424+00:00
DDS_SOFT_AI_20260903,DDS,SOFT_AI,DDS_SOFT_AI,20260903,2,DDS_SOFT_AI_20260903-0002,DONE,"[-11.389317858598206,0.2672567761771309,29.350389012775526,0.698635760582098,0.7562147917418355,0.9809634522550859,0.7171626441913745,0.6547975068134302,0.1298900968481907,0.22233667086063402,9.267194879685452,0.17499229766718224,127.15452282282952,1.0896208948538926]","[0.28702273804672646,0.2672567761771309,0.16072640118537898,0.698635760582098,0.7562147917418355,0.4524086306377145,0.7171626441913745,0.29199868779654226,0.6105005380455037,0.554728498397579,0.3848515607384322,0.5819140390206764,0.25430903073183964,0.9654029828463082]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DDS_SOFT_AI_20260903\evaluation_0002.npy,0.3580407153668149,0.5315809376602929,0.5099546190981561,0.4665254240417546,0.3580407153668149,0.4822573160146195,0.5557238099212505,0.5184356744786447,33.74982752125239,13.565023207293057,-0.1919564376797863,7.104625182999893,13.664171675476078,23.434995764323975,"{""01605500"":0.3580407153668149,""01606000"":0.5315809376602929,""01606500"":0.5099546190981561}","{""01605500"":0.4822573160146195,""01606000"":0.5557238099212505,""01606500"":0.5184356744786447}","{""01605500"":33.74982752125239,""01606000"":13.565023207293057,""01606500"":-0.1919564376797863}","{""01605500"":7.104625182999893,""01606000"":13.664171675476078,""01606500"":23.434995764323975}",0.4665254240417546,41.11279579999973,,2026-09-03T13:48:29.814937+00:00
DE_SOFT_AI_20260903,DE,SOFT_AI,DE_SOFT_AI,20260903,2,DE_SOFT_AI_20260903-0002,DONE,"[-3.9646060167546153,0.05983665802656396,98.75715722127129,0.5216359695506336,0.5419853358483072,1.1884644455628341,0.29663815053171555,0.8024878736547532,0.06929210739912164,0.17212668859950256,20.66220590479602,0.16598687572689635,413.9700029959827,0.9637623233154551]","[0.5345131327748461,0.05983665802656396,0.5473936335446868,0.5216359695506336,0.5419853358483072,0.9711611139070854,0.29663815053171555,0.36973045981829117,0.2738450411062313,0.42888894385840237,0.8606349020791658,0.5517955709929644,0.8279400025507655,0.5458744110515167]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a4\qsim\DE_SOFT_AI_20260903\evaluation_0002.npy,0.19293886994443732,0.24936740852922856,0.24782892577866777,0.2300450680841112,0.19293886994443732,0.22810782304937582,0.30549046384236855,0.2331568903378577,19.967715038930265,3.50764252763778,-10.165603264650214,7.966006276811106,17.297356569772234,29.033877718910333,"{""01605500"":0.19293886994443732,""01606000"":0.24936740852922856,""01606500"":0.24782892577866777}","{""01605500"":0.22810782304937582,""01606000"":0.30549046384236855,""01606500"":0.2331568903378577}","{""01605500"":19.967715038930265,""01606000"":3.50764252763778,""01606500"":-10.165603264650214}","{""01605500"":7.966006276811106,""01606000"":17.297356569772234,""01606500"":29.033877718910333}",0.4665254240417546,41.16783259998192,,2026-09-03T13:48:30.079390+00:00
