year,window,start,end,n_days,power_days,ghcn_days,power_rain_mm,ghcn_rain_mm,ghcn_coverage_pct
2021,FULL_YEAR,2021-01-01,2021-12-31,365,365,330,256.61,399.7,90.41
2021,MAY_OCT,2021-05-01,2021-10-31,184,184,184,171.98,147.3,100.0
2021,TANG_A,2021-04-21,2021-09-04,137,137,137,149.27,122.2,100.0
2021,TANG_B,2021-04-26,2021-09-07,135,135,135,140.04,115.2,100.0
2021,TANG_C,2021-05-06,2021-09-15,133,133,133,135.88,108.4,100.0
2021,TANG_D,2021-05-16,2021-09-27,135,135,135,124.77,95.7,100.0
2021,TANG_E,2021-05-26,2021-10-13,141,141,141,135.64,107.7,100.0
2022,FULL_YEAR,2022-01-01,2022-12-31,365,365,320,201.79,200.2,87.67
2022,MAY_OCT,2022-05-01,2022-10-31,184,184,183,98.32,76.5,99.46
2022,TANG_A,2022-04-21,2022-09-04,137,137,137,89.27,70.1,100.0
2022,TANG_B,2022-04-26,2022-09-07,135,135,135,81.34,60.7,100.0
2022,TANG_C,2022-05-06,2022-09-15,133,133,132,80.2,59.2,99.25
2022,TANG_D,2022-05-16,2022-09-27,135,135,134,73.12,53.1,99.26
2022,TANG_E,2022-05-26,2022-10-13,141,141,140,78.62,57.4,99.29
