date,year,doy,srad_mj_m2_d,tmax_c,tmin_c,rain_mm,temperature_source,dense_observed_hours
2021-01-01,2021,1,6.25,-11.0,-18.0,0.53,NOAA_ISD_514635_DENSE,24
2021-01-02,2021,2,3.93,-12.0,-17.0,2.91,NOAA_ISD_514635_DENSE,24
2021-01-03,2021,3,5.04,-13.0,-20.0,0.55,NOAA_ISD_514635_DENSE,24
2021-01-04,2021,4,6.68,-17.0,-24.0,0.01,NOAA_ISD_514635_DENSE,24
2021-01-05,2021,5,6.59,-21.0,-25.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-06,2021,6,6.34,-20.0,-26.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-07,2021,7,6.19,-16.0,-24.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-08,2021,8,6.08,-16.0,-24.0,0.65,NOAA_ISD_514635_DENSE,24
2021-01-09,2021,9,5.32,-12.0,-20.0,0.37,NOAA_ISD_514635_DENSE,24
2021-01-10,2021,10,7.42,-14.0,-22.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-11,2021,11,7.41,-17.0,-23.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-12,2021,12,7.46,-13.0,-21.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-13,2021,13,5.69,-6.0,-19.0,0.46,NOAA_ISD_514635_DENSE,24
2021-01-14,2021,14,5.93,-6.0,-13.0,0.12,NOAA_ISD_514635_DENSE,24
2021-01-15,2021,15,7.07,-12.0,-19.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-16,2021,16,7.62,-18.0,-25.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-17,2021,17,7.75,-13.0,-22.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-18,2021,18,8.36,-11.0,-19.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-19,2021,19,7.7,-12.0,-19.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-20,2021,20,7.31,-8.0,-18.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-21,2021,21,8.34,-4.0,-15.0,0.0,NOAA_ISD_514635_DENSE,24
2021-01-22,2021,22,8.04,-3.0,-16.0,0.28,NOAA_ISD_514635_DENSE,24
2021-01-23,2021,23,4.4,-2.0,-9.0,3.05,NOAA_ISD_514635_DENSE,24
2021-01-24,2021,24,5.56,-3.0,-15.0,0.09,NOAA_ISD_514635_DENSE,24
2021-01-25,2021,25,8.68,-5.0,-14.0,1.1,NOAA_ISD_514635_DENSE,24
