scenario,year,sowing,M0_PDAT,M0_EDAT,M0_ADAT,M0_MDAT,M0_CWAM,M0_HWAM,M0_HIAM,M0_LAIX,M0_ETCM,M0_EPCM,M0_ESCM,M0_SWXM,M0_CRST,H0TT_PDAT,H0TT_EDAT,H0TT_ADAT,H0TT_MDAT,H0TT_CWAM,H0TT_HWAM,H0TT_HIAM,H0TT_LAIX,H0TT_ETCM,H0TT_EPCM,H0TT_ESCM,H0TT_SWXM,H0TT_CRST,M15W_PDAT,M15W_EDAT,M15W_ADAT,M15W_MDAT,M15W_CWAM,M15W_HWAM,M15W_HIAM,M15W_LAIX,M15W_ETCM,M15W_EPCM,M15W_ESCM,M15W_SWXM,M15W_CRST,M15TT_PDAT,M15TT_EDAT,M15TT_ADAT,M15TT_MDAT,M15TT_CWAM,M15TT_HWAM,M15TT_HIAM,M15TT_LAIX,M15TT_ETCM,M15TT_EPCM,M15TT_ESCM,M15TT_SWXM,M15TT_CRST,D_GENERIC_PDAT,D_WEATHER_PDAT,D_LOCAL_PDAT,D_TOTAL_PDAT,D_GENERIC_EDAT,D_WEATHER_EDAT,D_LOCAL_EDAT,D_TOTAL_EDAT,D_GENERIC_ADAT,D_WEATHER_ADAT,D_LOCAL_ADAT,D_TOTAL_ADAT,D_GENERIC_MDAT,D_WEATHER_MDAT,D_LOCAL_MDAT,D_TOTAL_MDAT,D_GENERIC_CWAM,D_WEATHER_CWAM,D_LOCAL_CWAM,D_TOTAL_CWAM,D_GENERIC_HWAM,D_WEATHER_HWAM,D_LOCAL_HWAM,D_TOTAL_HWAM,D_GENERIC_HIAM,D_WEATHER_HIAM,D_LOCAL_HIAM,D_TOTAL_HIAM,D_GENERIC_LAIX,D_WEATHER_LAIX,D_LOCAL_LAIX,D_TOTAL_LAIX,D_GENERIC_ETCM,D_WEATHER_ETCM,D_LOCAL_ETCM,D_TOTAL_ETCM,D_GENERIC_EPCM,D_WEATHER_EPCM,D_LOCAL_EPCM,D_TOTAL_EPCM,D_GENERIC_ESCM,D_WEATHER_ESCM,D_LOCAL_ESCM,D_TOTAL_ESCM,D_GENERIC_SWXM,D_WEATHER_SWXM,D_LOCAL_SWXM,D_TOTAL_SWXM,D_GENERIC_CRST,D_WEATHER_CRST,D_LOCAL_CRST,D_TOTAL_CRST
ANQH2101,2021,Apr21,590,2021110,2021111,2021121,2021,-99,826,126.9,68,86,312,0,79.7,590,2021110,2021111,2021121,2021,-99,828,127.2,68,86,312,0,79.7,590,2021110,2021111,2021121,2021,-99,826,126.9,68,86,312,0,79.7,590,2021110,2021111,2021121,2021,-99,827,127.0,68,86,312,0,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,0.29999999999999716,0.0,-0.20000000000000284,0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2102,2021,Apr26,590,2021115,2021116,2021123,2021,-99,692,111.1,68,104,338,0,92.8,590,2021115,2021116,2021123,2021,-99,691,111.0,68,104,338,0,92.8,590,2021115,2021116,2021123,2021,-99,692,111.1,68,104,338,0,92.8,590,2021115,2021116,2021123,2021,-99,692,111.1,68,104,338,0,92.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-0.09999999999999432,0.0,0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2103,2021,May06,590,2021125,2021126,2021133,2021,-99,589,98.5,68,108,342,0,97.9,590,2021125,2021126,2021133,2021,-99,589,98.4,68,108,342,0,97.9,590,2021125,2021126,2021133,2021,-99,589,98.5,68,108,342,0,97.9,590,2021125,2021126,2021133,2021,-99,590,98.6,68,108,342,0,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.09999999999999432,0.0,0.19999999999998863,0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2104,2021,May16,590,2021135,2021136,2021143,2021,-99,1016,151.7,68,94,324,0,81.4,590,2021135,2021136,2021143,2021,-99,1016,151.6,68,94,324,0,81.4,590,2021135,2021136,2021143,2021,-99,1016,151.7,68,94,324,0,81.4,590,2021135,2021136,2021143,2021,-99,1016,151.6,68,94,324,0,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999432,0.0,0.0,-0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2105,2021,May26,590,2021145,2021146,2021151,2021,-99,1781,265.8,68,79,314,0,65.5,590,2021145,2021146,2021151,2021,-99,1772,264.5,68,79,314,0,65.6,590,2021145,2021146,2021151,2021,-99,1781,265.9,68,79,314,0,65.5,590,2021145,2021146,2021151,2021,-99,1772,264.5,68,79,314,0,65.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,-9.0,-1.3000000000000114,0.0999999999999659,0.0,-1.3000000000000114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999432,0.0,0.0,0.09999999999999432
ANQH2201,2022,Apr21,590,2022110,2022111,2022121,2022,-99,808,124.8,68,58,290,0,67.5,590,2022110,2022111,2022121,2022,-99,808,124.8,68,58,290,0,67.5,590,2022110,2022111,2022121,2022,-99,808,124.8,68,58,290,0,67.5,590,2022110,2022111,2022121,2022,-99,808,124.8,68,58,290,0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2202,2022,Apr26,590,2022115,2022116,2022123,2022,-99,679,109.5,68,58,276,0,54.6,590,2022115,2022116,2022123,2022,-99,681,109.8,68,58,276,0,54.6,590,2022115,2022116,2022123,2022,-99,679,109.5,68,58,276,0,54.6,590,2022115,2022116,2022123,2022,-99,680,109.7,68,58,276,0,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,0.29999999999999716,0.0,-0.09999999999999432,0.20000000000000284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2203,2022,May06,590,2022125,2022126,2022133,2022,-99,1647,245.8,68,44,272,0,52.3,590,2022125,2022126,2022133,2022,-99,1645,245.5,68,44,272,0,52.3,590,2022125,2022126,2022133,2022,-99,1647,245.8,68,44,272,0,52.3,590,2022125,2022126,2022133,2022,-99,1645,245.5,68,44,272,0,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-0.30000000000001137,0.0,0.0,-0.30000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2204,2022,May16,590,2022135,2022136,2022142,2022,-99,644,105.3,68,50,282,0,59.6,590,2022135,2022136,2022142,2022,-99,643,105.2,68,50,282,0,59.6,590,2022135,2022136,2022142,2022,-99,644,105.3,68,50,282,0,59.6,590,2022135,2022136,2022142,2022,-99,643,105.2,68,50,282,0,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-0.09999999999999432,0.0,0.0,-0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2205,2022,May26,590,2022145,2022146,2022152,2022,-99,732,115.9,68,50,282,0,62.5,590,2022145,2022146,2022152,2022,-99,741,116.9,68,50,282,0,62.5,590,2022145,2022146,2022152,2022,-99,732,115.9,68,50,282,0,62.5,590,2022145,2022146,2022152,2022,-99,741,116.9,68,50,282,0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
