date,year,doy,srad,tmax,tmin,dtr,clouds,m15_active,dtt_sine,dtt_h0tt,dtt_m15tt,generic_delta,local_delta,total_delta
2021-01-01,2021,1,6.2,-11.0,-18.0,7.0,0.268346424868911,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,2021,2,3.9,-12.0,-17.0,5.0,0.5419166227072437,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,2021,3,5.0,-13.0,-20.0,7.0,0.4156803607768689,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,2021,4,6.7,-17.0,-24.0,7.0,0.22125910448992414,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,2021,5,6.6,-21.0,-25.0,4.0,0.23732441303267582,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,2021,6,6.3,-20.0,-26.0,6.0,0.27646879876459085,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,2021,7,6.2,-16.0,-24.0,8.0,0.29258301155680955,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,2021,8,6.1,-16.0,-24.0,8.0,0.3087576603653307,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,2021,9,5.3,-12.0,-20.0,8.0,0.4037255976545977,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,2021,10,7.4,-14.0,-22.0,8.0,0.17371757132220966,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,2021,11,7.4,-17.0,-23.0,6.0,0.18018579848570204,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,2021,12,7.5,-13.0,-21.0,8.0,0.17586921095236063,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,2021,13,5.7,-6.0,-19.0,13.0,0.378946459368098,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,2021,14,5.9,-6.0,-13.0,7.0,0.3627678835459286,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,2021,15,7.1,-12.0,-19.0,7.0,0.24007336349677277,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,2021,16,7.6,-18.0,-25.0,7.0,0.19411154877582149,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,2021,17,7.8,-13.0,-22.0,9.0,0.18080273452892248,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,2021,18,8.4,-11.0,-19.0,8.0,0.12643648970361376,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,2021,19,7.7,-12.0,-19.0,7.0,0.20727921273998406,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,2021,20,7.3,-8.0,-18.0,10.0,0.2561865913206829,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,2021,21,8.3,-4.0,-15.0,11.0,0.16317922417556563,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,2021,22,8.0,-3.0,-16.0,13.0,0.20207243302087485,0,0.0,0.0,0.0,0.0,0.0,0.0
