year,sowing,start,end,days,low_days,high_days,extreme_days,m15_high_dtr_days,extreme_and_high_dtr,extreme_pct,overlap_pct_of_extreme
2021,A,2021-04-21,2021-09-04,137,7,22,29,15,2,21.16788321167883,6.896551724137931
2021,B,2021-04-26,2021-09-07,135,2,22,24,15,1,17.77777777777778,4.166666666666667
2021,C,2021-05-06,2021-09-15,133,0,23,23,9,1,17.293233082706767,4.3478260869565215
2021,D,2021-05-16,2021-09-27,135,1,23,24,7,1,17.77777777777778,4.166666666666667
2021,E,2021-05-26,2021-10-13,141,13,23,36,7,1,25.53191489361702,2.7777777777777777
2022,A,2022-04-21,2022-09-04,137,1,20,21,1,1,15.328467153284672,4.761904761904762
2022,B,2022-04-26,2022-09-07,135,0,22,22,1,1,16.296296296296298,4.545454545454546
2022,C,2022-05-06,2022-09-15,133,0,22,22,1,1,16.541353383458645,4.545454545454546
2022,D,2022-05-16,2022-09-27,135,0,22,22,1,1,16.296296296296298,4.545454545454546
2022,E,2022-05-26,2022-10-13,141,9,21,30,1,1,21.27659574468085,3.3333333333333335
