scenario,year,sowing,M0_PDAT,H0TT_PDAT,M15TT_PDAT,D_GENERIC_PDAT,D_LOCAL_PDAT,D_TOTAL_PDAT,M0_EDAT,H0TT_EDAT,M15TT_EDAT,D_GENERIC_EDAT,D_LOCAL_EDAT,D_TOTAL_EDAT,M0_ADAT,H0TT_ADAT,M15TT_ADAT,D_GENERIC_ADAT,D_LOCAL_ADAT,D_TOTAL_ADAT,M0_MDAT,H0TT_MDAT,M15TT_MDAT,D_GENERIC_MDAT,D_LOCAL_MDAT,D_TOTAL_MDAT,M0_CWAM,H0TT_CWAM,M15TT_CWAM,D_GENERIC_CWAM,D_LOCAL_CWAM,D_TOTAL_CWAM,M0_HWAM,H0TT_HWAM,M15TT_HWAM,D_GENERIC_HWAM,D_LOCAL_HWAM,D_TOTAL_HWAM,M0_HIAM,H0TT_HIAM,M15TT_HIAM,D_GENERIC_HIAM,D_LOCAL_HIAM,D_TOTAL_HIAM,M0_LAIX,H0TT_LAIX,M15TT_LAIX,D_GENERIC_LAIX,D_LOCAL_LAIX,D_TOTAL_LAIX,M0_ETCM,H0TT_ETCM,M15TT_ETCM,D_GENERIC_ETCM,D_LOCAL_ETCM,D_TOTAL_ETCM,M0_EPCM,H0TT_EPCM,M15TT_EPCM,D_GENERIC_EPCM,D_LOCAL_EPCM,D_TOTAL_EPCM,M0_ESCM,H0TT_ESCM,M15TT_ESCM,D_GENERIC_ESCM,D_LOCAL_ESCM,D_TOTAL_ESCM,M0_SWXM,H0TT_SWXM,M15TT_SWXM,D_GENERIC_SWXM,D_LOCAL_SWXM,D_TOTAL_SWXM,M0_CRST,H0TT_CRST,M15TT_CRST,D_GENERIC_CRST,D_LOCAL_CRST,D_TOTAL_CRST
ANQH2101,2021,Apr21,1111 202,590,1111 202,,,,1121 202,2021110,1121 202,,,,1189 202,2021111,1189 202,,,,1214 202,2021121,1214 202,,,,0770,2021,0778,1251.0,-1243.0,8.0,318,-99,319,-417.0,418.0,1.0,.030,828,.030,827.97,-827.97,0.0,5.6  -9,127.2,5.6  -9,,,,312,68,312,-244.0,244.0,0.0,225,86,225,-139.0,139.0,0.0,87,312,87,225.0,-225.0,0.0,0,0,0,0.0,0.0,0.0,1,79.7,1,78.7,-78.7,0.0
ANQH2102,2021,Apr26,1116 202,590,1116 202,,,,1123 202,2021115,1123 202,,,,1191 202,2021116,1191 202,,,,1243 202,2021123,1242 202,,,,1615,2021,1622,406.0,-399.0,7.0,1098,-99,1098,-1197.0,1197.0,0.0,.094,691,.094,690.906,-690.906,0.0,5.7  -9,111.0,5.7  -9,,,,338,68,338,-270.0,270.0,0.0,240,104,240,-136.0,136.0,0.0,97,338,97,241.0,-241.0,0.0,0,0,0,0.0,0.0,0.0,1,92.8,1,91.8,-91.8,0.0
ANQH2103,2021,May06,1126 202,590,1126 202,,,,1133 202,2021125,1133 202,,,,1198 202,2021126,1198 202,,,,1250 202,2021133,1250 202,,,,0741,2021,0734,1280.0,-1287.0,-7.0,1069,-99,1071,-1168.0,1170.0,2.0,.100,589,.100,588.9,-588.9,0.0,5.4  -9,98.4,5.4  -9,,,,342,68,342,-274.0,274.0,0.0,238,108,238,-130.0,130.0,0.0,104,342,104,238.0,-238.0,0.0,0,0,0,0.0,0.0,0.0,1,97.9,1,96.9,-96.9,0.0
ANQH2104,2021,May16,1136 202,590,1136 202,,,,1143 202,2021135,1143 202,,,,1201 202,2021136,1201 202,,,,1253 202,2021143,1253 202,,,,0989,2021,0991,1032.0,-1030.0,2.0,1943,-99,1942,-2042.0,2041.0,-1.0,.177,1016,.177,1015.823,-1015.823,0.0,5.2  -9,151.6,5.2  -9,,,,324,68,324,-256.0,256.0,0.0,238,94,238,-144.0,144.0,0.0,86,324,86,238.0,-238.0,0.0,0,0,0,0.0,0.0,0.0,1,81.4,1,80.4,-80.4,0.0
ANQH2105,2021,May26,1146 202,590,1146 202,,,,1151 202,2021145,1151 202,,,,1208 202,2021146,1208 202,,,,1261 202,2021151,1261 202,,,,2771,2021,2762,-750.0,741.0,-9.0,3370,-99,3353,-3469.0,3452.0,-17.0,.264,1772,.263,1771.736,-1771.737,-0.0010000000000000009,5.3  -9,264.5,5.3  -9,,,,314,68,314,-246.0,246.0,0.0,242,79,242,-163.0,163.0,0.0,73,314,73,241.0,-241.0,0.0,0,0,0,0.0,0.0,0.0,1,65.6,1,64.6,-64.6,0.0
ANQH2201,2022,Apr21,2111 202,590,2111 202,,,,2121 202,2022110,2121 202,,,,2184 202,2022111,2184 202,,,,2217 202,2022121,2217 202,,,,0492,2022,0505,1530.0,-1517.0,13.0,495,-99,495,-594.0,594.0,0.0,.047,808,.047,807.953,-807.953,0.0,5.6  -9,124.8,5.6  -9,,,,290,68,290,-222.0,222.0,0.0,218,58,218,-160.0,160.0,0.0,72,290,72,218.0,-218.0,0.0,0,0,0,0.0,0.0,0.0,1,67.5,1,66.5,-66.5,0.0
ANQH2202,2022,Apr26,2116 202,590,2116 202,,,,2123 202,2022115,2123 202,,,,2186 202,2022116,2186 202,,,,2217 202,2022123,2217 202,,,,9932,2022,9944,-7910.0,7922.0,12.0,361,-99,362,-460.0,461.0,1.0,.036,681,.036,680.964,-680.964,0.0,5.5  -9,109.8,5.5  -9,,,,276,68,276,-208.0,208.0,0.0,217,58,217,-159.0,159.0,0.0,59,276,59,217.0,-217.0,0.0,0,0,0,0.0,0.0,0.0,1,54.6,1,53.6,-53.6,0.0
ANQH2203,2022,May06,2126 202,590,2126 202,,,,2133 202,2022125,2133 202,,,,2189 202,2022126,2189 202,,,,2222 202,2022133,2222 202,,,,0752,2022,0766,1270.0,-1256.0,14.0,1145,-99,1143,-1244.0,1242.0,-2.0,.106,1645,.106,1644.894,-1644.894,0.0,5.3  -9,245.5,5.2  -9,,,,272,68,272,-204.0,204.0,0.0,215,44,215,-171.0,171.0,0.0,58,272,58,214.0,-214.0,0.0,0,0,0,0.0,0.0,0.0,1,52.3,1,51.3,-51.3,0.0
ANQH2204,2022,May16,2136 202,590,2136 202,,,,2142 202,2022135,2142 202,,,,2203 202,2022136,2203 202,,,,2236 202,2022142,2236 202,,,,0897,2022,0910,1125.0,-1112.0,13.0,465,-99,464,-564.0,563.0,-1.0,.043,643,.043,642.957,-642.957,0.0,5.6  -9,105.2,5.6  -9,,,,282,68,282,-214.0,214.0,0.0,215,50,215,-165.0,165.0,0.0,66,282,66,216.0,-216.0,0.0,0,0,0,0.0,0.0,0.0,1,59.6,1,58.6,-58.6,0.0
ANQH2205,2022,May26,2146 202,590,2146 202,,,,2152 202,2022145,2152 202,,,,2211 202,2022146,2211 202,,,,2248 202,2022152,2248 202,,,,1105,2022,1135,917.0,-887.0,30.0,779,-99,788,-878.0,887.0,9.0,.070,741,.071,740.93,-740.929,0.000999999999999987,5.6  -9,116.9,5.6  -9,,,,282,68,282,-214.0,214.0,0.0,215,50,215,-165.0,165.0,0.0,68,282,68,214.0,-214.0,0.0,0,0,0,0.0,0.0,0.0,1,62.5,1,61.5,-61.5,0.0
