scenario,year,sowing,M0_PDAT,H0TT_PDAT,M15TT_PDAT,D_GENERIC_PDAT,D_LOCAL_PDAT,D_TOTAL_PDAT,GENERIC_EQ_PDAT,LOCAL_EQ_PDAT,M0_EDAT,H0TT_EDAT,M15TT_EDAT,D_GENERIC_EDAT,D_LOCAL_EDAT,D_TOTAL_EDAT,GENERIC_EQ_EDAT,LOCAL_EQ_EDAT,M0_ADAT,H0TT_ADAT,M15TT_ADAT,D_GENERIC_ADAT,D_LOCAL_ADAT,D_TOTAL_ADAT,GENERIC_EQ_ADAT,LOCAL_EQ_ADAT,M0_MDAT,H0TT_MDAT,M15TT_MDAT,D_GENERIC_MDAT,D_LOCAL_MDAT,D_TOTAL_MDAT,GENERIC_EQ_MDAT,LOCAL_EQ_MDAT,M0_CWAM,H0TT_CWAM,M15TT_CWAM,D_GENERIC_CWAM,D_LOCAL_CWAM,D_TOTAL_CWAM,GENERIC_EQ_CWAM,LOCAL_EQ_CWAM,M0_HWAM,H0TT_HWAM,M15TT_HWAM,D_GENERIC_HWAM,D_LOCAL_HWAM,D_TOTAL_HWAM,GENERIC_EQ_HWAM,LOCAL_EQ_HWAM,M0_HIAM,H0TT_HIAM,M15TT_HIAM,D_GENERIC_HIAM,D_LOCAL_HIAM,D_TOTAL_HIAM,GENERIC_EQ_HIAM,LOCAL_EQ_HIAM,M0_LAIX,H0TT_LAIX,M15TT_LAIX,D_GENERIC_LAIX,D_LOCAL_LAIX,D_TOTAL_LAIX,GENERIC_EQ_LAIX,LOCAL_EQ_LAIX,M0_ETCM,H0TT_ETCM,M15TT_ETCM,D_GENERIC_ETCM,D_LOCAL_ETCM,D_TOTAL_ETCM,GENERIC_EQ_ETCM,LOCAL_EQ_ETCM,M0_EPCM,H0TT_EPCM,M15TT_EPCM,D_GENERIC_EPCM,D_LOCAL_EPCM,D_TOTAL_EPCM,GENERIC_EQ_EPCM,LOCAL_EQ_EPCM,M0_ESCM,H0TT_ESCM,M15TT_ESCM,D_GENERIC_ESCM,D_LOCAL_ESCM,D_TOTAL_ESCM,GENERIC_EQ_ESCM,LOCAL_EQ_ESCM,M0_SWXM,H0TT_SWXM,M15TT_SWXM,D_GENERIC_SWXM,D_LOCAL_SWXM,D_TOTAL_SWXM,GENERIC_EQ_SWXM,LOCAL_EQ_SWXM,M0_CRST,H0TT_CRST,M15TT_CRST,D_GENERIC_CRST,D_LOCAL_CRST,D_TOTAL_CRST,GENERIC_EQ_CRST,LOCAL_EQ_CRST
ANQH2101,2021,Apr21,1111 202,1111 202,1111 202,,,,1,1,1121 202,1121 202,1121 202,,,,1,1,1189 202,1189 202,1189 202,,,,1,1,1214 202,1214 202,1214 202,,,,1,1,0770,0793,0778,23.0,-15.0,8.0,0,0,318,319,319,1.0,0.0,1.0,0,1,.030,.030,.030,0.0,0.0,0.0,1,1,5.6  -9,5.6  -9,5.6  -9,,,,1,1,312,312,312,0.0,0.0,0.0,1,1,225,225,225,0.0,0.0,0.0,1,1,87,87,87,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2102,2021,Apr26,1116 202,1116 202,1116 202,,,,1,1,1123 202,1123 202,1123 202,,,,1,1,1191 202,1191 202,1191 202,,,,1,1,1243 202,1242 202,1242 202,,,,0,1,1615,1636,1622,21.0,-14.0,7.0,0,0,1098,1096,1098,-2.0,2.0,0.0,0,0,.094,.094,.094,0.0,0.0,0.0,1,1,5.7  -9,5.7  -9,5.7  -9,,,,1,1,338,338,338,0.0,0.0,0.0,1,1,240,240,240,0.0,0.0,0.0,1,1,97,97,97,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2103,2021,May06,1126 202,1126 202,1126 202,,,,1,1,1133 202,1133 202,1133 202,,,,1,1,1198 202,1198 202,1198 202,,,,1,1,1250 202,1250 202,1250 202,,,,1,1,0741,0750,0734,9.0,-16.0,-7.0,0,0,1069,1069,1071,0.0,2.0,2.0,1,0,.100,.099,.100,-0.0010000000000000009,0.0010000000000000009,0.0,0,0,5.4  -9,5.4  -9,5.4  -9,,,,1,1,342,342,342,0.0,0.0,0.0,1,1,238,238,238,0.0,0.0,0.0,1,1,104,104,104,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2104,2021,May16,1136 202,1136 202,1136 202,,,,1,1,1143 202,1143 202,1143 202,,,,1,1,1201 202,1201 202,1201 202,,,,1,1,1253 202,1253 202,1253 202,,,,1,1,0989,0990,0991,1.0,1.0,2.0,0,0,1943,1942,1942,-1.0,0.0,-1.0,0,1,.177,.177,.177,0.0,0.0,0.0,1,1,5.2  -9,5.2  -9,5.2  -9,,,,1,1,324,324,324,0.0,0.0,0.0,1,1,238,238,238,0.0,0.0,0.0,1,1,86,86,86,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2105,2021,May26,1146 202,1146 202,1146 202,,,,1,1,1151 202,1151 202,1151 202,,,,1,1,1208 202,1208 202,1208 202,,,,1,1,1261 202,1261 202,1261 202,,,,1,1,2771,2762,2762,-9.0,0.0,-9.0,0,1,3370,3352,3353,-18.0,1.0,-17.0,0,0,.264,.263,.263,-0.0010000000000000009,0.0,-0.0010000000000000009,0,1,5.3  -9,5.3  -9,5.3  -9,,,,1,1,314,314,314,0.0,0.0,0.0,1,1,242,242,242,0.0,0.0,0.0,1,1,73,73,73,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2201,2022,Apr21,2111 202,2111 202,2111 202,,,,1,1,2121 202,2121 202,2121 202,,,,1,1,2184 202,2184 202,2184 202,,,,1,1,2217 202,2217 202,2217 202,,,,1,1,0492,0506,0505,14.0,-1.0,13.0,0,0,495,495,495,0.0,0.0,0.0,1,1,.047,.047,.047,0.0,0.0,0.0,1,1,5.6  -9,5.6  -9,5.6  -9,,,,1,1,290,290,290,0.0,0.0,0.0,1,1,218,218,218,0.0,0.0,0.0,1,1,72,72,72,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2202,2022,Apr26,2116 202,2116 202,2116 202,,,,1,1,2123 202,2123 202,2123 202,,,,1,1,2186 202,2186 202,2186 202,,,,1,1,2217 202,2217 202,2217 202,,,,1,1,9932,9946,9944,14.0,-2.0,12.0,0,0,361,363,362,2.0,-1.0,1.0,0,0,.036,.036,.036,0.0,0.0,0.0,1,1,5.5  -9,5.5  -9,5.5  -9,,,,1,1,276,276,276,0.0,0.0,0.0,1,1,217,217,217,0.0,0.0,0.0,1,1,59,59,59,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2203,2022,May06,2126 202,2126 202,2126 202,,,,1,1,2133 202,2133 202,2133 202,,,,1,1,2189 202,2189 202,2189 202,,,,1,1,2222 202,2222 202,2222 202,,,,1,1,0752,0765,0766,13.0,1.0,14.0,0,0,1145,1143,1143,-2.0,0.0,-2.0,0,1,.106,.106,.106,0.0,0.0,0.0,1,1,5.3  -9,5.2  -9,5.2  -9,,,,0,1,272,272,272,0.0,0.0,0.0,1,1,215,215,215,0.0,0.0,0.0,1,1,58,58,58,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2204,2022,May16,2136 202,2136 202,2136 202,,,,1,1,2142 202,2142 202,2142 202,,,,1,1,2203 202,2203 202,2203 202,,,,1,1,2236 202,2236 202,2236 202,,,,1,1,0897,0910,0910,13.0,0.0,13.0,0,1,465,464,464,-1.0,0.0,-1.0,0,1,.043,.043,.043,0.0,0.0,0.0,1,1,5.6  -9,5.6  -9,5.6  -9,,,,1,1,282,282,282,0.0,0.0,0.0,1,1,215,215,215,0.0,0.0,0.0,1,1,66,66,66,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
ANQH2205,2022,May26,2146 202,2146 202,2146 202,,,,1,1,2152 202,2152 202,2152 202,,,,1,1,2211 202,2211 202,2211 202,,,,1,1,2248 202,2248 202,2248 202,,,,1,1,1105,1138,1135,33.0,-3.0,30.0,0,0,779,788,788,9.0,0.0,9.0,0,1,.070,.071,.071,0.000999999999999987,0.0,0.000999999999999987,0,1,5.6  -9,5.6  -9,5.6  -9,,,,1,1,282,282,282,0.0,0.0,0.0,1,1,215,215,215,0.0,0.0,0.0,1,1,68,68,68,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,1,1
