scenario,year,sowing,M0_PDAT,M0_EDAT,M0_ADAT,M0_MDAT,M0_CWAM,M0_HWAM,M0_HIAM,M0_LAIX,M0_ETCM,M0_EPCM,M0_ESCM,M0_SWXM,M0_CRST,M15W_PDAT,M15W_EDAT,M15W_ADAT,M15W_MDAT,M15W_CWAM,M15W_HWAM,M15W_HIAM,M15W_LAIX,M15W_ETCM,M15W_EPCM,M15W_ESCM,M15W_SWXM,M15W_CRST,M15TT_PDAT,M15TT_EDAT,M15TT_ADAT,M15TT_MDAT,M15TT_CWAM,M15TT_HWAM,M15TT_HIAM,M15TT_LAIX,M15TT_ETCM,M15TT_EPCM,M15TT_ESCM,M15TT_SWXM,M15TT_CRST,D_W_M0_PDAT,D_TT_W_PDAT,D_TT_M0_PDAT,D_W_M0_EDAT,D_TT_W_EDAT,D_TT_M0_EDAT,D_W_M0_ADAT,D_TT_W_ADAT,D_TT_M0_ADAT,D_W_M0_MDAT,D_TT_W_MDAT,D_TT_M0_MDAT,D_W_M0_CWAM,D_TT_W_CWAM,D_TT_M0_CWAM,D_W_M0_HWAM,D_TT_W_HWAM,D_TT_M0_HWAM,D_W_M0_HIAM,D_TT_W_HIAM,D_TT_M0_HIAM,D_W_M0_LAIX,D_TT_W_LAIX,D_TT_M0_LAIX,D_W_M0_ETCM,D_TT_W_ETCM,D_TT_M0_ETCM,D_W_M0_EPCM,D_TT_W_EPCM,D_TT_M0_EPCM,D_W_M0_ESCM,D_TT_W_ESCM,D_TT_M0_ESCM,D_W_M0_SWXM,D_TT_W_SWXM,D_TT_M0_SWXM,D_W_M0_CRST,D_TT_W_CRST,D_TT_M0_CRST
ANQH2101,2021,Apr21,1111 202,1121 202,1189 202,1214 202,0770,318,.030,5.6  -9,312,225,87,0,1,1111 202,1121 202,1189 202,1214 202,0770,318,.030,5.6  -9,312,225,87,0,1,1111 202,1121 202,1189 202,1214 202,0778,319,.030,5.6  -9,312,225,87,0,1,,,,,,,,,,,,,0.0,8.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2102,2021,Apr26,1116 202,1123 202,1191 202,1243 202,1615,1098,.094,5.7  -9,338,240,97,0,1,1116 202,1123 202,1191 202,1243 202,1615,1098,.094,5.7  -9,338,240,97,0,1,1116 202,1123 202,1191 202,1242 202,1622,1098,.094,5.7  -9,338,240,97,0,1,,,,,,,,,,,,,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2103,2021,May06,1126 202,1133 202,1198 202,1250 202,0741,1069,.100,5.4  -9,342,238,104,0,1,1126 202,1133 202,1198 202,1250 202,0741,1069,.100,5.4  -9,342,238,104,0,1,1126 202,1133 202,1198 202,1250 202,0734,1071,.100,5.4  -9,342,238,104,0,1,,,,,,,,,,,,,0.0,-7.0,-7.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2104,2021,May16,1136 202,1143 202,1201 202,1253 202,0989,1943,.177,5.2  -9,324,238,86,0,1,1136 202,1143 202,1201 202,1253 202,0989,1943,.177,5.2  -9,324,238,86,0,1,1136 202,1143 202,1201 202,1253 202,0991,1942,.177,5.2  -9,324,238,86,0,1,,,,,,,,,,,,,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2105,2021,May26,1146 202,1151 202,1208 202,1261 202,2771,3370,.264,5.3  -9,314,242,73,0,1,1146 202,1151 202,1208 202,1261 202,2772,3370,.264,5.3  -9,314,242,73,0,1,1146 202,1151 202,1208 202,1261 202,2762,3353,.263,5.3  -9,314,242,73,0,1,,,,,,,,,,,,,1.0,-10.0,-9.0,0.0,-17.0,-17.0,0.0,-0.0010000000000000009,-0.0010000000000000009,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2201,2022,Apr21,2111 202,2121 202,2184 202,2217 202,0492,495,.047,5.6  -9,290,218,72,0,1,2111 202,2121 202,2184 202,2217 202,0492,495,.047,5.6  -9,290,218,72,0,1,2111 202,2121 202,2184 202,2217 202,0505,495,.047,5.6  -9,290,218,72,0,1,,,,,,,,,,,,,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2202,2022,Apr26,2116 202,2123 202,2186 202,2217 202,9932,361,.036,5.5  -9,276,217,59,0,1,2116 202,2123 202,2186 202,2217 202,9932,361,.036,5.5  -9,276,217,59,0,1,2116 202,2123 202,2186 202,2217 202,9944,362,.036,5.5  -9,276,217,59,0,1,,,,,,,,,,,,,0.0,12.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2203,2022,May06,2126 202,2133 202,2189 202,2222 202,0752,1145,.106,5.3  -9,272,215,58,0,1,2126 202,2133 202,2189 202,2222 202,0752,1145,.106,5.3  -9,272,215,58,0,1,2126 202,2133 202,2189 202,2222 202,0766,1143,.106,5.2  -9,272,215,58,0,1,,,,,,,,,,,,,0.0,14.0,14.0,0.0,-2.0,-2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2204,2022,May16,2136 202,2142 202,2203 202,2236 202,0897,465,.043,5.6  -9,282,215,66,0,1,2136 202,2142 202,2203 202,2236 202,0897,465,.043,5.6  -9,282,215,66,0,1,2136 202,2142 202,2203 202,2236 202,0910,464,.043,5.6  -9,282,215,66,0,1,,,,,,,,,,,,,0.0,13.0,13.0,0.0,-1.0,-1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2205,2022,May26,2146 202,2152 202,2211 202,2248 202,1105,779,.070,5.6  -9,282,215,68,0,1,2146 202,2152 202,2211 202,2248 202,1105,779,.070,5.6  -9,282,215,68,0,1,2146 202,2152 202,2211 202,2248 202,1135,788,.071,5.6  -9,282,215,68,0,1,,,,,,,,,,,,,0.0,30.0,30.0,0.0,9.0,9.0,0.0,0.000999999999999987,0.000999999999999987,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
