scenario,year,sowing,M0_PDAT,M0_EDAT,M0_ADAT,M0_MDAT,M0_HDAT,M0_CWAM,M0_HWAM,M0_HIAM,M0_LAIX,M0_NDCH,M0_TMAXA,M0_TMINA,M0_SRADA,M0_DAYLA,M0_CRST,M15_PDAT,M15_EDAT,M15_ADAT,M15_MDAT,M15_HDAT,M15_CWAM,M15_HWAM,M15_HIAM,M15_LAIX,M15_NDCH,M15_TMAXA,M15_TMINA,M15_SRADA,M15_DAYLA,M15_CRST,M19_PDAT,M19_EDAT,M19_ADAT,M19_MDAT,M19_HDAT,M19_CWAM,M19_HWAM,M19_HIAM,M19_LAIX,M19_NDCH,M19_TMAXA,M19_TMINA,M19_SRADA,M19_DAYLA,M19_CRST,M15_minus_M0_ADAT,M15_minus_M0_MDAT,M15_minus_M0_CWAM,M15_minus_M0_HWAM,M15_minus_M0_HIAM,M15_minus_M0_LAIX,M19_minus_M0_ADAT,M19_minus_M0_MDAT,M19_minus_M0_CWAM,M19_minus_M0_HWAM,M19_minus_M0_HIAM,M19_minus_M0_LAIX
ANQH2101,2021,Apr21,2021111,2021121,2021189,2021239,2021239,24560,10487,0.427,5.7,128,29.4,18.7,22.5,14.6,1,2021111,2021121,2021189,2021239,2021239,24560,10487,0.427,5.7,128,29.4,18.7,22.5,14.6,1,2021111,2021121,2021189,2021239,2021239,24560,10487,0.427,5.7,128,29.4,18.7,22.5,14.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2102,2021,Apr26,2021116,2021123,2021191,2021243,2021243,25625,10669,0.416,5.8,127,30.2,19.5,22.6,14.6,1,2021116,2021123,2021191,2021243,2021243,25625,10669,0.416,5.8,127,30.2,19.5,22.6,14.6,1,2021116,2021123,2021191,2021243,2021243,25625,10669,0.416,5.8,127,30.2,19.5,22.6,14.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2103,2021,May06,2021126,2021133,2021198,2021250,2021250,25689,11962,0.466,5.5,124,30.6,20.1,22.3,14.6,1,2021126,2021133,2021198,2021250,2021250,25689,11962,0.466,5.5,124,30.6,20.1,22.3,14.6,1,2021126,2021133,2021198,2021250,2021250,25689,11962,0.466,5.5,124,30.6,20.1,22.3,14.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2104,2021,May16,2021136,2021143,2021201,2021253,2021253,26267,14050,0.535,5.3,117,31.1,20.5,22.4,14.5,1,2021136,2021143,2021201,2021253,2021253,26267,14050,0.535,5.3,117,31.1,20.5,22.4,14.5,1,2021136,2021143,2021201,2021253,2021253,26267,14050,0.535,5.3,117,31.1,20.5,22.4,14.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2105,2021,May26,2021146,2021151,2021208,2021264,2021264,27988,14495,0.518,5.4,118,31.2,20.8,21.9,14.3,1,2021146,2021151,2021208,2021264,2021264,27988,14495,0.518,5.4,118,31.2,20.8,21.9,14.3,1,2021146,2021151,2021208,2021264,2021264,27988,14495,0.518,5.4,118,31.2,20.8,21.9,14.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2201,2022,Apr21,2022111,2022121,2022184,2022235,2022235,25160,10260,0.408,5.7,124,30.3,20.5,22.2,14.6,1,2022111,2022121,2022184,2022235,2022235,25160,10260,0.408,5.7,124,30.3,20.5,22.2,14.6,1,2022111,2022121,2022184,2022235,2022235,25160,10260,0.408,5.7,124,30.3,20.5,22.2,14.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2202,2022,Apr26,2022116,2022123,2022186,2022238,2022238,25255,10286,0.407,5.6,122,30.5,20.7,22.1,14.7,1,2022116,2022123,2022186,2022238,2022238,25255,10286,0.407,5.6,122,30.5,20.7,22.1,14.7,1,2022116,2022123,2022186,2022238,2022238,25255,10286,0.407,5.6,122,30.5,20.7,22.1,14.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2203,2022,May06,2022126,2022133,2022189,2022241,2022241,24606,11886,0.483,5.3,115,30.8,21.1,22.0,14.7,1,2022126,2022133,2022189,2022241,2022241,24606,11886,0.483,5.3,115,30.8,21.1,22.0,14.7,1,2022126,2022133,2022189,2022241,2022241,24606,11886,0.483,5.3,115,30.8,21.1,22.0,14.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2204,2022,May16,2022136,2022142,2022203,2022255,2022255,29320,13909,0.474,5.7,119,31.3,21.7,22.0,14.5,1,2022136,2022142,2022203,2022255,2022255,29320,13909,0.474,5.7,119,31.3,21.7,22.0,14.5,1,2022136,2022142,2022203,2022255,2022255,29320,13909,0.474,5.7,119,31.3,21.7,22.0,14.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANQH2205,2022,May26,2022146,2022152,2022211,2022269,2022269,30033,15085,0.502,5.8,123,30.7,21.0,21.4,14.2,1,2022146,2022152,2022211,2022269,2022269,30033,15085,0.502,5.8,123,30.7,21.0,21.4,14.2,1,2022146,2022152,2022211,2022269,2022269,30033,15085,0.502,5.8,123,30.7,21.0,21.4,14.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
