mode,scenario,year,sowing,M0_ADAT,M0_MDAT,M0_CWAM,M0_HWAM,M0_HIAM,M0_LAIX,M0_TMAXA,M0_TMINA,M0_SRADA,M19_ADAT,M19_MDAT,M19_CWAM,M19_HWAM,M19_HIAM,M19_LAIX,M19_TMAXA,M19_TMINA,M19_SRADA,M20_ADAT,M20_MDAT,M20_CWAM,M20_HWAM,M20_HIAM,M20_LAIX,M20_TMAXA,M20_TMINA,M20_SRADA,M19_minus_M0_ADAT,M19_minus_M0_MDAT,M19_minus_M0_CWAM,M19_minus_M0_HWAM,M19_minus_M0_HIAM,M19_minus_M0_LAIX,M20_minus_M0_ADAT,M20_minus_M0_MDAT,M20_minus_M0_CWAM,M20_minus_M0_HWAM,M20_minus_M0_HIAM,M20_minus_M0_LAIX,M20_minus_M19_ADAT,M20_minus_M19_MDAT,M20_minus_M19_CWAM,M20_minus_M19_HWAM,M20_minus_M19_HIAM,M20_minus_M19_LAIX
NATURAL,ANQH2101,2021,Apr21,2021189,2021239,24560,10487,0.427,5.7,29.4,18.7,22.5,2021189,2021239,24560,10487,0.427,5.7,29.4,18.7,22.5,2021189,2021239,24519,10487,0.428,5.7,29.4,18.7,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,0.0,0.0010000000000000009,0.0,0.0,0.0,-41.0,0.0,0.0010000000000000009,0.0
NATURAL,ANQH2102,2021,Apr26,2021191,2021243,25625,10669,0.416,5.8,30.2,19.5,22.6,2021191,2021243,25625,10669,0.416,5.8,30.2,19.5,22.6,2021191,2021243,25581,10668,0.417,5.8,30.2,19.5,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-1.0,0.0010000000000000009,0.0,0.0,0.0,-44.0,-1.0,0.0010000000000000009,0.0
NATURAL,ANQH2103,2021,May06,2021198,2021250,25689,11962,0.466,5.5,30.6,20.1,22.3,2021198,2021250,25689,11962,0.466,5.5,30.6,20.1,22.3,2021198,2021250,25655,11962,0.466,5.5,30.6,20.1,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,0.0,0.0,0.0,0.0,0.0,-34.0,0.0,0.0,0.0
NATURAL,ANQH2104,2021,May16,2021201,2021253,26267,14050,0.535,5.3,31.1,20.5,22.4,2021201,2021253,26267,14050,0.535,5.3,31.1,20.5,22.4,2021201,2021253,26240,14049,0.535,5.3,31.1,20.5,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-1.0,0.0,0.0,0.0,0.0,-27.0,-1.0,0.0,0.0
NATURAL,ANQH2105,2021,May26,2021208,2021264,27988,14495,0.518,5.4,31.2,20.8,21.9,2021208,2021264,27988,14495,0.518,5.4,31.2,20.8,21.9,2021208,2021264,27960,14491,0.518,5.4,31.2,20.8,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-4.0,0.0,0.0,0.0,0.0,-28.0,-4.0,0.0,0.0
NATURAL,ANQH2201,2022,Apr21,2022184,2022235,25160,10260,0.408,5.7,30.3,20.5,22.2,2022184,2022235,25160,10260,0.408,5.7,30.3,20.5,22.2,2022184,2022235,25161,10260,0.408,5.7,30.3,20.5,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NATURAL,ANQH2202,2022,Apr26,2022186,2022238,25255,10286,0.407,5.6,30.5,20.7,22.1,2022186,2022238,25255,10286,0.407,5.6,30.5,20.7,22.1,2022186,2022238,25256,10286,0.407,5.6,30.5,20.7,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NATURAL,ANQH2203,2022,May06,2022189,2022241,24606,11886,0.483,5.3,30.8,21.1,22.0,2022189,2022241,24606,11886,0.483,5.3,30.8,21.1,22.0,2022189,2022241,24608,11886,0.483,5.3,30.8,21.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
NATURAL,ANQH2204,2022,May16,2022203,2022255,29320,13909,0.474,5.7,31.3,21.7,22.0,2022203,2022255,29320,13909,0.474,5.7,31.3,21.7,22.0,2022203,2022255,29316,13910,0.474,5.7,31.3,21.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0
NATURAL,ANQH2205,2022,May26,2022211,2022269,30033,15085,0.502,5.8,30.7,21.0,21.4,2022211,2022269,30033,15085,0.502,5.8,30.7,21.0,21.4,2022211,2022269,30029,15085,0.502,5.8,30.7,21.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0
STRESS_DTR4,ANQH2101,2021,Apr21,2021184,2021229,17286,4378,0.253,5.6,33.1,18.8,22.5,2021184,2021229,17286,4378,0.253,5.6,33.1,18.8,22.5,2021184,2021229,17307,4516,0.261,5.5,33.1,18.8,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,138.0,0.008000000000000007,-0.09999999999999964,0.0,0.0,21.0,138.0,0.008000000000000007,-0.09999999999999964
STRESS_DTR4,ANQH2102,2021,Apr26,2021185,2021231,17251,4360,0.253,5.6,34.0,19.4,22.7,2021185,2021231,17251,4360,0.253,5.6,34.0,19.4,22.7,2021185,2021231,17251,4568,0.265,5.6,34.0,19.4,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.01200000000000001,0.0,0.0,0.0,0.0,208.0,0.01200000000000001,0.0
STRESS_DTR4,ANQH2103,2021,May06,2021194,2021242,21186,7817,0.369,5.6,34.6,20.2,22.5,2021194,2021242,21186,7817,0.369,5.6,34.6,20.2,22.5,2021194,2021242,21058,7816,0.371,5.6,34.6,20.2,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.0,-1.0,0.0020000000000000018,0.0,0.0,0.0,-128.0,-1.0,0.0020000000000000018,0.0
STRESS_DTR4,ANQH2104,2021,May16,2021199,2021247,20061,8287,0.413,5.3,34.9,20.5,22.4,2021199,2021247,20061,8287,0.413,5.3,34.9,20.5,22.4,2021199,2021247,19948,8284,0.415,5.2,34.9,20.5,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.0,-3.0,0.0020000000000000018,-0.09999999999999964,0.0,0.0,-113.0,-3.0,0.0020000000000000018,-0.09999999999999964
STRESS_DTR4,ANQH2105,2021,May26,2021205,2021254,19089,8285,0.434,5.2,35.4,21.0,22.2,2021205,2021254,19089,8285,0.434,5.2,35.4,21.0,22.2,2021205,2021254,19011,8274,0.435,5.1,35.4,21.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-11.0,0.0010000000000000009,-0.10000000000000053,0.0,0.0,-78.0,-11.0,0.0010000000000000009,-0.10000000000000053
STRESS_DTR4,ANQH2201,2022,Apr21,2022178,2022223,19131,6629,0.346,5.5,34.3,20.6,22.7,2022178,2022223,19131,6629,0.346,5.5,34.3,20.6,22.7,2022178,2022223,19093,6628,0.347,5.4,34.3,20.6,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.0,-1.0,0.0010000000000000009,-0.09999999999999964,0.0,0.0,-38.0,-1.0,0.0010000000000000009,-0.09999999999999964
STRESS_DTR4,ANQH2202,2022,Apr26,2022183,2022228,20194,7158,0.354,5.5,34.8,21.1,22.5,2022183,2022228,20194,7158,0.354,5.5,34.8,21.1,22.5,2022183,2022228,20293,6934,0.342,5.5,34.8,21.1,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,-224.0,-0.011999999999999955,0.0,0.0,0.0,99.0,-224.0,-0.011999999999999955,0.0
STRESS_DTR4,ANQH2203,2022,May06,2022186,2022232,18858,6385,0.339,5.3,35.3,21.6,22.4,2022186,2022232,18858,6385,0.339,5.3,35.3,21.6,22.4,2022186,2022233,18807,6383,0.339,5.2,35.2,21.5,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-51.0,-2.0,0.0,-0.09999999999999964,0.0,1.0,-51.0,-2.0,0.0,-0.09999999999999964
STRESS_DTR4,ANQH2204,2022,May16,2022197,2022244,21420,8438,0.394,5.5,35.2,21.6,22.1,2022197,2022244,21420,8438,0.394,5.5,35.2,21.6,22.1,2022197,2022245,21449,8236,0.384,5.5,35.2,21.6,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,-202.0,-0.010000000000000009,0.0,0.0,1.0,29.0,-202.0,-0.010000000000000009,0.0
STRESS_DTR4,ANQH2205,2022,May26,2022207,2022255,22296,8769,0.393,5.6,35.4,21.8,22.0,2022207,2022255,22296,8769,0.393,5.6,35.4,21.8,22.0,2022207,2022255,22255,8769,0.394,5.6,35.4,21.8,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,0.0,0.0010000000000000009,0.0,0.0,0.0,-41.0,0.0,0.0010000000000000009,0.0
