scenario,year,sowing,M0_PDAT,M15_PDAT,M0_EDAT,M15_EDAT,M0_ADAT,M15_ADAT,M0_MDAT,M15_MDAT,M0_CWAM,M15_CWAM,M0_HWAM,M15_HWAM,M0_HIAM,M15_HIAM,M0_LAIX,M15_LAIX,M0_IRCM,M15_IRCM,M0_PRCM,M15_PRCM,M0_ETCM,M15_ETCM,M0_EPCM,M15_EPCM,M0_ESCM,M15_ESCM,M0_ROCM,M15_ROCM,M0_DRCM,M15_DRCM,M0_SWXM,M15_SWXM,M0_ETCP,M15_ETCP,M0_ESCP,M15_ESCP,M0_EPCP,M15_EPCP,M0_CRST,M15_CRST,D_CWAM,D_HWAM,D_HIAM,D_LAIX,D_ETCM,D_EPCM,D_ESCM,D_ROCM,D_DRCM,D_SWXM,D_ETCP,D_ESCP,D_EPCP
ANQH2101,2021,Apr21,1111 202,1111 202,1121 202,1121 202,1189 202,1189 202,1214 202,1214 202,0770,0770,318,318,.030,.030,5.6  -9,5.6  -9,68,68,86,86,312,312,225,225,87,87,0,0,17,17,0,0,04.3,04.3,79.7  2,79.7  2,25.2,25.2,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2102,2021,Apr26,1116 202,1116 202,1123 202,1123 202,1191 202,1191 202,1243 202,1243 202,1615,1615,1098,1098,.094,.094,5.7  -9,5.7  -9,68,68,104,104,338,338,240,240,97,97,0,0,12,12,0,0,33.0,33.0,92.8  2,92.8  2,40.2,40.2,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2103,2021,May06,1126 202,1126 202,1133 202,1133 202,1198 202,1198 202,1250 202,1250 202,0741,0741,1069,1069,.100,.100,5.4  -9,5.4  -9,68,68,108,108,342,342,238,238,104,104,0,0,11,11,0,0,35.6,35.6,97.9  2,97.9  2,37.9,37.9,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2104,2021,May16,1136 202,1136 202,1143 202,1143 202,1201 202,1201 202,1253 202,1253 202,0989,0989,1943,1943,.177,.177,5.2  -9,5.2  -9,68,68,94,94,324,324,238,238,86,86,0,0,15,15,0,0,19.6,19.6,81.4  2,81.4  2,38.2,38.2,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2105,2021,May26,1146 202,1146 202,1151 202,1151 202,1208 202,1208 202,1261 202,1261 202,2771,2772,3370,3370,.264,.264,5.3  -9,5.3  -9,68,68,79,79,314,314,242,242,73,73,0,0,10,10,0,0,07.2,07.2,65.5  2,65.5  2,41.6,41.6,1,1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2201,2022,Apr21,2111 202,2111 202,2121 202,2121 202,2184 202,2184 202,2217 202,2217 202,0492,0492,495,495,.047,.047,5.6  -9,5.6  -9,68,68,58,58,290,290,218,218,72,72,0,0,13,13,0,0,85.7,85.7,67.5  2,67.5  2,18.2,18.2,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2202,2022,Apr26,2116 202,2116 202,2123 202,2123 202,2186 202,2186 202,2217 202,2217 202,9932,9932,361,361,.036,.036,5.5  -9,5.5  -9,68,68,58,58,276,276,217,217,59,59,0,0,27,27,0,0,71.8,71.8,54.6  2,54.6  2,17.2,17.2,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2203,2022,May06,2126 202,2126 202,2133 202,2133 202,2189 202,2189 202,2222 202,2222 202,0752,0752,1145,1145,.106,.106,5.3  -9,5.3  -9,68,68,44,44,272,272,215,215,58,58,0,0,17,17,0,0,67.0,67.0,52.3  2,52.3  2,14.7,14.7,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2204,2022,May16,2136 202,2136 202,2142 202,2142 202,2203 202,2203 202,2236 202,2236 202,0897,0897,465,465,.043,.043,5.6  -9,5.6  -9,68,68,50,50,282,282,215,215,66,66,0,0,12,12,0,0,74.8,74.8,59.6  2,59.6  2,15.3,15.3,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ANQH2205,2022,May26,2146 202,2146 202,2152 202,2152 202,2211 202,2211 202,2248 202,2248 202,1105,1105,779,779,.070,.070,5.6  -9,5.6  -9,68,68,50,50,282,282,215,215,68,68,0,0,13,13,0,0,77.3,77.3,62.5  2,62.5  2,14.7,14.7,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
