scenario,year,sowing,M0_PDAT,M15_PDAT,M0_EDAT,M15_EDAT,M0_ADAT,M15_ADAT,M0_MDAT,M15_MDAT,M0_HDAT,M15_HDAT,M0_CWAM,M15_CWAM,M0_HWAM,M15_HWAM,M0_HIAM,M15_HIAM,M0_LAIX,M15_LAIX,M0_TMAXA,M15_TMAXA,M0_TMINA,M15_TMINA,M0_SRADA,M15_SRADA,D_ADAT,D_MDAT,D_CWAM,D_HWAM,D_HIAM,D_LAIX
ANQH2101,2021,Apr21,1111 202,1111 202,1121 202,1121 202,1189 202,1189 202,1239 202,1239 202,1239,1239,4560   1,4560   1,0487   1,0487   1,.427,.427,5.7  -9,5.7  -9,29.4,29.4,18.7,18.7,22.5,22.5,,,,,0.0,
ANQH2102,2021,Apr26,1116 202,1116 202,1123 202,1123 202,1191 202,1191 202,1243 202,1243 202,1243,1243,5625   1,5625   1,0669   1,0669   1,.416,.416,5.8  -9,5.8  -9,30.2,30.2,19.5,19.5,22.6,22.6,,,,,0.0,
ANQH2103,2021,May06,1126 202,1126 202,1133 202,1133 202,1198 202,1198 202,1250 202,1250 202,1250,1250,5689   1,5689   1,1962   1,1962   1,.466,.466,5.5  -9,5.5  -9,30.6,30.6,20.1,20.1,22.3,22.3,,,,,0.0,
ANQH2104,2021,May16,1136 202,1136 202,1143 202,1143 202,1201 202,1201 202,1253 202,1253 202,1253,1253,6267   1,6267   1,4050   1,4050   1,.535,.535,5.3  -9,5.3  -9,31.1,31.1,20.5,20.5,22.4,22.4,,,,,0.0,
ANQH2105,2021,May26,1146 202,1146 202,1151 202,1151 202,1208 202,1208 202,1264 202,1264 202,1264,1264,7988   1,7988   1,4495   1,4495   1,.518,.518,5.4  -9,5.4  -9,31.2,31.2,20.8,20.8,21.9,21.9,,,,,0.0,
ANQH2201,2022,Apr21,2111 202,2111 202,2121 202,2121 202,2184 202,2184 202,2235 202,2235 202,2235,2235,5160   1,5160   1,0260   1,0260   1,.408,.408,5.7  -9,5.7  -9,30.3,30.3,20.5,20.5,22.2,22.2,,,,,0.0,
ANQH2202,2022,Apr26,2116 202,2116 202,2123 202,2123 202,2186 202,2186 202,2238 202,2238 202,2238,2238,5255   1,5255   1,0286   1,0286   1,.407,.407,5.6  -9,5.6  -9,30.5,30.5,20.7,20.7,22.1,22.1,,,,,0.0,
ANQH2203,2022,May06,2126 202,2126 202,2133 202,2133 202,2189 202,2189 202,2241 202,2241 202,2241,2241,4606   1,4606   1,1886   1,1886   1,.483,.483,5.3  -9,5.3  -9,30.8,30.8,21.1,21.1,22.0,22.0,,,,,0.0,
ANQH2204,2022,May16,2136 202,2136 202,2142 202,2142 202,2203 202,2203 202,2255 202,2255 202,2255,2255,9320   1,9320   1,3909   1,3909   1,.474,.474,5.7  -9,5.7  -9,31.3,31.3,21.7,21.7,22.0,22.0,,,,,0.0,
ANQH2205,2022,May26,2146 202,2146 202,2152 202,2152 202,2211 202,2211 202,2269 202,2269 202,2269,2269,0033   1,0033   1,5085   1,5085   1,.502,.502,5.8  -9,5.8  -9,30.7,30.7,21.0,21.0,21.4,21.4,,,,,0.0,
