year,sowing,start,end,n_days,high_dtr_days,m15_active_days,changed_hours,mean_hourly_delta_c,cumulative_degree_hours_delta,mean_abs_changed_hour_c,max_abs_hour_delta_c
2021,A,2021-04-21,2021-09-04,137,15,15,215,-0.0277745205274747,-91.32262349433681,0.4247563883457526,3.9264974561819095
2021,B,2021-04-26,2021-09-07,135,15,15,215,-0.027948830818926854,-90.55421185332301,0.42118238071313024,3.9264974561819095
2021,C,2021-05-06,2021-09-15,133,9,9,127,-0.020486664640686887,-65.39343353307254,0.5149089254572642,3.9264974561819095
2021,D,2021-05-16,2021-09-27,135,7,7,99,-0.018999828283214868,-61.55944363761617,0.6218125619961229,3.9264974561819095
2021,E,2021-05-26,2021-10-13,141,7,7,99,-0.018191324952014233,-61.55944363761617,0.6218125619961229,3.9264974561819095
2022,A,2022-04-21,2022-09-04,137,1,1,14,-0.0008981724429337048,-2.9531909923660216,0.21094221374043012,0.5646995241150066
2022,B,2022-04-26,2022-09-07,135,1,1,14,-0.0009114787013475375,-2.9531909923660216,0.21094221374043012,0.5646995241150066
2022,C,2022-05-06,2022-09-15,133,1,1,14,-0.0009251851479843426,-2.9531909923660216,0.21094221374043012,0.5646995241150066
2022,D,2022-05-16,2022-09-27,135,1,1,14,-0.0009114787013475375,-2.9531909923660216,0.21094221374043012,0.5646995241150066
2022,E,2022-05-26,2022-10-13,141,1,1,14,-0.000872692373630621,-2.9531909923660216,0.21094221374043012,0.5646995241150066
