scenario,arm,KRT,period,n,RMSE_kg_ha,RRMSE_pct,Bias_kg_ha
RAW_N_OFF,M0,0.0,2019,4,2070.0481274598424,18.60926510807814,1645.25
RAW_N_OFF,M0,0.0,2020,4,6700.169158312348,60.91062871193044,6617.75
RAW_N_OFF,M0,0.0,ALL8,8,4958.697712101434,44.826918692368466,4131.5
RAW_N_OFF,H0TT,0.0,2019,4,1945.3069809158656,17.48787037569044,1485.25
RAW_N_OFF,H0TT,0.0,2020,4,5995.559565211574,54.50508695646886,5925.5
RAW_N_OFF,H0TT,0.0,ALL8,8,4457.070436396535,40.29217864418587,3705.375
RAW_N_OFF,M15_13P5,0.0,2019,4,2070.4191604600264,18.61260061094529,1646.0
RAW_N_OFF,M15_13P5,0.0,2020,4,6699.925204806394,60.90841095278539,6617.25
RAW_N_OFF,M15_13P5,0.0,ALL8,8,4958.6103522055455,44.82612895377633,4131.625
RAW_N_OFF,M15_13P8,0.0,2019,4,2070.0481274598424,18.60926510807814,1645.25
RAW_N_OFF,M15_13P8,0.0,2020,4,6697.516759964099,60.886515999673634,6614.75
RAW_N_OFF,M15_13P8,0.0,ALL8,8,4956.90578889694,44.81071960130575,4130.0
RAW_N_OFF,M15_13P8_HR,1.0,2019,4,1381.0609146594513,12.415425685218125,568.75
RAW_N_OFF,M15_13P8_HR,1.0,2020,4,6190.819957808497,56.2801814346227,6101.25
RAW_N_OFF,M15_13P8_HR,1.0,ALL8,8,4485.174522802875,40.54624123670603,3335.0
RAW_N_OFF,REGIONAL,0.0,2019,4,2070.0481274598424,18.60926510807814,1645.25
RAW_N_OFF,REGIONAL,0.0,2020,4,6693.168196004041,60.84698360003674,6610.5
RAW_N_OFF,REGIONAL,0.0,ALL8,8,4953.9680938617275,44.784162665567344,4127.875
RAW_N_OFF,REGIONAL_HR,1.0,2019,4,1374.5491078895654,12.356886013166111,552.75
RAW_N_OFF,REGIONAL_HR,1.0,2020,4,6097.897773003414,55.435434300031034,6007.25
RAW_N_OFF,REGIONAL_HR,1.0,ALL8,8,4420.053308502059,39.95754163287923,3280.0
RAW_N_OFF,M15_HR_K0.25,0.25,2019,4,1863.8499134855253,16.755589738042705,1376.5
RAW_N_OFF,M15_HR_K0.25,0.25,2020,4,6603.376636236949,60.03069669306318,6519.5
