scenario,arm,same_input_sha256,combined_sha256
RAW_N_OFF,M0,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,H0TT,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,M15_13P5,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,M15_13P8,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,M15_13P8_HR,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,REGIONAL,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,REGIONAL_HR,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,M15_HR_K0.25,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,REG_HR_K0.25,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,M15_HR_K0.5,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,REG_HR_K0.5,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,M15_HR_K0.75,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
RAW_N_OFF,REG_HR_K0.75,True,aeac28d85c379e22c9894dec1dd4d41f56433809ff28ae8acbab663391dfcbc6
SRAD19P8_N_OFF,M0,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,H0TT,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,M15_13P5,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,M15_13P8,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,M15_13P8_HR,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,REGIONAL,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,REGIONAL_HR,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,M15_HR_K0.25,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,REG_HR_K0.25,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,M15_HR_K0.5,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,REG_HR_K0.5,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,M15_HR_K0.75,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
SRAD19P8_N_OFF,REG_HR_K0.75,True,358f24e36ea54c9147c65d36b5d4979c12231564ba531e3a3458689502432437
