scenario,arm,KRT,year,treatment,observed_kg_ha,simulated_kg_ha,error_kg_ha,ADAT,MDAT,CWAM,ETCP,IRCM,SRADA
RAW_N_OFF,M0,0.0,2019,W1,9250,12760.0,3510.0,2019183,2019230,23284,514.8,439,23.3
RAW_N_OFF,M0,0.0,2019,W2,10725,12772.0,2047.0,2019183,2019230,23440,514.8,472,23.3
RAW_N_OFF,M0,0.0,2019,W3,12490,12772.0,282.0,2019183,2019230,23440,514.8,506,23.3
RAW_N_OFF,M0,0.0,2019,W4,12030,12772.0,742.0,2019183,2019230,23440,514.8,540,23.3
RAW_N_OFF,M0,0.0,2020,W1,9275,17616.0,8341.0,2020181,2020232,28551,501.4,439,24.2
RAW_N_OFF,M0,0.0,2020,W2,11100,17617.0,6517.0,2020181,2020232,28615,501.1,472,24.2
RAW_N_OFF,M0,0.0,2020,W3,12030,17619.0,5589.0,2020181,2020232,28621,501.2,506,24.2
RAW_N_OFF,M0,0.0,2020,W4,11595,17619.0,6024.0,2020181,2020232,28623,501.2,540,24.2
RAW_N_OFF,H0TT,0.0,2019,W1,9250,12600.0,3350.0,2019183,2019229,23074,512.5,439,23.4
RAW_N_OFF,H0TT,0.0,2019,W2,10725,12612.0,1887.0,2019183,2019229,23226,512.6,472,23.4
RAW_N_OFF,H0TT,0.0,2019,W3,12490,12612.0,122.0,2019183,2019229,23226,512.6,506,23.4
RAW_N_OFF,H0TT,0.0,2019,W4,12030,12612.0,582.0,2019183,2019229,23226,512.6,540,23.4
RAW_N_OFF,H0TT,0.0,2020,W1,9275,16677.0,7402.0,2020180,2020232,27568,501.7,439,24.2
RAW_N_OFF,H0TT,0.0,2020,W2,11100,17009.0,5909.0,2020180,2020232,27986,501.5,472,24.2
RAW_N_OFF,H0TT,0.0,2020,W3,12030,17008.0,4978.0,2020180,2020232,27984,501.5,506,24.2
RAW_N_OFF,H0TT,0.0,2020,W4,11595,17008.0,5413.0,2020180,2020232,27985,501.5,540,24.2
RAW_N_OFF,M15_13P5,0.0,2019,W1,9250,12760.0,3510.0,2019183,2019230,23290,514.7,439,23.3
RAW_N_OFF,M15_13P5,0.0,2019,W2,10725,12773.0,2048.0,2019183,2019230,23444,514.8,472,23.3
RAW_N_OFF,M15_13P5,0.0,2019,W3,12490,12773.0,283.0,2019183,2019230,23444,514.8,506,23.3
RAW_N_OFF,M15_13P5,0.0,2019,W4,12030,12773.0,743.0,2019183,2019230,23444,514.8,540,23.3
RAW_N_OFF,M15_13P5,0.0,2020,W1,9275,17618.0,8343.0,2020181,2020232,28501,500.7,439,24.2
RAW_N_OFF,M15_13P5,0.0,2020,W2,11100,17617.0,6517.0,2020181,2020232,28540,500.4,472,24.2
RAW_N_OFF,M15_13P5,0.0,2020,W3,12030,17617.0,5587.0,2020181,2020232,28540,500.4,506,24.2
RAW_N_OFF,M15_13P5,0.0,2020,W4,11595,17617.0,6022.0,2020181,2020232,28542,500.5,540,24.2
RAW_N_OFF,M15_13P8,0.0,2019,W1,9250,12760.0,3510.0,2019183,2019230,23288,514.7,439,23.3
RAW_N_OFF,M15_13P8,0.0,2019,W2,10725,12772.0,2047.0,2019183,2019230,23441,514.8,472,23.3
RAW_N_OFF,M15_13P8,0.0,2019,W3,12490,12772.0,282.0,2019183,2019230,23441,514.8,506,23.3
