model,year,n,RMSE_C,MAE_C,Bias_C
HTEMP_ORIGINAL,2000,1204,2.6236014473041327,1.5551633160401335,0.3737010397701778
HTEMP_ORIGINAL,2001,1206,2.718171679661068,1.6573243310246553,0.5045333495685786
HTEMP_ORIGINAL,2002,1188,2.403857683020826,1.5176546451981432,0.4377174492091699
HTEMP_ORIGINAL,2003,1203,2.3265213562579468,1.4853945253993408,0.39730172423194193
HTEMP_ORIGINAL,2004,1203,2.5594599622286243,1.5404408923805148,0.5415714489581389
HTEMP_ORIGINAL,2005,1219,2.4467528077606087,1.4862866004306488,0.5144623231784953
HTEMP_ORIGINAL,2006,1221,2.531057382932059,1.5379846066886622,0.5042241316905299
HTEMP_ORIGINAL,2007,1216,2.9194089254816573,1.6806210678105369,0.655708572921615
HTEMP_ORIGINAL,2008,1220,2.3196145589510535,1.3737868862717375,0.4829599253592438
HTEMP_ORIGINAL,2009,1220,2.6220756639371516,1.5537418313243487,0.5585459004067402
HTEMP_ORIGINAL,2010,1221,2.433177069949482,1.4717960521902729,0.6225924529457675
HTEMP_ORIGINAL,2011,1223,2.1603888857898332,1.3377666695841575,0.42134384454310225
HTEMP_ORIGINAL,2012,1223,2.079839648584027,1.314249782327246,0.43295876221114393
HTEMP_ORIGINAL,2013,40,1.845762472057639,1.2033158377768693,-0.3935423825657899
HTEMP_ORIGINAL,2014,820,1.6252650088694454,1.020419311216985,-0.23586164513232963
HTEMP_ORIGINAL,2015,176,1.7291255109022847,1.2238381895207706,-0.4381161417364973
HTEMP_ORIGINAL,2018,70,1.0546543960625483,0.8256008240939918,-0.1831637042665809
HTEMP_ORIGINAL,2020,1205,2.9606126933001646,1.9157989427151676,0.3462705923573289
HTEMP_ORIGINAL,2021,1214,3.156190277556049,2.0295345089973758,0.49278538668743993
HTEMP_ORIGINAL,2022,1180,2.6670162201336844,1.7585629701085213,0.2588443601577597
HTEMP_ORIGINAL,2023,1069,2.9803001266461684,1.963353499647119,0.2938301768088114
HTEMP_ORIGINAL,2024,1179,3.0213475656795294,1.9662900855476764,0.31447715545934457
M15_13P5,2000,1204,2.506484367120691,1.5254354985085172,0.27389557086058447
M15_13P5,2001,1206,2.6485107935617993,1.6338863418738998,0.42663448626139033
M15_13P5,2002,1188,2.3688801177999466,1.5011072778113455,0.40144183329173483
M15_13P5,2003,1203,2.3105935239639614,1.4824848390452585,0.3803872356944864
