model,split,group,days,n,RMSE_C,MAE_C,Bias_C
HTEMP_ORIGINAL,calibration_2000_2016,MaySep,2119,16803,2.4388795931988603,1.4735367146882044,0.44857363477816625
HTEMP_ORIGINAL,calibration_2000_2016,DTR_GE15,87,689,5.735873067172506,3.6601290578340375,1.5536315184627183
HTEMP_ORIGINAL,calibration_2000_2016,Day,2119,10240,2.6075188065542863,1.4975518499793385,0.7862350230340296
HTEMP_ORIGINAL,calibration_2000_2016,Night,2119,6563,2.149492594695251,1.4360668098609586,-0.07826662360063012
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,MaySep,748,5917,2.946890233317634,1.9135321758142143,0.33682363261987763
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,DTR_GE15,122,967,5.14093113938342,3.7827939150883156,1.2352363070699295
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,Day,748,3611,3.2715960648451827,2.044020281756721,0.8423488970008238
HTEMP_ORIGINAL,legacy_benchmark_2017_2024,Night,748,2306,2.3499573876534874,1.709198892831391,-0.45478596394542903
M15_13P5,calibration_2000_2016,MaySep,2119,16803,2.3845901630392476,1.4576128530267332,0.3959460095794758
M15_13P5,calibration_2000_2016,DTR_GE15,87,689,5.204265769563824,3.3052965133454295,0.5553146912792876
M15_13P5,calibration_2000_2016,Day,2119,10240,2.5387639387723757,1.4770693592576247,0.7596338503969224
M15_13P5,calibration_2000_2016,Night,2119,6563,2.12177992607419,1.4272556042374103,-0.17150233568498457
M15_13P5,legacy_benchmark_2017_2024,MaySep,748,5917,2.7962235463186444,1.8405880001994797,0.12253374467301902
M15_13P5,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.651515990124515,3.3803513935723064,0.09319948162440532
M15_13P5,legacy_benchmark_2017_2024,Day,748,3611,3.0903645195461125,1.9694636986999823,0.7388926188749214
M15_13P5,legacy_benchmark_2017_2024,Night,748,2306,2.259978993444472,1.638779610223193,-0.8426318644957017
M15_13P8,calibration_2000_2016,MaySep,2119,16803,2.3870267432694416,1.4580689670921725,0.40209769484871244
M15_13P8,calibration_2000_2016,DTR_GE15,87,689,5.209218825687424,3.303314061747912,0.5936963136266017
M15_13P8,calibration_2000_2016,Day,2119,10240,2.542859539273266,1.4787847224728872,0.7627977149166434
M15_13P8,calibration_2000_2016,Night,2119,6563,2.1211421720440673,1.4257469596110635,-0.16068886701257254
M15_13P8,legacy_benchmark_2017_2024,MaySep,748,5917,2.8015486281146225,1.8415830966961764,0.13969398072754502
M15_13P8,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.652874235739766,3.376177320800169,0.1401438141172173
M15_13P8,legacy_benchmark_2017_2024,Day,748,3611,3.0997369538560844,1.9742801434484838,0.7472742572730536
M15_13P8,legacy_benchmark_2017_2024,Night,748,2306,2.256799225922754,1.6337908001555936,-0.811725090653995
REG_POOLED_Q0,calibration_2000_2016,MaySep,2119,16803,2.3630535181171237,1.4604724671840754,0.307008151803215
REG_POOLED_Q0,calibration_2000_2016,DTR_GE15,87,689,5.221256319860405,3.325677620398281,0.4896226281014019
REG_POOLED_Q0,calibration_2000_2016,Day,2119,10240,2.4993871215041485,1.4592333562292137,0.7148485552268941
REG_POOLED_Q0,calibration_2000_2016,Night,2119,6563,2.1330031112035193,1.4624058050139985,-0.3293297624217543
REG_POOLED_Q0,legacy_benchmark_2017_2024,MaySep,748,5917,2.7686742709656107,1.8385193675965115,-0.02700239044863635
REG_POOLED_Q0,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.668021529159795,3.387953187003702,0.05295522097350579
REG_POOLED_Q0,legacy_benchmark_2017_2024,Day,748,3611,3.0405360616045374,1.941811312654587,0.666526911094604
REG_POOLED_Q0,legacy_benchmark_2017_2024,Night,748,2306,2.2787066538736056,1.6767729610029682,-1.1130103296822187
REG_POOLED_Q0.5,calibration_2000_2016,MaySep,2119,16803,2.3731011204939265,1.4592746686267883,0.34792908116749766
REG_POOLED_Q0.5,calibration_2000_2016,DTR_GE15,87,689,5.221058272372622,3.3319482384590042,0.46642298969338725
REG_POOLED_Q0.5,calibration_2000_2016,Day,2119,10240,2.5158978184145506,1.46756655592934,0.7347891066833702
REG_POOLED_Q0.5,calibration_2000_2016,Night,2119,6563,2.1312762921598347,1.4463371513361996,-0.2556739450830791
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,MaySep,748,5917,2.7805048523548432,1.840355198226779,0.03208648609234665
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.673576735860662,3.3980350029151345,0.009713922855928208
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,Day,748,3611,3.0594246158538505,1.9549987857694964,0.6946792670861367
REG_POOLED_Q0.5,legacy_benchmark_2017_2024,Night,748,2306,2.2760783217134652,1.6608330843426713,-1.0054774914308866
REG_POOLED_Q1,calibration_2000_2016,MaySep,2119,16803,2.3834125126703016,1.4576117998659879,0.38932951645256875
REG_POOLED_Q1,calibration_2000_2016,DTR_GE15,87,689,5.218568797245634,3.3072163886144943,0.5638131755330352
REG_POOLED_Q1,calibration_2000_2016,Day,2119,10240,2.537669585978161,1.4767449860574586,0.7561145917681391
REG_POOLED_Q1,calibration_2000_2016,Night,2119,6563,2.1204343835056467,1.4277590150723483,-0.18295132633753336
REG_POOLED_Q1,legacy_benchmark_2017_2024,MaySep,748,5917,2.7959879403666927,1.840016652473817,0.11344984356763785
REG_POOLED_Q1,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.666653176745993,3.380746464179703,0.11364200840910534
REG_POOLED_Q1,legacy_benchmark_2017_2024,Day,748,3611,3.093366952567808,1.9720899977279278,0.7334724788771909
REG_POOLED_Q1,legacy_benchmark_2017_2024,Night,748,2306,2.2527874189669914,1.6332010194674884,-0.8574529040918576
REG_SEASONAL_Q0,calibration_2000_2016,MaySep,2119,16803,2.3629841311595534,1.4603641386754984,0.30617682262338775
REG_SEASONAL_Q0,calibration_2000_2016,DTR_GE15,87,689,5.219397296867395,3.3202498837333034,0.4915785749875498
