year,window,arm,n_days,active_days,extreme_DTT_days,normal_DTT_days,cum_DTT_Cd,sum_hours_below_TBASE,sum_hours_above_DOPT,sum_degree_hours_below_TBASE,sum_degree_hours_above_DOPT
2019,PLANT_TO_HORIZON,H0TT,176,0,67,108,2538.738290710542,199,362,739.2720309790735,1046.9462180832484
2019,PLANT_TO_HORIZON,M15_13P5,176,87,67,108,2510.7032348378452,206,326,750.529625263577,921.9590127888175
2019,PLANT_TO_HORIZON,M15_13P8,176,77,67,108,2513.609915272767,205,327,748.7326581276093,932.0419061265717
2019,PLANT_TO_HORIZON,R1_P05,176,87,67,108,2506.3440373220114,206,299,750.529625263577,806.7223193146723
2019,PLANT_TO_HORIZON,R3_P05_B105,176,87,67,108,2518.944228031363,195,299,721.5049796842761,806.7223193146723
2019,MAY_SEP,H0TT,151,0,53,98,2412.850523845005,32,362,46.76819000656283,1046.9462180832484
2019,MAY_SEP,M15_13P5,151,80,53,98,2387.365129684562,35,326,53.692062177397986,921.9590127888175
2019,MAY_SEP,M15_13P8,151,71,53,98,2389.9392039922077,35,327,53.125386050149814,932.0419061265717
2019,MAY_SEP,R1_P05,151,80,53,98,2383.3556676120543,35,299,53.692062177397986,806.7223193146723
2019,MAY_SEP,R3_P05_B105,151,80,53,98,2394.213391749686,31,299,45.82420432296246,806.7223193146723
2020,PLANT_TO_HORIZON,H0TT,174,0,74,100,2422.4159587949566,270,267,660.7699838347722,467.31257182764887
2020,PLANT_TO_HORIZON,M15_13P5,174,79,74,100,2390.2599443888803,285,236,680.3569611407294,409.1781879571927
2020,PLANT_TO_HORIZON,M15_13P8,174,72,74,100,2393.3496656865864,285,236,677.743174270602,413.46718590513103
2020,PLANT_TO_HORIZON,R1_P05,174,79,74,100,2383.810636846469,285,207,680.3569611407294,348.9182167274954
2020,PLANT_TO_HORIZON,R3_P05_B105,174,79,74,100,2394.2714969215685,277,207,637.5557630683704,348.9182167274954
2020,MAY_SEP,H0TT,149,0,51,98,2345.503359753553,37,267,56.672405279884316,467.31257182764887
2020,MAY_SEP,M15_13P5,149,73,51,98,2317.2633153708443,38,236,58.190863830237866,409.1781879571927
2020,MAY_SEP,M15_13P8,149,68,51,98,2320.0843864600843,38,236,58.086873636365006,413.46718590513103
2020,MAY_SEP,R1_P05,149,73,51,98,2311.3468301236962,38,207,58.190863830237866,348.9182167274954
2020,MAY_SEP,R3_P05_B105,149,73,51,98,2320.7085886305194,37,207,55.700404009283254,348.9182167274954
