year,window,contrast,candidate,reference,n_days,days_nonzero_DTT_delta,cum_DTT_delta_Cd,mean_daily_DTT_delta_Cd,mean_abs_daily_DTT_delta_Cd,max_abs_daily_DTT_delta_Cd,mean_abs_hourly_temperature_delta_C,mean_raw_hourly_mean_delta_C,mean_clipped_hourly_mean_delta_C,delta_total_hours_below_TBASE,delta_total_hours_above_DOPT,delta_degree_hours_below_TBASE,delta_degree_hours_above_DOPT
2019,PLANT_TO_HORIZON,R1_minus_M15_13P5,R1_P05,M15_13P5,176,40,-4.359197515833847,-0.024768167703601403,0.024768167703601403,0.3214441437049498,0.09580386977801551,-0.09580386977801571,-0.06852245560326534,0,-27,0.0,-115.23669347414513
2019,PLANT_TO_HORIZON,R3_minus_R1,R3_P05_B105,R1_P05,176,44,12.600190709351697,0.071591992666771,0.071591992666771,0.49115275516837364,0.16003703242934048,0.16003703242934064,0.1531656674721198,-11,0,-29.0246455793009,0.0
2019,PLANT_TO_HORIZON,M15_13P8_minus_13P5,M15_13P8,M15_13P5,176,44,2.9066804349217414,0.01651522974387353,0.01651522974387353,0.23439956057919176,0.03976587460882614,0.0397658746088261,0.036953407640615346,-1,1,-1.796967135967713,10.082893337754214
2019,MAY_SEP,R1_minus_M15_13P5,R1_P05,M15_13P5,151,35,-4.00946207250777,-0.026552728957005098,0.026552728957005098,0.3214441437049498,0.10880504652807797,-0.10880504652807814,-0.07700684192704463,0,-27,0.0,-115.23669347414513
2019,MAY_SEP,R3_minus_R1,R3_P05_B105,R1_P05,151,39,10.857724137631239,0.07190545786510755,0.07190545786510755,0.443273287482981,0.16172623044852155,0.16172623044852175,0.1595551879942073,-4,0,-7.86785785443553,0.0
2019,MAY_SEP,M15_13P8_minus_13P5,M15_13P8,M15_13P5,151,39,2.5740743076455743,0.017046849719507116,0.017046849719507116,0.23439956057919176,0.04232989412751615,0.04232989412751613,0.03939127120670965,0,1,-0.5666761272481766,10.082893337754214
2020,PLANT_TO_HORIZON,R1_minus_M15_13P5,R1_P05,M15_13P5,174,40,-6.449307542411267,-0.037064985875926826,0.037064985875926826,0.5762536834817666,0.0934827752240968,-0.09348277522409676,-0.07905270548518452,0,-29,0.0,-60.259971229697285
2020,PLANT_TO_HORIZON,R3_minus_R1,R3_P05_B105,R1_P05,174,38,10.46086007509956,0.060119885489077936,0.06011988548907796,0.40593443005295526,0.14052196225438815,0.14052196225438798,0.13027263321407212,-8,0,-42.80119807235893,0.0
2020,PLANT_TO_HORIZON,M15_13P8_minus_13P5,M15_13P8,M15_13P5,174,38,3.0897212977061868,0.017757018952334405,0.017757018952334405,0.19116143038698752,0.039135891288063454,0.03913589128806342,0.03748292557492514,0,0,-2.6137868701272877,4.288997947938334
2020,MAY_SEP,R1_minus_M15_13P5,R1_P05,M15_13P5,149,34,-5.916485247148173,-0.039707954678846795,0.039707954678846795,0.5762536834817666,0.10559181606530031,-0.10559181606530027,-0.08874059368563092,0,-29,0.0,-60.259971229697285
2020,MAY_SEP,R3_minus_R1,R3_P05_B105,R1_P05,149,33,9.361758506823415,0.06283059400552628,0.0628305940055263,0.40593443005295526,0.14545037429650254,0.14545037429650237,0.14475393698639197,-1,0,-2.4904598209546123,0.0
2020,MAY_SEP,M15_13P8_minus_13P5,M15_13P8,M15_13P5,149,33,2.8210710892399407,0.01893336301503316,0.01893336301503316,0.19116143038698752,0.04319744975937044,0.04319744975937039,0.041968985513897536,0,0,-0.10399019387285957,4.288997947938334
