gamma,cv_mean_block_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_gamma1,mean_training_alpha
0.5,2.811432012124307,3.055282709497701,2.6856324721253166,3.072953212627481,2.4318596542467295,1,3.037601351186894
0.6,2.769984803445284,3.048698434681148,2.604836720842995,3.006641156213595,2.419762902043398,1,3.608778733180367
0.7,2.73435845123515,3.0354751225733776,2.5336025744558572,2.9525149818924126,2.4158411260189516,1,4.23687376698699
0.8,2.7050717548259575,3.0162193291680284,2.4745929034258713,2.9097920336671717,2.4196827530427583,1,4.919965365366137
0.9,2.6827940478061496,2.992379282891891,2.430784106602075,2.877312932011597,2.430699869719036,1,5.654875763936298
1.0,2.6683802761948705,2.9659613731963472,2.4055126537647844,2.8538539142871686,2.448193163531182,0,6.437048952095889
1.1,2.6628831928213543,2.9392399199271804,2.402428892587926,2.8384528497279216,2.471411109042389,3,7.260542049294649
1.2,2.6675276663795158,2.9144883035060123,2.425345065583528,2.8306792424322866,2.4995980539962366,2,8.118191701909765
1.3,2.6836346683460732,2.893746419964734,2.477992907893815,2.830770768288519,2.532028577237225,2,9.001992579182453
1.4,2.7124954842909945,2.878636095522429,2.5637430052505623,2.8395760784133306,2.568026757977656,2,9.90368265823077
1.5,2.755215691869429,2.8702366310565055,2.685363909872523,2.858292031347144,2.6069701952015443,1,10.815479096041047
1.6,2.812564469722836,2.8690308567679486,2.844892173954157,2.888054154579013,2.6482806935902237,1,11.730864114775631
1.7,2.884869128461161,2.874924761791262,3.0436423918152227,2.929503003535452,2.691406356702707,1,12.645298389954425
1.8,2.97198402451303,2.8873321449152245,3.282333150805976,2.9824685864519918,2.7358022158789264,1,13.55674924272872
1.9,3.0733409883334937,2.9053043462421915,3.5612715764597467,3.0458710387853962,2.7809169918466408,1,14.46596003279065
2.0,3.1880642176009033,2.9276787679084952,3.880538171993674,3.117848511135872,2.826191419365572,1,15.37644209399217
