gamma,cv_mean_block_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_gamma1,mean_training_alpha
1.0,2.6683802761948705,2.9659613731963472,2.4055126537647844,2.8538539142871686,2.448193163531182,0,6.437048952095889
1.01,2.6674102909311443,2.963264537713252,2.4041435203742427,2.8519631847468943,2.450269920890189,3,6.517648391146724
1.02,2.666530484756348,2.9605670078100714,2.402999910621028,2.850151857934606,2.452403162659687,3,6.598655377951033
1.03,2.6657420352118626,2.9578711164789,2.4020856310929632,2.8484192681955927,2.4545921250799942,3,6.680063107330922
1.04,2.6650461368518745,2.955179190998366,2.4014045018153123,2.8467648095775955,2.4568360450162245,3,6.76186465420061
1.05,2.6644440006260663,2.9524935504842427,2.400960353928227,2.8451879377507683,2.459134160341027,3,6.844052976788439
1.06,2.6639368532061827,2.9498165034798913,2.4007570272753,2.843688171766634,2.461485710302905,3,6.926620920086482
1.07,2.6635259362560255,2.947150345587555,2.4007983679080414,2.842265095648552,2.463889935879954,3,7.009561219528354
1.08,2.6632125056446263,2.944497357141553,2.4010882255115575,2.840918359806507,2.4663460801188872,3,7.092866504895185
1.09,2.6629978306025315,2.9418598009244357,2.4016304507571435,2.839647682269342,2.4688533884592045,3,7.1765293044493195
1.1,2.6628831928213543,2.9392399199271804,2.402428892587926,2.8384528497279216,2.471411109042389,3,7.260542049294649
1.11,2.6628698854969377,2.936639935154548,2.4034873954441154,2.8373337183830936,2.474018493005994,3,7.344897077962049
1.12,2.6629592123167067,2.934062043476724,2.4048097964348227,2.836290214592764,2.4766747947625163,3,7.42958664121773
1.13,2.663152486391996,2.9315084155284232,2.4063999224637658,2.8353223353128554,2.4793792722629404,2,7.514602907091866
1.14,2.6634510291363744,2.9289811936566443,2.4082615873165647,2.8344301483274337,2.482131187244854,2,7.599937966124205
1.15,2.6638561690912037,2.926482489918301,2.4103985887176282,2.833613792263835,2.484929805465051,2,7.685583836822848
1.16,2.664369240699913,2.92401438412898,2.41281470536495,2.8328734763891976,2.487774396916526,2,7.771532471331812
1.17,2.6649915830326774,2.921578921964095,2.415513693951384,2.8322094801854187,2.490664236029812,2,7.857775761302427
1.18,2.6657245384634396,2.9191781131137438,2.4184992861812056,2.831622152700225,2.493598601858584,2,7.9443055439630275
1.19,2.6665694513014233,2.916813929492577,2.421775185790929,2.831111911672689,2.4965767782494983,2,8.031113608380892
1.2,2.6675276663795158,2.9144883035060123,2.425345065583528,2.8306792424322866,2.4995980539962366,2,8.118191701909765
