year,model,n,rmse,mae,mbe,r2
2018,ROUND3_G1,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,GAMMA_FROZEN,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2020,ROUND3_G1,1205,2.7398493482467012,1.7847213871047072,0.17411356507069797,0.8071727660456331
2020,GAMMA_FROZEN,1205,2.7398419928900846,1.7836457748697303,0.17205458962125897,0.8074287602708995
2021,ROUND3_G1,1214,2.834984931055632,1.8490500596965989,0.2823532459237073,0.8113807901756293
2021,GAMMA_FROZEN,1214,2.8316460105662746,1.845957179755434,0.28011720729494055,0.8119592431864313
2022,ROUND3_G1,1180,2.519754690602801,1.702288012292643,0.14165929490795084,0.807961861204698
2022,GAMMA_FROZEN,1180,2.5194747964283133,1.700853967025046,0.1390512609628712,0.8082819825094983
2023,ROUND3_G1,1069,2.7843763578653222,1.8470584366683496,0.09594777291796444,0.8556035741199323
2023,GAMMA_FROZEN,1069,2.7813862832934846,1.8441850472196635,0.09317356072863572,0.8560705620504246
2024,ROUND3_G1,1179,2.8037973260605913,1.8431249144438255,0.14094665488189984,0.8329220569733482
2024,GAMMA_FROZEN,1179,2.803912322302425,1.8433336087416001,0.14064779219677492,0.8331447367912229
