scenario,arm,year,treatment,obs,HWAM,error,abs_error,ARE_pct,SRADA
SRAD19P8_N_OFF,H0TT,2019,W1,9250.0,10901.0,1651.0,1651.0,17.84864864864865,19.9
SRAD19P8_N_OFF,H0TT,2019,W2,10725.0,10901.0,176.0,176.0,1.641025641025641,19.9
SRAD19P8_N_OFF,H0TT,2019,W3,12490.0,10901.0,-1589.0,1589.0,12.722177742193756,19.9
SRAD19P8_N_OFF,H0TT,2019,W4,12030.0,10901.0,-1129.0,1129.0,9.384871155444722,19.9
SRAD19P8_N_OFF,H0TT,2020,W1,9275.0,14872.0,5597.0,5597.0,60.34501347708895,19.8
SRAD19P8_N_OFF,H0TT,2020,W2,11100.0,14871.0,3771.0,3771.0,33.972972972972975,19.8
SRAD19P8_N_OFF,H0TT,2020,W3,12030.0,14871.0,2841.0,2841.0,23.615960099750623,19.8
SRAD19P8_N_OFF,H0TT,2020,W4,11595.0,14872.0,3277.0,3277.0,28.26218197498922,19.8
SRAD19P8_N_OFF,M15_13P5,2019,W1,9250.0,10921.0,1671.0,1671.0,18.064864864864866,19.8
SRAD19P8_N_OFF,M15_13P5,2019,W2,10725.0,10921.0,196.0,196.0,1.8275058275058276,19.8
SRAD19P8_N_OFF,M15_13P5,2019,W3,12490.0,10921.0,-1569.0,1569.0,12.56204963971177,19.8
SRAD19P8_N_OFF,M15_13P5,2019,W4,12030.0,10921.0,-1109.0,1109.0,9.218620116375728,19.8
SRAD19P8_N_OFF,M15_13P5,2020,W1,9275.0,14631.0,5356.0,5356.0,57.746630727762806,19.8
SRAD19P8_N_OFF,M15_13P5,2020,W2,11100.0,14630.0,3530.0,3530.0,31.8018018018018,19.8
SRAD19P8_N_OFF,M15_13P5,2020,W3,12030.0,14630.0,2600.0,2600.0,21.612635078969245,19.8
SRAD19P8_N_OFF,M15_13P5,2020,W4,11595.0,14630.0,3035.0,3035.0,26.175075463561882,19.8
SRAD19P8_N_OFF,M15_13P8,2019,W1,9250.0,10920.0,1670.0,1670.0,18.054054054054053,19.8
SRAD19P8_N_OFF,M15_13P8,2019,W2,10725.0,10920.0,195.0,195.0,1.8181818181818181,19.8
SRAD19P8_N_OFF,M15_13P8,2019,W3,12490.0,10920.0,-1570.0,1570.0,12.57005604483587,19.8
SRAD19P8_N_OFF,M15_13P8,2019,W4,12030.0,10920.0,-1110.0,1110.0,9.226932668329177,19.8
SRAD19P8_N_OFF,M15_13P8,2020,W1,9275.0,14374.0,5099.0,5099.0,54.97574123989218,19.8
SRAD19P8_N_OFF,M15_13P8,2020,W2,11100.0,14373.0,3273.0,3273.0,29.486486486486488,19.8
SRAD19P8_N_OFF,M15_13P8,2020,W3,12030.0,14373.0,2343.0,2343.0,19.476309226932667,19.8
SRAD19P8_N_OFF,M15_13P8,2020,W4,11595.0,14373.0,2778.0,2778.0,23.958602846054333,19.8
SRAD19P8_N_OFF,V2_P05,2019,W1,9250.0,10921.0,1671.0,1671.0,18.064864864864866,19.8
SRAD19P8_N_OFF,V2_P05,2019,W2,10725.0,10921.0,196.0,196.0,1.8275058275058276,19.8
SRAD19P8_N_OFF,V2_P05,2019,W3,12490.0,10921.0,-1569.0,1569.0,12.56204963971177,19.8
SRAD19P8_N_OFF,V2_P05,2019,W4,12030.0,10921.0,-1109.0,1109.0,9.218620116375728,19.8
SRAD19P8_N_OFF,V2_P05,2020,W1,9275.0,14631.0,5356.0,5356.0,57.746630727762806,19.7
SRAD19P8_N_OFF,V2_P05,2020,W2,11100.0,14630.0,3530.0,3530.0,31.8018018018018,19.7
SRAD19P8_N_OFF,V2_P05,2020,W3,12030.0,14630.0,2600.0,2600.0,21.612635078969245,19.7
SRAD19P8_N_OFF,V2_P05,2020,W4,11595.0,14630.0,3035.0,3035.0,26.175075463561882,19.7
