arm,period,n,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM_kg_ha
H0TT,2019,4,1280.2674525270102,11.50931522667275,1136.25,-222.75,10901.0
H0TT,2020,4,4011.1363726505238,36.464876115004756,3871.5,3871.5,14871.5
H0TT,ALL8,8,2977.2722205065497,26.914715819032036,2503.875,1824.375,12886.25
M15_13P5,2019,4,1276.939603113632,11.479398612101424,1136.25,-202.75,10921.0
M15_13P5,2020,4,3778.8510489300843,34.35319135390986,3630.25,3630.25,14630.25
M15_13P5,ALL8,8,2820.486660135091,25.497365140494637,2383.25,1713.75,12775.625
M15_13P8,2019,4,1277.0987628214193,11.480829421925334,1136.25,-203.75,10920.0
M15_13P8,2020,4,3532.678268679445,32.115256987994954,3373.25,3373.25,14373.25
M15_13P8,ALL8,8,2656.20001129433,24.012204181427922,2254.75,1584.75,12646.625
R1_P05,2019,4,1276.939603113632,11.479398612101424,1136.25,-202.75,10921.0
R1_P05,2020,4,3778.8510489300843,34.35319135390986,3630.25,3630.25,14630.25
R1_P05,ALL8,8,2820.486660135091,25.497365140494637,2383.25,1713.75,12775.625
R3_P05_B105,2019,4,1263.4535013208836,11.358161603064465,1136.25,-82.75,11041.0
R3_P05_B105,2020,4,3532.874891642782,32.117044469479836,3373.5,3373.5,14373.5
R3_P05_B105,ALL8,8,2653.066127144214,23.983873684562646,2254.875,1645.375,12707.25
