k,objective_mean_block_rmse,cal_active_postpeak_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_k0
0.0,2.4892780706843363,2.4406916492065247,2.3150353173953526,2.256763769746387,3.2438159633284824,2.141497232267124,0
0.05,2.4764358639691153,2.4287646146374193,2.308560675226704,2.248848570004448,3.2217118191174157,2.126622391527895,4
0.1,2.464306337960068,2.4175650830316626,2.3029134624158942,2.2417286742758837,3.200144367248243,2.112438847900252,4
0.15,2.4528991517070367,2.4071032089720577,2.298099778797118,2.235411681820355,3.1791245306395477,2.098960615571125,4
0.2,2.442223473561759,2.397388649586028,2.2941248712736146,2.2299044161702626,3.1586632418938314,2.086201364909327,4
0.25,2.432287945962762,2.3884305236399306,2.2909931057169963,2.225212889406519,3.1387714243573117,2.0741743643702217,4
0.3,2.423100651717893,2.380237371758657,2.288707943283121,2.221342270113886,3.119459972066714,2.0628924214078497,4
0.35,2.414669082085706,2.372817118142242,2.2872719214403676,2.218296855404401,3.100739728610668,2.0523678228873887,4
0.4,2.407000106947044,2.366177034152729,2.286686639950823,2.2160800473556748,3.082621464944457,2.0426122755372225,4
0.45,2.40009994734357,2.3603237041400504,2.2869527519840616,2.214694334161566,3.065115856208656,2.0336368470199964,4
0.5,2.3939741506409633,2.3552629938649443,2.288069960478301,2.214141276236747,3.048233457614555,2.0254519082342504,4
0.55,2.3886275685510845,2.351000021859755,2.2900370197961193,2.21442149745521,3.031984679472096,2.0180670774809126,4
0.6,2.3840643382200506,2.347539134044441,2.292851742653245,2.2155346816370973,3.016379761449126,2.011491167140733,4
0.65,2.3802878665582887,2.3448838818854836,2.2965110122307637,2.217479574329908,3.001428746164054,2.0057321335084293,4
0.7,2.3773008179547137,2.343037004349952,2.301010799314972,2.2202539898607188,2.9871414522271316,2.000797030416033,4
0.75,2.3751051054808654,2.342000413866469,2.3063461842466104,2.2238548235671924,2.9735274468585233,1.9966919672511354,4
0.8,2.3737018856527854,2.3417751864598104,2.3125113834036553,2.228278069048437,2.9605960182236912,1.9934220719353573,4
0.85,2.373091556779324,2.3423615561773756,2.3194997798904597,2.233518840213785,2.9483561476383136,1.9909914593747378,3
0.9,2.373273760886178,2.3437589138747112,2.327303958061797,2.2395713978496348,2.936816481805589,1.989403205827691,3
0.95,2.3742473891660385,2.345965810374757,2.335915741474024,2.2464291803729175,2.9259853052582026,1.9886593295590105,3
1.0,2.376010590867497,2.3489799639626696,2.3453262338276066,2.2540848383954506,2.9158705131851397,1.9887607780617915,3
