k,objective_mean_block_rmse,cal_active_postpeak_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_k0
0.0,2.4892780706843363,2.4406916492065247,2.3150353173953526,2.256763769746387,3.2438159633284824,2.141497232267124,0
0.8,2.3737018856527854,2.3417751864598104,2.3125113834036553,2.228278069048437,2.9605960182236912,1.9934220719353573,4
0.805,2.3736051726640675,2.3417973050067937,2.313173295390215,2.2287654456146835,2.9593407656686352,1.9931411839827353,4
0.81,2.373516389190624,2.3418275399911477,2.313843432944188,2.2292609927796003,2.9580924377742854,1.9928686932644237,4
0.815,2.3734355351382157,2.3418658910985073,2.314521788920778,2.22976470509564,2.956851043311032,1.9926046032254128,4
0.82,2.373362610336996,2.341912357930144,2.3152083560959933,2.230276577030456,2.9556165910152488,1.992348917206286,3
0.825,2.3732976145415603,2.341966940002987,2.3159031271670156,2.2307966029672035,2.9543890895890135,1.9921016384430084,3
0.83,2.373240547430993,2.3420296367496487,2.3166060947525784,2.23132477720484,2.9531685476998315,1.991862770066723,3
0.835,2.373191408608923,2.342100447518452,2.3173172513933435,2.231861093958431,2.9519549739803628,1.9916323151035542,3
0.84,2.3731501976035765,2.342179371573467,2.318036589552284,2.232405547359464,2.9507483770281415,1.9914102764744157,3
0.845,2.3731169138678405,2.342266408094548,2.3187641016150713,2.2329581314561584,2.9495487654053045,1.9911966569948274,3
0.85,2.373091556779324,2.3423615561773756,2.3194997798904597,2.233518840213785,2.9483561476383136,1.9909914593747378,3
0.855,2.373074125640426,2.3424648148335048,2.3202436166106803,2.2340876675149905,2.947170532217682,1.9907946862183508,3
0.86,2.373064619678405,2.3425761829904146,2.3209956039318365,2.234664607160121,2.9459919275976993,1.9906063400239629,3
0.865,2.3730630380454527,2.3426956594915653,2.321755733934297,2.2352496528675503,2.9448203421961585,1.990426423183805,3
0.87,2.373069379818773,2.342823243096458,2.322523998623101,2.23584279827402,2.9436557843940805,1.9902549379838894,3
0.875,2.3730836440006597,2.3429589324807,2.3233003899283604,2.2364440369349694,2.9424982625354414,1.9900918866038673,3
0.88,2.373105829518583,2.3431027262360695,2.3240848997056633,2.2370533623248794,2.9413477849269016,1.9899372711168875,3
0.885,2.3731359352252763,2.3432546228705937,2.3248775197364853,2.2376707678376193,2.9402043598375314,1.9897910934894685,3
0.89,2.3731739598988257,2.343414620808623,2.3256782417286015,2.2382962467867915,2.9390679954985393,1.9896533555813698,3
0.895,2.373219902242766,2.343582718390913,2.3264870573164993,2.2389297924060862,2.9379387001030013,1.9895240591454777,3
0.9,2.373273760886178,2.3437589138747112,2.327303958061797,2.2395713978496348,2.936816481805589,1.989403205827691,3
