year,model,parameter,n,rmse,mae,mbe,r2
2018,ROUND1_P05,0.5,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,K_FROZEN,0.865,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2020,ROUND1_P05,0.5,1205,2.7762998953294096,1.8219882391136148,0.08391912323706383,0.804094511507758
2020,K_FROZEN,0.865,1205,2.7755382238455906,1.821444741372249,0.08503834115379505,0.8042465536710495
2021,ROUND1_P05,0.5,1214,2.8646147395798067,1.8841704612151107,0.15574817512877417,0.8093710897306867
2021,K_FROZEN,0.865,1214,2.865055705773426,1.8850009012936646,0.1580618901906956,0.8094630432039547
2022,ROUND1_P05,0.5,1180,2.5508330669527837,1.7258740797240204,0.06454316698073724,0.8039545233185216
2022,K_FROZEN,0.865,1180,2.5525466715099947,1.726540571041927,0.067361695505701,0.8038704400178213
2023,ROUND1_P05,0.5,1069,2.823410935916327,1.8873966987199653,-0.0032729739636258946,0.8517203859389064
2023,K_FROZEN,0.865,1069,2.8234747615258136,1.8873738237057807,-0.0019280200838870786,0.8518314879626984
2024,ROUND1_P05,0.5,1179,2.8603803045358944,1.8829990280705788,0.042556845661241564,0.8277822663733463
2024,K_FROZEN,0.865,1179,2.860318470574348,1.8819034371744339,0.041070907878440595,0.8279290303600004
