Bnight,objective_mean_block_rmse,cal_active_night_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_B1p05
0.5,3.0334729786787635,2.9616653906980623,2.553506282720119,3.0559639671782337,3.349722835484357,3.174698829332344,0
0.55,3.026814883352854,2.9545341115527606,2.5443078547410605,3.051077177149346,3.3469737180674204,3.1649007834535876,1
0.6,3.020807847479378,2.9480714627557068,2.535892230468638,3.0468714421392957,3.3447488989424685,3.155718818367108,1
0.65,3.015452380496186,2.9422780610107884,2.5282627082090747,3.043345271417825,3.3430458593946275,3.1471556829632163,1
0.7,3.0107479611266785,2.9371534614687427,2.5214211732856033,3.040496104696943,3.341861360544778,3.1392132059793902,1
0.75,3.0066930409907613,2.9326961623169185,2.5153680874290187,3.0383203262122693,3.341191458249962,3.131892292071795,2
0.8,3.003285052988392,2.9289036142299003,2.5101024860818795,3.036813283568719,3.341031520566231,3.1251929217367382,2
0.85,3.000520424409424,2.925772234609553,2.5056219837153066,3.0359693111826838,3.3413762476407407,3.1191141550989636,2
0.9,2.9983945946743673,2.923297426495353,2.5019227871563046,3.0357817581090525,3.342219693882795,3.113654139549318,2
0.95,2.996902037562685,2.9214736019799177,2.498999716821485,3.0362430200009607,3.343555292248406,3.1088101211798884,2
1.0,2.996036287739215,2.920294209921259,2.4968462356524066,3.037344574913805,3.345375880459866,3.1045784599307824,2
1.05,2.9957899713462295,2.919751767703226,2.4954544854507534,3.0390770226333177,3.347673728970983,3.1009546483298647,0
1.1,2.996154840389235,2.9198378967594993,2.4948153302205265,3.04143012718081,3.3504405704801123,3.0979333336754906,2
