Bnight,objective_mean_block_rmse,cal_active_night_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_B1p05
1.0,2.996036287739215,2.920294209921259,2.4968462356524066,3.037344574913805,3.345375880459866,3.1045784599307824,2
1.005,2.9959839109557542,2.920211434303995,2.4966729236220444,3.0374895919977605,3.345584320892892,3.10418880731032,2
1.01,2.9959377213645224,2.9201350209400196,2.4965072213836517,3.0376409088288,3.345797526339905,3.103805228905732,2
1.015,2.9958977110147895,2.9200649617554015,2.4963491202372055,3.0377985154529448,3.346015488714605,3.103427719654402,2
1.02,2.995863871869086,2.9200012485873104,2.4961986113557435,3.0379624018334797,3.3462381998775026,3.103056274409618,2
1.025,2.995836195803575,2.9199438731844016,2.496055685785849,3.0381325578514007,3.3464656516362226,3.102690887940827,2
1.03,2.995814674608424,2.9198928272071987,2.4959203344481407,3.0383089733058646,3.3466978357458146,3.1023315549338757,2
1.035,2.9957992999881844,2.919848102228484,2.4957925481377683,3.0384916379146407,3.346934743909058,3.1019782699912706,2
1.04,2.995790063562173,2.9198096897336905,2.4956723175249165,3.038680541314567,3.347176367776775,3.101631027632432,2
1.045,2.995786956864854,2.9197775811212967,2.4955596331553154,3.0388756730620092,3.347422698948138,3.1012898222939533,2
1.05,2.9957899713462295,2.919751767703226,2.4954544854507534,3.0390770226333177,3.347673728970983,3.1009546483298647,0
1.055,2.9957990983722294,2.9197322407052466,2.495356864709601,3.0392845794252934,3.3479294493421246,3.100625500011899,2
1.06,2.9958143292251034,2.919718991267379,2.4952667611073363,3.0394983327556524,3.348189851507667,3.1003023715297577,2
1.065,2.995835655103822,2.919712010444301,2.495184164697081,3.0397182718634936,3.3484549268633232,3.0999852569913897,2
1.07,2.995863067124473,2.9197112892057606,2.495109065410137,3.039944385909768,3.3487246667547277,3.099674150423259,2
1.075,2.995896556320668,2.919716818436991,2.495041453056535,3.0401766639777525,3.3489990624777577,3.099369045770627,2
1.08,2.995936113643947,2.9197285889391247,2.494981317325583,3.0404150950735245,3.3492781052788496,3.099069936897832,2
1.085,2.995981729964189,2.9197465914296163,2.494928647786424,3.0406596681264375,3.3495617863553204,3.0987768175885737,2
1.09,2.9960333960700227,2.919770816542664,2.4948834338885995,3.0409103719896033,3.349850096855687,3.098489681546201,2
1.095,2.9960911026692445,2.919801254829636,2.494845664962618,3.0411671954403707,3.350143027879989,3.0982085223940006,2
1.1,2.996154840389235,2.9198378967594993,2.4948153302205265,3.04143012718081,3.3504405704801123,3.0979333336754906,2
