year,model,Bnight,n,rmse,mae,mbe,r2
2018,ROUND3_B1P05,1.05,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,ROUND5_B_FROZEN,1.05,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2020,ROUND3_B1P05,1.05,1205,2.7398493482467012,1.7847213871047072,0.17411356507069797,0.8071727660456331
2020,ROUND5_B_FROZEN,1.05,1205,2.7398493482467012,1.7847213871047072,0.17411356507069797,0.8071727660456331
2021,ROUND3_B1P05,1.05,1214,2.834984931055632,1.8490500596965989,0.2823532459237073,0.8113807901756293
2021,ROUND5_B_FROZEN,1.05,1214,2.834984931055632,1.8490500596965989,0.2823532459237073,0.8113807901756293
2022,ROUND3_B1P05,1.05,1180,2.519754690602801,1.702288012292643,0.14165929490795084,0.807961861204698
2022,ROUND5_B_FROZEN,1.05,1180,2.519754690602801,1.702288012292643,0.14165929490795084,0.807961861204698
2023,ROUND3_B1P05,1.05,1069,2.7843763578653222,1.8470584366683496,0.09594777291796444,0.8556035741199323
2023,ROUND5_B_FROZEN,1.05,1069,2.7843763578653222,1.8470584366683496,0.09594777291796444,0.8556035741199323
2024,ROUND3_B1P05,1.05,1179,2.8037973260605913,1.8431249144438255,0.14094665488189984,0.8329220569733482
2024,ROUND5_B_FROZEN,1.05,1179,2.8037973260605913,1.8431249144438255,0.14094665488189984,0.8329220569733482
