Bnight,objective_mean_block_rmse,cal_active_night_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_B2p2
1.0,2.996036287739215,2.920294209921259,2.4968462356524066,3.037344574913805,3.345375880459866,3.1045784599307824,4
1.01,2.9959377213645224,2.9201350209400196,2.4965072213836517,3.0376409088288,3.345797526339905,3.103805228905732,4
1.02,2.995863871869086,2.9200012485873104,2.4961986113557435,3.0379624018334797,3.3462381998775026,3.103056274409618,4
1.03,2.995814674608424,2.9198928272071987,2.4959203344481407,3.0383089733058646,3.3466978357458146,3.1023315549338757,4
1.04,2.995790063562173,2.9198096897336905,2.4956723175249165,3.038680541314567,3.347176367776775,3.101631027632432,4
1.05,2.9957899713462295,2.919751767703226,2.4954544854507534,3.0390770226333177,3.347673728970983,3.1009546483298647,4
1.06,2.9958143292251034,2.919718991267379,2.4952667611073363,3.0394983327556524,3.348189851507667,3.1003023715297577,4
1.07,2.995863067124473,2.9197112892057606,2.495109065410137,3.039944385909768,3.3487246667547277,3.099674150423259,4
1.08,2.995936113643947,2.9197285889391247,2.494981317325583,3.0404150950735245,3.3492781052788496,3.099069936897832,4
1.09,2.9960333960700227,2.919770816542664,2.4948834338885995,3.0409103719896033,3.349850096855687,3.098489681546201,4
1.1,2.996154840389235,2.9198378967594993,2.4948153302205265,3.04143012718081,3.3504405704801123,3.0979333336754906,4
2.2,3.134027681975096,3.0554999759201165,2.640722100859727,3.222221769916633,3.508590689425076,3.164576167698949,0
