year,model,Bnight,n,rmse,mae,mbe,r2
2018,ROUND1_P05_B2P2,2.2,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,B_FROZEN,1.05,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2020,ROUND1_P05_B2P2,2.2,1205,2.7762998953294096,1.8219882391136148,0.08391912323706383,0.804094511507758
2020,B_FROZEN,1.05,1205,2.7398493482467012,1.7847213871047072,0.17411356507069797,0.8071727660456331
2021,ROUND1_P05_B2P2,2.2,1214,2.8646147395798067,1.8841704612151107,0.15574817512877417,0.8093710897306867
2021,B_FROZEN,1.05,1214,2.834984931055632,1.8490500596965989,0.2823532459237073,0.8113807901756293
2022,ROUND1_P05_B2P2,2.2,1180,2.5508330669527837,1.7258740797240204,0.06454316698073724,0.8039545233185216
2022,B_FROZEN,1.05,1180,2.519754690602801,1.702288012292643,0.14165929490795084,0.807961861204698
2023,ROUND1_P05_B2P2,2.2,1069,2.823410935916327,1.8873966987199653,-0.0032729739636258946,0.8517203859389064
2023,B_FROZEN,1.05,1069,2.7843763578653222,1.8470584366683496,0.09594777291796444,0.8556035741199323
2024,ROUND1_P05_B2P2,2.2,1179,2.8603803045358944,1.8829990280705788,0.042556845661241564,0.8277822663733463
2024,B_FROZEN,1.05,1179,2.8037973260605913,1.8431249144438255,0.14094665488189984,0.8329220569733482
