contrast,case,field,reference_value,candidate_value,changed
R1_minus_M15_13P5,2019_W1,ADAT,2019183,2019183,False
R1_minus_M15_13P5,2019_W1,EDAT,2019132,2019132,False
R1_minus_M15_13P5,2019_W1,HDAT,2019230,2019230,False
R1_minus_M15_13P5,2019_W1,MDAT,2019230,2019230,False
R1_minus_M15_13P5,2019_W1,PDAT,2019123,2019123,False
R1_minus_M15_13P5,2019_W1,SDAT,2019122,2019122,False
R1_minus_M15_13P5,2019_W4,ADAT,2019183,2019183,False
R1_minus_M15_13P5,2019_W4,EDAT,2019132,2019132,False
R1_minus_M15_13P5,2019_W4,HDAT,2019230,2019230,False
R1_minus_M15_13P5,2019_W4,MDAT,2019230,2019230,False
R1_minus_M15_13P5,2019_W4,PDAT,2019123,2019123,False
R1_minus_M15_13P5,2019_W4,SDAT,2019122,2019122,False
R1_minus_M15_13P5,2020_W1,ADAT,2020184,2020184,False
R1_minus_M15_13P5,2020_W1,EDAT,2020133,2020133,False
R1_minus_M15_13P5,2020_W1,HDAT,2020234,2020235,True
R1_minus_M15_13P5,2020_W1,MDAT,2020234,2020235,True
R1_minus_M15_13P5,2020_W1,PDAT,2020126,2020126,False
R1_minus_M15_13P5,2020_W1,SDAT,2020125,2020125,False
R1_minus_M15_13P5,2020_W4,ADAT,2020184,2020184,False
R1_minus_M15_13P5,2020_W4,EDAT,2020133,2020133,False
R1_minus_M15_13P5,2020_W4,HDAT,2020234,2020235,True
R1_minus_M15_13P5,2020_W4,MDAT,2020234,2020235,True
R1_minus_M15_13P5,2020_W4,PDAT,2020126,2020126,False
R1_minus_M15_13P5,2020_W4,SDAT,2020125,2020125,False
R3_minus_R1,2019_W1,ADAT,2019183,2019182,True
R3_minus_R1,2019_W1,EDAT,2019132,2019132,False
R3_minus_R1,2019_W1,HDAT,2019230,2019230,False
R3_minus_R1,2019_W1,MDAT,2019230,2019230,False
R3_minus_R1,2019_W1,PDAT,2019123,2019123,False
R3_minus_R1,2019_W1,SDAT,2019122,2019122,False
R3_minus_R1,2019_W4,ADAT,2019183,2019182,True
R3_minus_R1,2019_W4,EDAT,2019132,2019132,False
R3_minus_R1,2019_W4,HDAT,2019230,2019230,False
R3_minus_R1,2019_W4,MDAT,2019230,2019230,False
R3_minus_R1,2019_W4,PDAT,2019123,2019123,False
R3_minus_R1,2019_W4,SDAT,2019122,2019122,False
R3_minus_R1,2020_W1,ADAT,2020184,2020184,False
R3_minus_R1,2020_W1,EDAT,2020133,2020133,False
R3_minus_R1,2020_W1,HDAT,2020235,2020234,True
R3_minus_R1,2020_W1,MDAT,2020235,2020234,True
R3_minus_R1,2020_W1,PDAT,2020126,2020126,False
R3_minus_R1,2020_W1,SDAT,2020125,2020125,False
R3_minus_R1,2020_W4,ADAT,2020184,2020184,False
R3_minus_R1,2020_W4,EDAT,2020133,2020133,False
R3_minus_R1,2020_W4,HDAT,2020235,2020234,True
R3_minus_R1,2020_W4,MDAT,2020235,2020234,True
R3_minus_R1,2020_W4,PDAT,2020126,2020126,False
R3_minus_R1,2020_W4,SDAT,2020125,2020125,False
M15_13P8_minus_13P5,2019_W1,ADAT,2019183,2019183,False
M15_13P8_minus_13P5,2019_W1,EDAT,2019132,2019132,False
M15_13P8_minus_13P5,2019_W1,HDAT,2019230,2019230,False
M15_13P8_minus_13P5,2019_W1,MDAT,2019230,2019230,False
M15_13P8_minus_13P5,2019_W1,PDAT,2019123,2019123,False
M15_13P8_minus_13P5,2019_W1,SDAT,2019122,2019122,False
M15_13P8_minus_13P5,2019_W4,ADAT,2019183,2019183,False
M15_13P8_minus_13P5,2019_W4,EDAT,2019132,2019132,False
M15_13P8_minus_13P5,2019_W4,HDAT,2019230,2019230,False
M15_13P8_minus_13P5,2019_W4,MDAT,2019230,2019230,False
M15_13P8_minus_13P5,2019_W4,PDAT,2019123,2019123,False
M15_13P8_minus_13P5,2019_W4,SDAT,2019122,2019122,False
M15_13P8_minus_13P5,2020_W1,ADAT,2020184,2020184,False
M15_13P8_minus_13P5,2020_W1,EDAT,2020133,2020133,False
M15_13P8_minus_13P5,2020_W1,HDAT,2020234,2020234,False
M15_13P8_minus_13P5,2020_W1,MDAT,2020234,2020234,False
M15_13P8_minus_13P5,2020_W1,PDAT,2020126,2020126,False
M15_13P8_minus_13P5,2020_W1,SDAT,2020125,2020125,False
M15_13P8_minus_13P5,2020_W4,ADAT,2020184,2020184,False
M15_13P8_minus_13P5,2020_W4,EDAT,2020133,2020133,False
M15_13P8_minus_13P5,2020_W4,HDAT,2020234,2020234,False
M15_13P8_minus_13P5,2020_W4,MDAT,2020234,2020234,False
M15_13P8_minus_13P5,2020_W4,PDAT,2020126,2020126,False
M15_13P8_minus_13P5,2020_W4,SDAT,2020125,2020125,False
