arm,case,field,value
M15_13P5,2019_W1,SDAT,2019122
M15_13P5,2019_W1,PDAT,2019123
M15_13P5,2019_W1,EDAT,2019132
M15_13P5,2019_W1,ADAT,2019183
M15_13P5,2019_W1,MDAT,2019230
M15_13P5,2019_W1,HDAT,2019230
M15_13P5,2019_W4,SDAT,2019122
M15_13P5,2019_W4,PDAT,2019123
M15_13P5,2019_W4,EDAT,2019132
M15_13P5,2019_W4,ADAT,2019183
M15_13P5,2019_W4,MDAT,2019230
M15_13P5,2019_W4,HDAT,2019230
M15_13P5,2020_W1,SDAT,2020125
M15_13P5,2020_W1,PDAT,2020126
M15_13P5,2020_W1,EDAT,2020133
M15_13P5,2020_W1,ADAT,2020184
M15_13P5,2020_W1,MDAT,2020234
M15_13P5,2020_W1,HDAT,2020234
M15_13P5,2020_W4,SDAT,2020125
M15_13P5,2020_W4,PDAT,2020126
M15_13P5,2020_W4,EDAT,2020133
M15_13P5,2020_W4,ADAT,2020184
M15_13P5,2020_W4,MDAT,2020234
M15_13P5,2020_W4,HDAT,2020234
M15_13P8,2019_W1,SDAT,2019122
M15_13P8,2019_W1,PDAT,2019123
M15_13P8,2019_W1,EDAT,2019132
M15_13P8,2019_W1,ADAT,2019183
M15_13P8,2019_W1,MDAT,2019230
M15_13P8,2019_W1,HDAT,2019230
M15_13P8,2019_W4,SDAT,2019122
M15_13P8,2019_W4,PDAT,2019123
M15_13P8,2019_W4,EDAT,2019132
M15_13P8,2019_W4,ADAT,2019183
M15_13P8,2019_W4,MDAT,2019230
M15_13P8,2019_W4,HDAT,2019230
M15_13P8,2020_W1,SDAT,2020125
M15_13P8,2020_W1,PDAT,2020126
M15_13P8,2020_W1,EDAT,2020133
M15_13P8,2020_W1,ADAT,2020184
M15_13P8,2020_W1,MDAT,2020234
M15_13P8,2020_W1,HDAT,2020234
M15_13P8,2020_W4,SDAT,2020125
M15_13P8,2020_W4,PDAT,2020126
M15_13P8,2020_W4,EDAT,2020133
M15_13P8,2020_W4,ADAT,2020184
M15_13P8,2020_W4,MDAT,2020234
M15_13P8,2020_W4,HDAT,2020234
R1_P05,2019_W1,SDAT,2019122
R1_P05,2019_W1,PDAT,2019123
R1_P05,2019_W1,EDAT,2019132
R1_P05,2019_W1,ADAT,2019183
R1_P05,2019_W1,MDAT,2019230
R1_P05,2019_W1,HDAT,2019230
R1_P05,2019_W4,SDAT,2019122
R1_P05,2019_W4,PDAT,2019123
R1_P05,2019_W4,EDAT,2019132
R1_P05,2019_W4,ADAT,2019183
R1_P05,2019_W4,MDAT,2019230
R1_P05,2019_W4,HDAT,2019230
R1_P05,2020_W1,SDAT,2020125
R1_P05,2020_W1,PDAT,2020126
R1_P05,2020_W1,EDAT,2020133
R1_P05,2020_W1,ADAT,2020184
R1_P05,2020_W1,MDAT,2020235
R1_P05,2020_W1,HDAT,2020235
R1_P05,2020_W4,SDAT,2020125
R1_P05,2020_W4,PDAT,2020126
R1_P05,2020_W4,EDAT,2020133
R1_P05,2020_W4,ADAT,2020184
R1_P05,2020_W4,MDAT,2020235
R1_P05,2020_W4,HDAT,2020235
R3_P05_B105,2019_W1,SDAT,2019122
R3_P05_B105,2019_W1,PDAT,2019123
R3_P05_B105,2019_W1,EDAT,2019132
R3_P05_B105,2019_W1,ADAT,2019182
R3_P05_B105,2019_W1,MDAT,2019230
R3_P05_B105,2019_W1,HDAT,2019230
R3_P05_B105,2019_W4,SDAT,2019122
R3_P05_B105,2019_W4,PDAT,2019123
R3_P05_B105,2019_W4,EDAT,2019132
R3_P05_B105,2019_W4,ADAT,2019182
R3_P05_B105,2019_W4,MDAT,2019230
R3_P05_B105,2019_W4,HDAT,2019230
R3_P05_B105,2020_W1,SDAT,2020125
R3_P05_B105,2020_W1,PDAT,2020126
R3_P05_B105,2020_W1,EDAT,2020133
R3_P05_B105,2020_W1,ADAT,2020184
R3_P05_B105,2020_W1,MDAT,2020234
R3_P05_B105,2020_W1,HDAT,2020234
R3_P05_B105,2020_W4,SDAT,2020125
R3_P05_B105,2020_W4,PDAT,2020126
R3_P05_B105,2020_W4,EDAT,2020133
R3_P05_B105,2020_W4,ADAT,2020184
R3_P05_B105,2020_W4,MDAT,2020234
R3_P05_B105,2020_W4,HDAT,2020234
