arm,case,case_file,retained_files,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,first_YEAR,first_DOY,last_YEAR,last_DOY,last_DAS,last_DAP,last_LAID,last_CWAD
M15_13P5,2019_W1,SHIH1901,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019183,2019230,2019230,2019,123,2019,230,109,107,1.71,20008
M15_13P5,2019_W4,SHIH1904,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019183,2019230,2019230,2019,123,2019,230,109,107,1.71,20008
M15_13P5,2020_W1,SHIH2001,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020234,2020234,2020,126,2020,234,110,108,2.02,25069
M15_13P5,2020_W4,SHIH2004,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020234,2020234,2020,126,2020,234,110,108,2.02,25066
M15_13P8,2019_W1,SHIH1901,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019183,2019230,2019230,2019,123,2019,230,109,107,1.69,20002
M15_13P8,2019_W4,SHIH1904,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019183,2019230,2019230,2019,123,2019,230,109,107,1.69,20002
M15_13P8,2020_W1,SHIH2001,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020234,2020234,2020,126,2020,234,110,108,2.18,24816
M15_13P8,2020_W4,SHIH2004,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020234,2020234,2020,126,2020,234,110,108,2.18,24813
R1_P05,2019_W1,SHIH1901,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019183,2019230,2019230,2019,123,2019,230,109,107,1.73,20016
R1_P05,2019_W4,SHIH1904,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019183,2019230,2019230,2019,123,2019,230,109,107,1.73,20016
R1_P05,2020_W1,SHIH2001,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020235,2020235,2020,126,2020,235,111,109,2.05,25043
R1_P05,2020_W4,SHIH2004,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020235,2020235,2020,126,2020,235,111,109,2.05,25040
R3_P05_B105,2019_W1,SHIH1901,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019182,2019230,2019230,2019,123,2019,230,109,107,1.63,19988
R3_P05_B105,2019_W4,SHIH1904,"Summary.OUT,PlantGro.OUT",2019122,2019123,2019132,2019182,2019230,2019230,2019,123,2019,230,109,107,1.63,19988
R3_P05_B105,2020_W1,SHIH2001,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020234,2020234,2020,126,2020,234,110,108,2.18,24807
R3_P05_B105,2020_W4,SHIH2004,"Summary.OUT,PlantGro.OUT",2020125,2020126,2020133,2020184,2020234,2020234,2020,126,2020,234,110,108,2.18,24804
