*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 30, 2026 03:50:10

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH1904    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH1904 MZ GUO2025 SHIHEZI 2019 W4
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2019 123     2     0    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 10.34
 2019 124     3     1    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.04
 2019 125     4     2    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.37
 2019 126     5     3    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.82
 2019 127     6     4    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.02
 2019 128     7     5    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.79
 2019 129     8     6    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 12.89
 2019 130     9     7    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 14.20
 2019 131    10     8    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.29
 2019 132    11     9    1.0      1   0.00     18     18      0     18     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     17.8   0.00   0.00   0.16    0.35    0.18    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 10.27
 2019 133    12    10    2.0      1   0.01     18     18      0     18     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     35.5   0.00   0.00   0.17    0.35    0.18    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 12.15
 2019 134    13    11    2.0      1   0.01     18     18      0     19     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     48.1   0.00   0.00   0.18    0.36    0.19    0.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.09
 2019 135    14    12    2.0      1   0.01     18     18      0     20     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     68.4   0.00   0.00   0.19    0.37    0.20    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.62
 2019 136    15    13    2.0      1   0.01     18     18      0     20     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     72.3   0.01   0.00   0.20    0.37    0.21    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  2.24
 2019 137    16    14    3.0      1   0.01     18     18      0     22     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     79.3   0.01   0.00   0.20    0.38    0.22    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  3.93
 2019 138    17    15    3.0      1   0.01     18     18      0     24     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     80.0   0.01   0.00   0.21    0.40    0.24    0.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  5.23
 2019 139    18    16    3.0      1   0.02     18     18      0     26     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0     93.7   0.01   0.00   0.21    0.40    0.26    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  7.02
 2019 140    19    17    3.0      1   0.02     18     18      0     29     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    119.8   0.01   0.00   0.22    0.40    0.29    0.13    0.01    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 12.32
 2019 141    20    18    4.0      1   0.04     18     18      0     32     36     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    251.5   0.02   0.00   0.24    0.40    0.33    0.16    0.02    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 17.82
