p,objective_mean_block_rmse,cal_active_postpeak_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_p1
0.5,2.3054468619058763,2.283315657255805,2.306116336157906,2.151618800772853,2.830941075008383,1.9331112356843643,4
0.55,2.3100810747357596,2.2835745083692522,2.2834426930865077,2.1458582359426654,2.8707949077137,1.940228462200165,4
0.6,2.3206495707742665,2.2903343204035234,2.269550749235101,2.1467825201675694,2.9128535989999103,1.9534114146944852,4
0.65,2.335554436606861,2.3019120169053076,2.262602887172402,2.152718743476049,2.955942900014416,1.9709532157645764,4
0.7,2.3535904843398274,2.3170254354432127,2.261120413115685,2.162378744681161,2.9992695496875053,1.9915932298749583,4
0.75,2.373846178810727,2.334697233885979,2.2639193267785482,2.1747745350777894,3.042296660099648,2.0143941932869227,4
0.8,2.395630500004871,2.354181737614368,2.27005473932161,2.189150196295419,3.084662230831997,2.0386548335704577,4
0.85,2.418418772011071,2.374909525693821,2.2787740947113977,2.204928161351739,3.12612518750268,2.0638476444784684,4
0.9,2.4418123682659267,2.3964455450046565,2.289478613932393,2.2216674541491708,3.166529096048489,2.0895743089336554,4
0.95,2.4655085952282456,2.418457451884507,2.3016920006326553,2.239031545792322,3.205777356623931,2.1155334778640738,4
1.0,2.4892780706843363,2.4406916492065247,2.3150353173953526,2.256763769746387,3.2438159633284824,2.141497232267124,0
1.05,2.512947645642685,2.4629551026847842,2.3292069664323187,2.2746685862112876,3.2806213349234823,2.1672936950036514,0
1.1,2.536387446953144,2.485101498127676,2.3439668134786005,2.2925973258344476,3.3161916054488616,2.1927940430506667,0
1.15,2.5595009987197868,2.5070206647391604,2.3591236305360583,2.310437341044296,3.3505403178577735,2.2179027054410185,0
1.2,2.582217655977476,2.5286304623802764,2.374525173370415,2.3281037398418696,3.3836918151075532,2.2425498955900665,0
1.25,2.6044867839108523,2.5498705340210464,2.390050338591148,2.345533073398887,3.415677848959673,2.2666858746937018,0
1.3,2.626273261473991,2.570697475580427,2.405602956600477,2.362678501736065,3.446535074249648,2.290276513309774,0
1.35,2.647553994832895,2.5910810873219154,2.4211068694248246,2.379506078895603,3.4763031944650744,2.3132998365460775,0
1.4,2.6683152044413436,2.611001454074559,2.4365020176601035,2.3959918878198376,3.505023590896717,2.3357433213887155,0
1.45,2.6885503075140083,2.6304466633458494,2.451741320745727,2.4121198220131985,3.532738313456899,2.3576017738402095,0
1.5,2.7082582607242047,2.6494110164764333,2.466788182069506,2.427879861213885,3.5594893434465673,2.37887565616686,0
