p,objective_mean_block_rmse,cal_active_postpeak_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_p1
0.5,2.3054468619058763,2.283315657255805,2.306116336157906,2.151618800772853,2.830941075008383,1.9331112356843643,4
0.505,2.3055875471015543,2.28299083005045,2.3033928703019177,2.150684703975215,2.834783072525185,1.9334895416038989,4
0.51,2.3058058546175793,2.282750067897201,2.300777007721647,2.1498361540861244,2.838661841101834,1.9339484155607114,4
0.515,2.3060994594669877,2.282590963073652,2.29826632135578,2.1490708090771373,2.8425754110109223,1.934485296424111,4
0.52,2.3064661025168194,2.2825111723401545,2.2958584332408796,2.1483863847447213,2.846521890154776,1.9350977019268996,4
0.525,2.3069035885582507,2.2825084152440773,2.293551013735225,2.1477806534770227,2.8504994608793393,1.9357832261414154,4
0.53,2.307409784434208,2.282580472464737,2.291341780744663,2.147251443035722,2.8545063769235317,1.9365395370329148,4
0.535,2.3079826172228453,2.2827251841983154,2.2892284989509304,2.146796635353404,2.8585409604985155,1.9373643740885316,4
0.54,2.308620072475317,2.2829404485820715,2.2872089790428936,2.1464141653468305,2.862601599491496,1.9382555460200483,4
0.545,2.3093201925063016,2.283224220157143,2.285281076951168,2.1461020197464795,2.866686744788867,1.9392109285386911,4
0.55,2.3100810747357596,2.2835745083692522,2.2834426930865077,2.1458582359426654,2.8707949077137,1.940228462200165,4
1.0,2.4892780706843363,2.4406916492065247,2.3150353173953526,2.256763769746387,3.2438159633284824,2.141497232267124,0
