year,model,p,n,rmse,mae,mbe,r2
2018,P1_FROZEN_M15,1.0,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2018,P_FROZEN_V2,0.5,70,1.054654396062548,0.8256008240939918,-0.1831637042665809,0.9683188083457933
2020,P1_FROZEN_M15,1.0,1205,2.8068071696516523,1.8382865383301081,0.13560743286768515,0.8014900137884252
2020,P_FROZEN_V2,0.5,1205,2.7762998953294096,1.8219882391136148,0.08391912323706383,0.804094511507758
2021,P1_FROZEN_M15,1.0,1214,2.930540786676515,1.917268259049869,0.2284848157921146,0.8032645095670731
2021,P_FROZEN_V2,0.5,1214,2.8646147395798067,1.8841704612151107,0.15574817512877417,0.8093710897306867
2022,P1_FROZEN_M15,1.0,1180,2.580742561508836,1.7292289682227657,0.10681659552235627,0.8022772924563073
2022,P_FROZEN_V2,0.5,1180,2.5508330669527837,1.7258740797240204,0.06454316698073724,0.8039545233185216
2023,P1_FROZEN_M15,1.0,1069,2.8508470907491623,1.8963541850715497,0.05726381065739711,0.8502874098157167
2023,P_FROZEN_V2,0.5,1069,2.823410935916327,1.8873966987199653,-0.0032729739636258946,0.8517203859389064
2024,P1_FROZEN_M15,1.0,1179,2.87129553593971,1.8851357496715726,0.09313795832061857,0.8274473667022929
2024,P_FROZEN_V2,0.5,1179,2.8603803045358944,1.8829990280705788,0.042556845661241564,0.8277822663733463
