q,kt0,cv_all_rmse,cv_high_rmse,n,n_high
0.0,0.6,2.2574522456375967,4.8159179433400086,16803,689
0.0,0.7,2.258371078194575,4.818456984037378,16803,689
0.0,0.8,2.290090538024546,4.871213081828893,16803,689
0.0,0.9,2.306955092509342,4.906582482837672,16803,689
0.5,0.6,2.2993677785125084,4.816234836883739,16803,689
0.5,0.7,2.2994329275808325,4.811164457950329,16803,689
0.5,0.8,2.3179216201058983,4.85762398748875,16803,689
0.5,0.9,2.3285633674583703,4.8971993454264435,16803,689
1.0,0.6,2.331073433655849,4.821644882944628,16803,689
1.0,0.7,2.3264179254272466,4.80920888996274,16803,689
1.0,0.8,2.3404291875955563,4.849730914372742,16803,689
1.0,0.9,2.3473564687252098,4.880362352134634,16803,689
