q,kt0,cv_all_rmse,cv_high_rmse,n,n_high
0.0,0.6,2.247745020431988,4.814361547313809,16803,689
0.0,0.7,2.2587746822527244,4.82338538558811,16803,689
0.0,0.8,2.290090536021419,4.871213054496691,16803,689
0.0,0.9,2.3070240743661397,4.906582481662923,16803,689
0.5,0.6,2.290341151068272,4.814361547313963,16803,689
0.5,0.7,2.299804885011625,4.817190910069506,16803,689
0.5,0.8,2.3205717728276842,4.86143973734056,16803,689
0.5,0.9,2.331445780639152,4.9003967407250695,16803,689
1.0,0.6,2.321550990194304,4.814483323183055,16803,689
1.0,0.7,2.3235027613268135,4.81864128486228,16803,689
1.0,0.8,2.3432712792606987,4.8816017019991,16803,689
1.0,0.9,2.3474161042208506,4.880483117912332,16803,689
