q,kt0,pmax,cv_all_rmse,cv_high_rmse,mean_fold_krt,max_fold_krt,boundary_fold_count,n,n_high
0.0,0.6,2.0,2.406625070106992,5.556227678382599,1.0,1.0,16,16803,689
0.0,0.6,3.0,2.390831143726064,5.46746320032724,1.0,1.0,16,16803,689
0.0,0.6,5.0,2.3784091791998816,5.397734943942162,1.0,1.0,16,16803,689
0.0,0.6,8.0,2.3739248269828765,5.372934231529253,1.0,1.0,16,16803,689
0.0,0.6,12.0,2.372679096627958,5.366288436346623,1.0,1.0,16,16803,689
0.0,0.6,20.0,2.37163008046876,5.3608551904864035,1.0,1.0,16,16803,689
0.0,0.7,2.0,2.4013036055029966,5.545060380372035,1.0,1.0,16,16803,689
0.0,0.7,3.0,2.3833352374381938,5.451513989791953,1.0,1.0,16,16803,689
0.0,0.7,5.0,2.369393400213084,5.378344054915406,1.0,1.0,16,16803,689
0.0,0.7,8.0,2.3643443273642823,5.352254248950899,1.0,1.0,16,16803,689
0.0,0.7,12.0,2.3628877836916975,5.345131635650594,1.0,1.0,16,16803,689
0.0,0.7,20.0,2.3616075981567404,5.339180208574672,1.0,1.0,16,16803,689
0.0,0.8,2.0,2.3983434501732845,5.541516549678154,1.0,1.0,16,16803,689
0.0,0.8,3.0,2.3810035563655383,5.450540291164064,1.0,1.0,16,16803,689
0.0,0.8,5.0,2.368677088952953,5.381777994608109,1.0,1.0,16,16803,689
0.0,0.8,8.0,2.3643731673670194,5.357643287965005,1.0,1.0,16,16803,689
0.0,0.8,12.0,2.3629639775813436,5.350762169133624,1.0,1.0,16,16803,689
0.0,0.8,20.0,2.3614634187882535,5.344529267952932,1.0,1.0,16,16803,689
0.0,0.9,2.0,2.3974803289615894,5.541015233989354,1.0,1.0,16,16803,689
0.0,0.9,3.0,2.381722873872334,5.452942848709181,1.0,1.0,16,16803,689
0.0,0.9,5.0,2.371709665892493,5.388147599734387,1.0,1.0,16,16803,689
0.0,0.9,8.0,2.3683958783148875,5.365672240772265,1.0,1.0,16,16803,689
0.0,0.9,12.0,2.3671260838399126,5.359047507744173,1.0,1.0,16,16803,689
0.0,0.9,20.0,2.3655263040456136,5.352728509658734,1.0,1.0,16,16803,689
0.5,0.6,2.0,2.414060761652324,5.561529899528503,1.0,1.0,16,16803,689
0.5,0.6,3.0,2.4019115271958005,5.475161919193317,1.0,1.0,16,16803,689
0.5,0.6,5.0,2.3923754289352828,5.407194522007864,1.0,1.0,16,16803,689
0.5,0.6,8.0,2.3889580562649875,5.383004591177017,1.0,1.0,16,16803,689
0.5,0.6,12.0,2.3880226227090264,5.376540246380926,1.0,1.0,16,16803,689
0.5,0.6,20.0,2.387240534251991,5.371280806995353,1.0,1.0,16,16803,689
0.5,0.7,2.0,2.410731522112496,5.549434026286242,1.0,1.0,16,16803,689
0.5,0.7,3.0,2.3971516616417814,5.457686465233711,1.0,1.0,16,16803,689
0.5,0.7,5.0,2.3865672529874473,5.38573299288322,1.0,1.0,16,16803,689
0.5,0.7,8.0,2.382755113044098,5.360051734689835,1.0,1.0,16,16803,689
0.5,0.7,12.0,2.381683622592958,5.353067313206743,1.0,1.0,16,16803,689
0.5,0.7,20.0,2.38076574529985,5.347270260169377,1.0,1.0,16,16803,689
0.5,0.8,2.0,2.4087896814993255,5.544482526987656,1.0,1.0,16,16803,689
0.5,0.8,3.0,2.3953532839278027,5.453842581981225,1.0,1.0,16,16803,689
0.5,0.8,5.0,2.3854644809221437,5.384726082542623,1.0,1.0,16,16803,689
0.5,0.8,8.0,2.381984978499808,5.3603709636163055,1.0,1.0,16,16803,689
0.5,0.8,12.0,2.380920430192806,5.353501597483388,1.0,1.0,16,16803,689
0.5,0.8,20.0,2.3798701679411076,5.347391608358914,1.0,1.0,16,16803,689
0.5,0.9,2.0,2.4081698150696194,5.5432117786593205,1.0,1.0,16,16803,689
