date,below,above,rise_bad,fall_bad
2020-05-03,0,0,0,0
2020-05-05,0,0,0,0
2020-05-06,0,0,0,0
2020-05-08,0,0,0,0
2020-05-09,0,0,0,0
2020-05-28,0,0,0,0
2020-06-05,0,0,0,0
2020-06-06,0,0,0,0
2020-06-17,0,0,0,0
2020-06-20,0,0,0,0
2020-06-21,0,0,0,0
2020-06-28,0,0,0,0
2020-07-01,0,0,0,0
2020-07-02,0,0,0,0
2020-07-27,0,0,0,0
2020-07-28,0,0,0,0
2020-07-29,0,0,0,0
2020-07-30,0,0,0,0
2020-08-14,0,0,0,0
2020-08-18,0,0,0,0
2020-08-19,0,0,0,0
2020-08-25,0,0,0,0
2020-09-06,0,0,0,0
2020-09-17,0,0,0,0
2020-09-18,0,0,0,0
2021-05-01,0,0,0,0
2021-05-02,0,0,0,0
2021-05-04,0,0,0,0
2021-05-05,0,0,0,0
2021-05-06,0,0,0,0
2021-05-07,0,0,0,0
2021-05-11,0,0,0,0
2021-05-20,0,0,0,0
2021-05-21,0,0,0,0
2021-05-23,0,0,0,0
2021-05-24,0,0,0,0
2021-06-05,0,0,0,0
2021-06-06,0,0,0,0
2021-06-08,0,0,0,0
2021-06-20,0,0,0,0
2021-06-21,0,0,0,0
2021-06-24,0,0,0,0
2021-06-25,0,0,0,0
2021-06-29,0,0,0,0
2021-07-10,0,0,0,0
2021-07-11,0,0,0,0
2021-07-16,0,0,0,0
2021-07-17,0,0,0,0
2021-07-30,0,0,0,0
2021-07-31,0,0,0,0
2021-08-03,0,0,0,0
2021-08-12,0,0,0,0
2021-08-13,0,0,0,0
2021-09-01,0,0,0,0
2021-09-08,0,0,0,0
2021-09-10,0,0,0,0
2021-09-19,0,0,0,0
2021-09-27,0,0,0,0
2022-05-04,0,0,0,0
2022-05-25,0,0,0,0
2022-06-14,0,0,0,0
2022-06-16,0,0,0,0
2022-06-23,0,0,0,0
2022-06-24,0,0,0,0
2022-06-28,0,0,0,0
2022-06-29,0,0,0,0
2022-06-30,0,0,0,0
2022-07-01,0,0,0,0
2022-07-04,0,0,0,0
2022-07-05,0,0,0,0
2022-07-19,0,0,0,0
2022-07-22,0,0,0,0
2022-07-24,0,0,0,0
2022-09-06,0,0,0,0
2022-09-08,0,0,0,0
2022-09-09,0,0,0,0
2022-09-28,0,0,0,0
2023-05-01,0,0,0,0
2023-05-09,0,0,0,0
2023-05-11,0,0,0,0
2023-05-12,0,0,0,0
2023-06-12,0,0,0,0
2023-06-26,0,0,0,0
2023-06-27,0,0,0,0
2023-06-28,0,0,0,0
2023-06-29,0,0,0,0
2023-07-03,0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-15,0,0,0,0
2023-07-20,0,0,0,0
2023-07-21,0,0,0,0
2023-07-28,0,0,0,0
2023-08-08,0,0,0,0
2023-08-11,0,0,0,0
2023-08-12,0,0,0,0
2023-08-28,0,0,0,0
2023-09-05,0,0,0,0
2023-09-13,0,0,0,0
2024-05-02,0,0,0,0
2024-05-03,0,0,0,0
2024-05-04,0,0,0,0
2024-05-05,0,0,0,0
2024-05-10,0,0,0,0
2024-05-11,0,0,0,0
2024-05-12,0,0,0,0
2024-05-17,0,0,0,0
2024-05-21,0,0,0,0
2024-05-26,0,0,0,0
2024-05-27,0,0,0,0
2024-05-28,0,0,0,0
2024-06-22,0,0,0,0
2024-07-16,0,0,0,0
2024-07-18,0,0,0,0
2024-07-19,0,0,0,0
2024-08-11,0,0,0,0
2024-08-18,0,0,0,0
2024-08-19,0,0,0,0
2024-09-01,0,0,0,0
2024-09-02,0,0,0,0
2024-09-07,0,0,0,0
2024-09-20,0,0,0,0
2024-09-26,0,0,0,0
