year,ghcn_pair_days,isd_grade_A_or_B_days,dtr_ge15_days,dtr_ge20_days,may_sep_days,may_sep_dtr_ge15_days,may_sep_dtr_ge20_days
2000,365,319,12,1,136,10,1
2001,365,340,12,1,140,5,1
2002,365,309,8,0,123,2,0
2003,365,326,5,1,135,0,0
2004,366,334,20,0,138,11,0
2005,365,347,15,1,149,7,0
2006,365,349,18,1,151,9,0
2007,365,347,12,1,150,6,1
2008,366,359,10,0,150,6,0
2009,365,359,11,1,150,7,0
2010,365,357,19,1,151,7,0
2011,365,360,3,0,153,1,0
2012,366,363,8,0,153,4,0
2013,118,117,8,0,5,0,0
2014,239,235,11,0,100,6,0
2015,89,89,3,0,22,0,0
2016,0,0,0,0,0,0,0
2017,2,2,0,0,0,0,0
2018,24,23,0,0,8,0,0
2019,54,51,0,0,0,0,0
2020,362,354,43,3,150,25,3
2021,356,349,61,5,151,33,1
2022,358,326,27,0,136,17,0
2023,346,299,41,1,116,19,1
2024,340,312,43,4,142,23,1
