year,status,bytes,url,error
2000,OK,1086585,https://www.ncei.noaa.gov/data/global-hourly/access/2000/51463099999.csv,
2001,OK,1089771,https://www.ncei.noaa.gov/data/global-hourly/access/2001/51463099999.csv,
2002,OK,1093853,https://www.ncei.noaa.gov/data/global-hourly/access/2002/51463099999.csv,
2003,OK,1100973,https://www.ncei.noaa.gov/data/global-hourly/access/2003/51463099999.csv,
2004,OK,1098844,https://www.ncei.noaa.gov/data/global-hourly/access/2004/51463099999.csv,
2005,OK,1103466,https://www.ncei.noaa.gov/data/global-hourly/access/2005/51463099999.csv,
2006,OK,1067366,https://www.ncei.noaa.gov/data/global-hourly/access/2006/51463099999.csv,
2007,OK,1064013,https://www.ncei.noaa.gov/data/global-hourly/access/2007/51463099999.csv,
2008,OK,1068631,https://www.ncei.noaa.gov/data/global-hourly/access/2008/51463099999.csv,
2009,OK,1068164,https://www.ncei.noaa.gov/data/global-hourly/access/2009/51463099999.csv,
2010,OK,1067010,https://www.ncei.noaa.gov/data/global-hourly/access/2010/51463099999.csv,
2011,OK,1066817,https://www.ncei.noaa.gov/data/global-hourly/access/2011/51463099999.csv,
2012,OK,1076248,https://www.ncei.noaa.gov/data/global-hourly/access/2012/51463099999.csv,
2013,OK,1069515,https://www.ncei.noaa.gov/data/global-hourly/access/2013/51463099999.csv,
2014,OK,1063680,https://www.ncei.noaa.gov/data/global-hourly/access/2014/51463099999.csv,
2015,OK,1062921,https://www.ncei.noaa.gov/data/global-hourly/access/2015/51463099999.csv,
2016,OK,1040066,https://www.ncei.noaa.gov/data/global-hourly/access/2016/51463099999.csv,
2017,OK,1023822,https://www.ncei.noaa.gov/data/global-hourly/access/2017/51463099999.csv,
2018,OK,985570,https://www.ncei.noaa.gov/data/global-hourly/access/2018/51463099999.csv,
2019,OK,1038584,https://www.ncei.noaa.gov/data/global-hourly/access/2019/51463099999.csv,
2020,OK,1408727,https://www.ncei.noaa.gov/data/global-hourly/access/2020/51463099999.csv,
2021,OK,1315234,https://www.ncei.noaa.gov/data/global-hourly/access/2021/51463099999.csv,
2022,OK,1339703,https://www.ncei.noaa.gov/data/global-hourly/access/2022/51463099999.csv,
2023,OK,1345772,https://www.ncei.noaa.gov/data/global-hourly/access/2023/51463099999.csv,
2024,OK,1252462,https://www.ncei.noaa.gov/data/global-hourly/access/2024/51463099999.csv,
