year,days_with_any_temperature,median_observed_hours_per_day,A_days_ge20h,B_days_8_19h,C_days_4_7h,D_days_lt4h,A_or_B_days,apr_oct_A_or_B_days,may_sep_A_or_B_days,mean_sample_dtr_A_or_B_c,max_sample_dtr_A_or_B_c,decision
2000,366,8.0,0,320,46,0,320,190,136,7.69,15.7,SPARSE_VALIDATION_CANDIDATE
2001,365,8,0,340,25,0,340,198,140,7.78,16.9,SPARSE_VALIDATION_CANDIDATE
2002,365,8,0,309,55,1,309,173,123,7.36,15.9,SPARSE_VALIDATION_CANDIDATE
2003,365,8,0,326,39,0,326,193,135,7.34,14.8,SPARSE_VALIDATION_CANDIDATE
2004,366,8.0,0,334,32,0,334,193,138,7.7,16.3,SPARSE_VALIDATION_CANDIDATE
2005,365,8,0,347,18,0,347,209,149,7.73,20.9,SPARSE_VALIDATION_CANDIDATE
2006,365,8,0,349,16,0,349,212,151,8.19,21.1,SPARSE_VALIDATION_CANDIDATE
2007,365,8,0,347,18,0,347,207,150,8.01,17.0,SPARSE_VALIDATION_CANDIDATE
2008,366,8.0,0,359,7,0,359,210,150,8.11,15.6,SPARSE_VALIDATION_CANDIDATE
2009,365,8,0,359,6,0,359,211,150,8.15,20.1,SPARSE_VALIDATION_CANDIDATE
2010,365,8,0,357,8,0,357,211,151,7.88,16.5,SPARSE_VALIDATION_CANDIDATE
2011,365,8,0,360,5,0,360,214,153,7.28,17.1,SPARSE_VALIDATION_CANDIDATE
2012,366,8.0,0,363,3,0,363,213,153,7.85,14.8,SPARSE_VALIDATION_CANDIDATE
2013,365,8,0,358,7,0,358,211,150,8.13,16.6,SPARSE_VALIDATION_CANDIDATE
2014,365,8,0,356,9,0,356,207,148,8.01,19.0,SPARSE_VALIDATION_CANDIDATE
2015,365,8,0,364,1,0,364,213,152,7.8,16.7,SPARSE_VALIDATION_CANDIDATE
2016,366,8.0,0,357,9,0,357,211,152,7.66,21.0,SPARSE_VALIDATION_CANDIDATE
2017,365,8,0,360,5,0,360,210,150,7.58,15.1,SPARSE_VALIDATION_CANDIDATE
2018,365,8,0,356,7,2,356,205,148,8.0,18.7,SPARSE_VALIDATION_CANDIDATE
2019,365,8,0,357,8,0,357,212,152,7.95,15.6,SPARSE_VALIDATION_CANDIDATE
2020,366,8.0,0,358,8,0,358,213,152,8.01,16.1,SPARSE_VALIDATION_CANDIDATE
2021,364,8.0,0,354,7,3,354,213,152,8.49,19.2,SPARSE_VALIDATION_CANDIDATE
2022,363,8,0,330,33,0,330,188,138,7.93,16.2,SPARSE_VALIDATION_CANDIDATE
2023,354,8.0,0,300,48,6,300,166,116,8.27,16.4,SPARSE_VALIDATION_CANDIDATE
2024,353,8,0,317,28,8,317,202,145,7.88,19.3,SPARSE_VALIDATION_CANDIDATE
