model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M12_DSSAT_AMTRD,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M12_DSSAT_AMTRD,10-<15,4044,2.396665853198731,1.6273220786234437,0.13783459580142945,0.8553664848603407
M12_DSSAT_AMTRD,15-<18,856,4.251280148648614,3.2544465632043327,0.4416478801043453,0.6334551299172354
M12_DSSAT_AMTRD,18-<20,72,5.222865643840085,4.402280769456252,-0.7603841200353738,0.366981393501213
M12_DSSAT_AMTRD,>=20,47,6.489037377301299,5.39701088716968,-0.6335641797478705,0.10578792993906615
