model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M12_DSSAT_AMTRD,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M12_DSSAT_AMTRD,12,22,3.1607589435516767,1.9041133125958662,1.223854888575219,0.6903688896899588
M12_DSSAT_AMTRD,14,720,3.469817146005694,2.2086047969043445,1.7158045689785646,0.7149567811635043
M12_DSSAT_AMTRD,15,22,4.6614466601683375,2.7152191744248233,2.7152191744248233,0.5270350518516604
M12_DSSAT_AMTRD,17,717,3.3512862724732897,2.190105024642059,1.6808016717559777,0.7315132598635034
M12_DSSAT_AMTRD,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M12_DSSAT_AMTRD,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M12_DSSAT_AMTRD,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
