solar_hour_bin,n,mean_actual_solar_hour,mean_bias_c,median_bias_c,rmse_c
0,1,0.005,-4.985,-4.985,4.985
2,91,2.849,-1.75,-0.1639,3.6113
3,1,3.005,-4.4913,-4.4913,4.4913
5,94,5.848,-1.7788,-0.5637,3.2223
6,1,6.005,-4.7356,-4.7356,4.7356
8,93,8.849,0.5381,-0.8391,3.8301
9,1,9.005,-2.0411,-2.0411,2.0411
11,94,11.848,3.892,0.7283,6.8917
12,1,12.005,5.2167,5.2167,5.2167
14,94,14.848,5.0159,0.7974,8.1299
15,1,15.005,13.5,13.5,13.5
17,93,17.849,4.5326,0.9487,7.3921
18,1,18.005,13.2785,13.2785,13.2785
20,93,20.849,1.3839,-0.642,4.4476
21,1,21.005,8.3359,8.3359,8.3359
23,93,23.85,-1.1345,-1.78,3.6054
