model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M11_CLOUDDEF_POWER,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M11_CLOUDDEF_POWER,10-<15,4044,2.396584667944442,1.6272776790643309,0.13776400595572225,0.8553718332134359
M11_CLOUDDEF_POWER,15-<18,856,4.260048430871068,3.2688391344814427,0.37511849168799255,0.6286287772675412
M11_CLOUDDEF_POWER,18-<20,72,5.380663216501849,4.514850374715757,-0.9631281462176585,0.3390353106175709
M11_CLOUDDEF_POWER,>=20,47,6.707738705388271,5.498996994473429,-0.8906536793302707,0.08981431081458538
