model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M10_CV_RADDEF,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M10_CV_RADDEF,10-<15,4044,2.396808625680809,1.6274242524132456,0.13798394924706486,0.8553589540974436
M10_CV_RADDEF,15-<18,856,4.248690179830747,3.217344120142175,0.5997216117142262,0.6441168026368075
M10_CV_RADDEF,18-<20,72,4.96521795797251,4.167256954776308,-0.3221813753968046,0.42456291822907655
M10_CV_RADDEF,>=20,47,6.217936321692133,5.241961971991171,-0.18924121172016553,0.13419328710105285
