model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M10_CV_RADDEF,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M10_CV_RADDEF,12,22,3.169022910969243,1.9064316558601944,1.2276137551777382,0.6890511481401635
M10_CV_RADDEF,14,720,3.4072442986063467,2.1561209359604847,1.858865184981041,0.7436591902070329
M10_CV_RADDEF,15,22,4.663331695051826,2.716044425132856,2.716044425132856,0.526779729963946
M10_CV_RADDEF,17,717,3.3390513776255757,2.1652287438702236,1.7996920240584486,0.7469696194045282
M10_CV_RADDEF,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M10_CV_RADDEF,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M10_CV_RADDEF,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
