kt0,loyo_n,loyo_rmse
0.45,689,5.399468578981619
0.46,689,5.384370067281957
0.47,689,5.369495367890708
0.48,689,5.35537029625439
0.49,689,5.3416572993852
0.5,689,5.328271062919196
0.51,689,5.315267657881072
0.52,689,5.302747464122889
0.53,689,5.290667689611286
0.54,689,5.279016344121987
0.55,689,5.267801522658019
0.56,689,5.257023660254803
0.57,689,5.246677591399281
0.58,689,5.236744325241068
0.59,689,5.227189069551271
0.6,689,5.217817751512235
0.61,689,5.208797626010531
0.62,689,5.200120151326893
0.63,689,5.191775290827112
0.64,689,5.183795740130525
0.65,689,5.176033274360274
0.66,689,5.168386597987142
0.67,689,5.160867357216449
0.68,689,5.153476705866854
0.69,689,5.146187260165657
0.7,689,5.1389827568317035
0.71,689,5.1318843668554965
0.72,689,5.124949097592592
0.73,689,5.118149509293692
0.74,689,5.111428937779522
0.75,689,5.104785190196883
0.76,689,5.098267857609181
0.77,689,5.091856888527533
0.78,689,5.0855636304722935
0.79,689,5.079379663367715
0.8,689,5.073321389346069
0.81,689,5.067401460265224
0.82,689,5.061624778428708
0.83,689,5.055995107689617
0.84,689,5.050514826728515
0.85,689,5.045185137528066
0.86,689,5.040006248965686
0.87,689,5.034977537692247
0.88,689,5.03009768848061
0.89,689,5.025364816166352
0.9,689,5.020776571192538
