model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M12_DSSAT_CLOUDS,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M12_DSSAT_CLOUDS,10-<15,4044,2.3969106362876915,1.627499465363501,0.13807916927957664,0.8553526571914634
M12_DSSAT_CLOUDS,15-<18,856,4.275311857167745,3.2120190224132634,0.6964082122967586,0.6473971779911529
M12_DSSAT_CLOUDS,18-<20,72,4.9197506697722035,4.077865343956626,-0.060710477670447904,0.4467338409700359
M12_DSSAT_CLOUDS,>=20,47,6.14182012252267,5.164825696927879,0.10563583504956554,0.14866076507880502
