model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M12_DSSAT_CLOUDS,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M12_DSSAT_CLOUDS,12,22,3.176794880919618,1.9087378839967084,1.2309835715505932,0.6877965917033914
M12_DSSAT_CLOUDS,14,720,3.4101638243622827,2.1415065230215746,1.946986773284417,0.7535053911743911
M12_DSSAT_CLOUDS,15,22,4.665045426843371,2.71676923486093,2.71676923486093,0.526541960851204
M12_DSSAT_CLOUDS,17,717,3.3606763737179786,2.1598451610123246,1.8726296815088659,0.7508655673713106
M12_DSSAT_CLOUDS,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M12_DSSAT_CLOUDS,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M12_DSSAT_CLOUDS,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
