scope,dtr_bin,n_days,mean_dtr_c,morning_bias_c,afternoon_bias_c,afternoon_minus_morning_bias_c,night_bias_c,daily_rmse_c,median_peak_checkpoint_error_h,mean_abs_peak_checkpoint_error_h
All,<8,1945,5.906,-0.8807,1.8859,2.7667,0.0889,1.637,0.0,2.838
All,8-<10,1548,8.987,-1.0357,2.0337,3.0694,-0.0352,1.9053,0.0,1.8391
All,10-<12,1660,10.919,-1.0887,2.0575,3.1462,-0.2772,2.0024,0.0,1.5343
All,12-<15,1457,13.221,-1.5832,2.3805,3.9637,-0.6671,2.4945,0.0,1.4035
All,15-<18,346,16.127,-1.9858,4.6302,6.616,-0.8231,4.2928,0.0,2.2283
All,18-<20,58,18.598,-3.685,7.6949,11.3799,-0.7442,6.5516,0.0,3.2069
All,>=20,22,21.659,-4.4248,10.7825,15.2073,-0.5178,8.8286,0.0,5.4548
May-Sep,<8,291,6.713,-0.0588,1.6633,1.7222,0.3941,1.6455,0.0,1.8728
May-Sep,8-<10,612,9.053,-0.2905,1.6475,1.938,0.1248,1.6426,0.0,1.2696
May-Sep,10-<12,917,10.938,-0.6088,1.6114,2.2201,-0.2215,1.6765,0.0,1.0076
May-Sep,12-<15,837,13.194,-0.893,1.7307,2.6237,-0.6216,1.9899,0.0,0.8244
May-Sep,15-<18,183,16.037,-1.2254,4.2938,5.5192,-0.4164,3.9534,0.0,1.8525
May-Sep,18-<20,18,18.639,-1.2905,10.1594,11.4498,0.3243,7.3812,0.0,4.6667
May-Sep,>=20,9,21.733,-1.8314,12.5755,14.4069,0.9683,9.2847,0.0,6.0
