solar_date,month,season,n_points,dtr_c,dtr_bin,tmax_c,tmin_c,daily_bias_c,daily_rmse_c,morning_n,morning_bias_c,morning_rmse_c,afternoon_n,afternoon_bias_c,afternoon_rmse_c,night_n,night_bias_c,obs_peak_checkpoint_solar_h,pred_peak_checkpoint_solar_h,peak_checkpoint_error_h
2000-01-01,1,Other,7,10.8,10-<12,-4.4,-15.2,1.3472,5.3659,2,-3.9703,4.0577,2,7.8491,7.8508,2,-1.4111,23.7719,14.7792,-8.9927
2000-01-02,1,Other,8,13.1,12-<15,-2.3,-15.4,-2.8392,4.9355,2,-7.1086,7.2315,2,2.4291,2.6081,3,-4.6526,14.7719,14.7719,0.0
2000-01-03,1,Other,9,7.1,<8,-3.8,-10.9,1.658,3.5196,2,-2.1528,2.1532,3,4.7937,4.8377,3,1.0543,2.7644,14.7644,-12.0
2000-01-04,1,Other,8,10.2,10-<12,-8.9,-19.1,1.592,5.7779,2,-5.1007,5.3278,2,7.7883,7.7889,3,1.1692,5.7572,14.7572,9.0
2000-01-06,1,Other,6,7.6,<8,-18.9,-26.5,-1.2809,2.3258,1,-3.9693,3.9693,2,0.7559,0.9227,2,-1.6251,11.7431,14.7431,3.0
2000-01-07,1,Other,8,8.9,8-<10,-12.0,-20.9,-2.9112,6.5145,2,-1.5097,1.5899,2,1.2583,3.1826,3,-8.4718,23.7292,14.7361,-8.9931
2000-01-08,1,Other,8,15.7,15-<18,-2.9,-18.6,0.514,9.6556,2,-10.2687,10.2695,2,12.6218,12.6335,3,-1.5592,2.7292,14.7292,-12.0
2000-01-09,1,Other,7,13.9,12-<15,-5.3,-19.2,-5.2413,7.2029,2,-11.353,11.3533,2,1.0897,1.4647,3,-5.3875,5.7225,14.7225,9.0
2000-01-10,1,Other,9,4.3,<8,-8.3,-12.6,0.668,2.5462,3,-1.4745,1.4877,2,2.4545,2.5708,3,1.9734,11.7161,14.7161,3.0
2000-01-11,1,Other,8,6.1,<8,-12.2,-18.3,0.1266,1.033,2,-0.3883,0.3889,2,1.4509,1.8415,3,-0.5587,17.7094,14.7094,-3.0
2000-01-12,1,Other,8,12.3,12-<15,-4.9,-17.2,0.4887,2.3607,2,-1.7642,1.8174,2,3.9478,3.982,3,0.3485,11.7033,14.7033,3.0
2000-01-13,1,Other,8,10.9,10-<12,-10.5,-21.4,-1.2007,3.1462,2,-0.1799,0.1816,2,0.8644,0.8645,3,-4.4642,14.6969,14.6969,0.0
2000-01-14,1,Other,7,7.0,<8,-9.1,-16.1,1.9431,2.8337,2,-0.6288,0.6384,2,4.2109,4.2442,2,3.0724,11.6911,14.6911,3.0
2000-01-15,1,Other,8,11.0,10-<12,-7.4,-18.4,0.1023,1.6208,2,-1.3083,1.9208,2,1.9672,1.9771,3,0.4701,11.6853,14.6853,3.0
2000-01-16,1,Other,8,7.9,<8,-11.4,-19.3,-1.3653,2.2524,2,-1.0686,1.4616,2,0.6697,0.6782,3,-3.4165,20.6794,14.6794,-6.0
2000-01-17,1,Other,8,8.4,8-<10,-8.2,-16.6,2.3061,4.0301,2,-1.5839,1.5851,2,6.3696,6.3725,3,3.0671,11.6739,14.6739,3.0
2000-01-18,1,Other,8,8.5,8-<10,-10.7,-19.2,0.5165,1.6815,2,-1.2702,1.5167,2,0.6141,0.901,3,1.5982,14.6686,14.6686,0.0
2000-01-19,1,Other,8,11.8,10-<12,-7.3,-19.1,-2.7893,3.9143,2,-2.5722,2.7623,2,-0.6914,1.7003,3,-4.8504,20.6633,14.6633,-6.0
2000-01-20,1,Other,8,7.1,<8,-4.6,-11.7,2.2515,3.5202,2,-1.0347,1.1558,2,5.4778,5.4778,3,2.0834,2.6583,14.6583,-12.0
2000-01-21,1,Other,8,6.2,<8,-9.8,-16.0,0.1368,0.7614,2,-0.2804,0.3378,2,1.2799,1.2799,3,-0.1507,14.6533,14.6533,0.0
2000-01-22,1,Other,8,7.5,<8,-8.7,-16.2,2.0973,2.9833,2,-0.2943,0.3521,2,4.8945,4.8951,3,2.3379,11.6486,14.6486,3.0
2000-01-23,1,Other,8,8.8,8-<10,-9.8,-18.6,0.4344,2.6511,2,-2.3544,3.2081,2,3.7609,3.8434,3,0.5266,11.6442,14.6442,3.0
2000-01-24,1,Other,8,5.3,<8,-11.9,-17.2,-0.3848,1.0128,2,-1.5146,1.527,2,0.9381,1.091,3,-0.4843,14.64,14.64,0.0
2000-01-25,1,Other,9,4.3,<8,-12.8,-17.1,-0.0485,0.9049,2,-0.4722,0.5121,2,1.347,1.395,3,-0.0158,10.6358,14.6358,4.0
2000-01-26,1,Other,8,5.6,<8,-11.5,-17.1,-0.6335,1.0671,2,-1.4805,1.5877,2,0.214,0.6987,3,-0.3939,11.6319,14.6319,3.0
2000-01-27,1,Other,8,7.9,<8,-9.3,-17.2,0.6723,1.5565,2,-0.3174,0.4886,2,2.4789,2.5525,3,0.8267,11.6283,14.6283,3.0
2000-01-28,1,Other,8,5.1,<8,-13.4,-18.5,-0.7844,1.3431,2,-0.3988,0.6109,2,0.5236,0.8401,3,-1.7763,11.6247,14.6247,3.0
2000-01-29,1,Other,8,8.6,8-<10,-7.3,-15.9,1.2177,2.482,2,-1.2948,1.6592,2,3.7184,3.7188,3,1.8363,11.6214,14.6214,3.0
2000-01-30,1,Other,8,6.7,<8,-11.7,-18.4,0.2442,2.0315,2,-2.1181,2.2782,2,2.1179,2.4072,3,0.8352,14.6183,14.6183,0.0
2000-01-31,1,Other,8,7.8,<8,-11.5,-19.3,-1.6003,2.7188,2,-1.8264,2.1441,2,-0.0886,1.261,3,-2.9029,20.6156,14.6156,-6.0
